T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.05
1.29,0.99,-1.98,0.11
1.45,0.99,-1.95,0.19
1.61,0.98,-1.93,0.25
1.76,0.96,-1.88,0.40
1.92,0.93,-1.79,0.63
2.06,0.44,-1.67,1.04
2.08,0.19,-1.69,0.84
2.08,0.88,-1.67,0.85
2.09,0.43,-1.65,0.99
2.09,0.87,-1.67,1.00
2.10,-0.10,-1.67,0.96
2.11,0.85,-1.66,0.93
2.13,-0.33,-1.63,0.97
2.14,0.23,-1.63,1.01
2.14,0.85,-1.62,0.99
2.15,0.04,-1.60,1.16
2.15,-0.56,-1.62,1.00
2.15,0.22,-1.61,1.08
2.16,-0.17,-1.60,1.04
2.17,0.49,-1.60,1.14
2.17,-0.02,-1.60,1.18
2.17,0.07,-1.59,1.16
2.18,0.40,-1.56,1.20
2.19,-0.44,-1.57,1.10
2.19,-0.36,-1.57,1.14
2.19,-0.26,-1.56,1.19
2.21,-0.32,-1.56,1.19
2.22,0.42,-1.54,1.22
2.22,0.28,-1.56,1.05
2.22,0.23,-1.55,1.17
2.23,0.43,-1.51,1.27
2.23,0.13,-1.52,1.21
2.23,0.46,-1.52,1.34
2.23,-0.06,-1.52,1.16
2.23,-0.59,-1.52,1.17
2.24,-0.14,-1.51,1.30
2.24,-0.34,-1.52,1.17
2.24,-0.15,-1.52,1.29
2.24,-0.18,-1.50,1.29
2.24,-0.02,-1.49,1.33
2.25,0.36,-1.50,1.24
2.25,0.29,-1.52,1.24
2.25,-0.03,-1.49,1.32
2.26,-0.08,-1.49,1.27
2.27,0.15,-1.47,1.38
2.27,0.20,-1.48,1.20
2.28,0.49,-1.47,1.37
2.28,0.04,-1.46,1.31
2.28,0.27,-1.48,1.24
2.28,0.22,-1.46,1.43
2.28,-0.27,-1.47,1.31
2.28,0.10,-1.46,1.22
2.28,0.21,-1.46,1.36
2.28,0.38,-1.44,1.44
2.29,-0.16,-1.43,1.35
2.29,-0.23,-1.44,1.28
2.29,-0.08,-1.44,1.36
2.29,-0.30,-1.45,1.33
2.30,-0.09,-1.43,1.32
2.31,0.02,-1.42,1.30
2.31,-0.08,-1.42,1.31
2.31,-0.21,-1.44,1.28
2.31,-0.33,-1.44,1.35
2.31,-0.09,-1.40,1.44
2.31,-0.28,-1.43,1.27
2.32,-0.03,-1.38,1.35
2.32,-0.01,-1.40,1.42
2.33,0.11,-1.37,1.50
2.33,-0.18,-1.40,1.37
2.33,0.25,-1.38,1.40
2.33,-0.12,-1.38,1.31
2.34,0.38,-1.38,1.28
2.34,0.05,-1.38,1.40
2.35,-0.17,-1.37,1.38
2.35,0.13,-1.36,1.39
2.36,0.12,-1.35,1.32
2.38,-0.14,-1.31,1.43
2.38,-0.42,-1.32,1.33
2.38,-0.06,-1.34,1.23
2.39,0.06,-1.34,1.35
2.39,-0.14,-1.29,1.34
2.40,0.10,-1.31,1.39
2.41,0.06,-1.27,1.30
2.43,0.04,-1.27,1.21
2.45,-0.08,-1.23,1.21
2.50,0.07,-1.17,1.17
2.53,-0.01,-1.12,1.12
2.55,-0.01,-1.10,0.99
2.56,-0.21,-1.11,1.07
2.71,0.07,-0.98,0.75
2.87,-0.07,-0.88,0.50
3.03,0.01,-0.83,0.46
3.18,0.06,-0.78,0.40
3.34,-0.07,-0.71,0.35
3.50,-0.01,-0.71,0.26
