T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.06
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.18
1.61,0.98,-1.93,0.29
1.76,0.96,-1.88,0.38
1.92,0.93,-1.80,0.56
1.97,0.92,-1.76,0.78
2.08,0.88,-1.68,0.98
2.09,0.87,-1.67,0.92
2.11,0.86,-1.66,1.08
2.12,0.87,-1.66,1.01
2.13,0.86,-1.64,0.98
2.13,0.84,-1.62,1.15
2.13,0.86,-1.64,0.99
2.13,0.84,-1.63,1.16
2.14,0.84,-1.61,1.18
2.14,0.85,-1.63,0.96
2.14,0.85,-1.62,1.01
2.15,0.83,-1.60,1.23
2.15,0.84,-1.61,1.13
2.15,0.18,-1.61,1.15
2.15,0.82,-1.60,1.25
2.16,0.54,-1.60,1.22
2.16,0.84,-1.61,1.03
2.17,0.83,-1.59,1.17
2.17,0.81,-1.58,1.28
2.18,0.38,-1.57,1.19
2.19,0.80,-1.56,1.28
2.19,0.81,-1.57,1.24
2.19,0.77,-1.54,1.42
2.20,0.79,-1.55,1.42
2.20,0.80,-1.55,1.25
2.20,0.78,-1.54,1.41
2.22,-0.61,-1.51,1.43
2.22,0.01,-1.53,1.41
2.23,0.76,-1.51,1.39
2.23,0.06,-1.53,1.34
2.24,0.76,-1.51,1.39
2.24,0.77,-1.51,1.31
2.24,-0.60,-1.49,1.54
2.24,0.05,-1.51,1.36
2.25,-0.00,-1.49,1.60
2.25,0.77,-1.50,1.36
2.25,-0.17,-1.50,1.38
2.25,0.53,-1.47,1.40
2.26,0.55,-1.48,1.65
2.26,0.55,-1.47,1.51
2.26,-0.28,-1.45,1.83
2.27,0.31,-1.46,1.48
2.27,0.34,-1.46,1.53
2.28,0.44,-1.43,1.56
2.28,-0.23,-1.44,1.69
2.28,0.31,-1.42,1.70
2.29,-0.02,-1.43,1.74
2.29,-0.02,-1.44,1.52
2.29,-0.04,-1.42,1.61
2.29,0.11,-1.41,1.56
2.30,0.13,-1.40,1.66
2.30,-0.03,-1.40,1.64
2.30,0.44,-1.39,1.74
2.31,0.37,-1.38,1.73
2.31,0.16,-1.38,1.80
2.32,0.22,-1.37,1.59
2.32,0.01,-1.36,1.54
2.32,0.25,-1.36,1.63
2.32,-0.13,-1.38,1.59
2.33,0.31,-1.35,1.67
2.33,0.37,-1.36,1.58
2.33,-0.04,-1.36,1.56
2.33,-0.38,-1.38,1.38
2.33,-0.12,-1.33,1.52
2.33,0.19,-1.35,1.59
2.34,-0.17,-1.33,1.55
2.35,0.30,-1.34,1.64
2.35,0.50,-1.33,1.58
2.35,0.00,-1.29,1.57
2.37,-0.12,-1.28,1.62
2.38,-0.15,-1.26,1.61
2.38,0.17,-1.26,1.55
2.39,0.02,-1.24,1.31
2.41,-0.11,-1.23,1.38
2.41,0.01,-1.24,1.42
2.41,-0.04,-1.23,1.35
2.41,-0.05,-1.24,1.44
2.42,0.12,-1.24,1.37
2.43,0.03,-1.19,1.26
2.43,-0.02,-1.19,1.27
2.47,-0.02,-1.15,1.21
2.52,-0.00,-1.09,0.95
2.55,0.06,-1.07,0.88
2.71,-0.00,-0.95,0.57
2.87,0.05,-0.88,0.52
3.03,-0.00,-0.83,0.48
3.18,0.03,-0.77,0.47
3.34,0.02,-0.71,0.31
3.50,0.00,-0.66,0.29
