T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.05
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.18
1.61,0.98,-1.93,0.24
1.76,0.96,-1.87,0.38
1.92,0.93,-1.80,0.55
2.04,0.90,-1.71,0.78
2.04,0.90,-1.71,0.80
2.06,0.89,-1.70,0.86
2.06,0.89,-1.70,0.92
2.08,0.88,-1.68,0.87
2.10,0.87,-1.66,0.94
2.11,0.87,-1.65,1.01
2.12,0.87,-1.65,0.93
2.14,0.86,-1.63,0.95
2.14,0.85,-1.62,1.04
2.14,0.85,-1.62,1.03
2.16,0.84,-1.60,1.04
2.17,0.82,-1.58,1.27
2.17,0.83,-1.59,1.04
2.18,0.82,-1.58,1.25
2.18,0.80,-1.56,1.31
2.18,0.80,-1.56,1.25
2.18,-0.31,-1.56,1.38
2.20,0.21,-1.56,1.30
2.20,0.17,-1.55,1.39
2.20,0.80,-1.55,1.23
2.21,0.80,-1.55,1.28
2.21,0.78,-1.53,1.37
2.22,0.76,-1.51,1.42
2.22,0.19,-1.51,1.51
2.22,-0.49,-1.50,1.71
2.23,0.78,-1.52,1.21
2.23,0.67,-1.49,1.65
2.23,0.77,-1.51,1.40
2.23,0.58,-1.51,1.44
2.23,-0.22,-1.49,1.42
2.24,0.78,-1.52,1.32
2.24,0.43,-1.49,1.45
2.24,-0.72,-1.51,1.37
2.24,0.74,-1.49,1.44
2.24,-0.47,-1.50,1.27
2.26,-0.26,-1.46,1.63
2.26,-0.66,-1.45,1.52
2.26,-0.37,-1.46,1.66
2.26,0.69,-1.48,1.39
2.26,0.50,-1.45,1.79
2.26,0.73,-1.46,1.36
2.27,-0.07,-1.43,1.57
2.28,0.05,-1.45,1.59
2.28,-0.04,-1.43,1.60
2.28,-0.69,-1.45,1.42
2.29,-0.17,-1.42,1.62
2.29,-0.08,-1.39,1.77
2.30,0.49,-1.40,1.67
2.30,0.15,-1.40,1.70
2.30,-0.37,-1.39,1.60
2.30,0.29,-1.41,1.55
2.30,0.01,-1.40,1.60
2.30,-0.07,-1.38,1.81
2.31,0.27,-1.38,1.75
2.31,-0.33,-1.38,1.64
2.31,-0.12,-1.38,1.78
2.32,0.15,-1.38,1.56
2.32,-0.18,-1.33,1.77
2.32,0.40,-1.37,1.65
2.33,-0.12,-1.34,1.59
2.33,-0.12,-1.35,1.78
2.33,-0.21,-1.35,1.64
2.34,-0.38,-1.33,1.67
2.35,0.13,-1.31,1.64
2.36,-0.07,-1.29,1.59
2.36,-0.03,-1.30,1.71
2.36,-0.15,-1.31,1.62
2.38,-0.15,-1.28,1.52
2.38,0.13,-1.27,1.61
2.38,0.09,-1.26,1.48
2.39,-0.02,-1.26,1.51
2.39,-0.01,-1.27,1.51
2.39,-0.09,-1.25,1.43
2.39,0.17,-1.26,1.42
2.41,-0.15,-1.21,1.23
2.42,0.21,-1.20,1.32
2.43,0.09,-1.20,1.29
2.43,0.04,-1.18,1.18
2.45,0.04,-1.17,1.23
2.46,0.08,-1.17,1.13
2.47,0.10,-1.14,1.18
2.55,-0.02,-1.07,0.80
2.62,0.08,-1.03,0.77
2.71,-0.02,-0.95,0.62
2.87,0.02,-0.88,0.49
3.03,0.02,-0.81,0.40
3.18,0.04,-0.75,0.36
3.34,-0.00,-0.70,0.32
3.50,0.01,-0.66,0.23
