T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.04
1.29,0.99,-1.98,0.09
1.45,0.99,-1.96,0.16
1.61,0.98,-1.93,0.27
1.76,0.96,-1.88,0.43
1.92,0.93,-1.79,0.63
2.07,0.89,-1.70,0.79
2.08,0.88,-1.68,0.91
2.10,0.87,-1.67,0.94
2.11,0.85,-1.63,1.16
2.12,0.13,-1.65,1.02
2.12,0.22,-1.64,1.06
2.13,-0.25,-1.63,0.98
2.14,0.85,-1.62,1.03
2.14,0.85,-1.62,1.06
2.15,-0.36,-1.63,1.02
2.16,-0.31,-1.60,1.10
2.16,0.26,-1.59,1.32
2.16,0.39,-1.60,1.05
2.17,-0.47,-1.61,1.00
2.17,0.83,-1.60,1.08
2.17,0.63,-1.58,1.18
2.18,0.25,-1.59,1.19
2.19,0.25,-1.56,1.18
2.20,0.52,-1.54,1.26
2.20,0.56,-1.55,1.44
2.20,0.14,-1.55,1.36
2.21,0.36,-1.55,1.21
2.21,-0.02,-1.55,1.24
2.21,-0.23,-1.55,1.28
2.21,-0.19,-1.53,1.28
2.21,0.16,-1.54,1.25
2.22,-0.48,-1.52,1.40
2.22,0.74,-1.55,1.11
2.22,-0.34,-1.53,1.22
2.23,-0.56,-1.54,1.23
2.23,-0.23,-1.52,1.24
2.23,0.70,-1.52,1.43
2.23,0.31,-1.50,1.36
2.24,-0.27,-1.51,1.35
2.24,0.58,-1.51,1.34
2.24,0.42,-1.50,1.42
2.25,-0.18,-1.49,1.37
2.25,0.05,-1.47,1.38
2.25,-0.10,-1.50,1.24
2.25,0.40,-1.49,1.35
2.26,-0.21,-1.47,1.49
2.26,0.32,-1.47,1.38
2.27,0.51,-1.46,1.60
2.27,0.25,-1.45,1.45
2.27,0.72,-1.47,1.34
2.28,0.18,-1.43,1.47
2.28,0.29,-1.46,1.36
2.28,0.21,-1.45,1.46
2.29,-0.36,-1.44,1.39
2.29,0.03,-1.44,1.39
2.29,-0.21,-1.42,1.46
2.29,0.46,-1.43,1.37
2.29,0.10,-1.43,1.49
2.30,0.39,-1.40,1.58
2.30,-0.22,-1.38,1.57
2.30,-0.24,-1.41,1.57
2.31,-0.07,-1.38,1.59
2.31,-0.29,-1.37,1.49
2.32,0.07,-1.39,1.66
2.33,-0.38,-1.37,1.55
2.33,0.20,-1.38,1.45
2.34,-0.07,-1.35,1.48
2.34,0.09,-1.34,1.51
2.34,-0.08,-1.35,1.49
2.34,-0.26,-1.33,1.49
2.34,0.11,-1.34,1.51
2.34,-0.39,-1.37,1.51
2.35,0.20,-1.35,1.51
2.36,0.03,-1.34,1.49
2.36,0.45,-1.34,1.44
2.36,-0.17,-1.34,1.40
2.36,-0.11,-1.33,1.48
2.37,0.14,-1.31,1.37
2.37,-0.18,-1.30,1.39
2.38,-0.20,-1.30,1.38
2.39,0.17,-1.28,1.46
2.41,-0.06,-1.27,1.38
2.42,0.11,-1.24,1.25
2.43,0.01,-1.24,1.32
2.43,0.04,-1.21,1.22
2.45,0.09,-1.21,1.28
2.45,-0.02,-1.19,1.28
2.46,0.15,-1.18,1.16
2.55,-0.03,-1.10,1.05
2.71,0.08,-0.96,0.64
2.87,-0.00,-0.87,0.53
3.03,0.00,-0.80,0.36
3.18,-0.01,-0.76,0.35
3.34,0.00,-0.71,0.34
3.50,0.02,-0.66,0.26
