T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-1.99,0.05
1.29,1.00,-1.98,0.08
1.45,0.99,-1.96,0.20
1.61,0.98,-1.93,0.22
1.76,0.96,-1.88,0.40
1.92,0.93,-1.80,0.61
2.06,0.89,-1.70,0.82
2.08,0.89,-1.69,0.83
2.09,0.88,-1.68,0.93
2.10,0.88,-1.67,0.89
2.11,0.87,-1.66,0.94
2.12,0.86,-1.65,0.93
2.12,0.07,-1.64,1.02
2.13,-0.14,-1.62,1.05
2.13,-0.54,-1.63,0.88
2.14,0.24,-1.63,0.99
2.15,0.39,-1.61,1.10
2.16,0.33,-1.62,1.05
2.16,0.20,-1.59,1.20
2.17,-0.14,-1.61,1.04
2.17,0.85,-1.61,0.98
2.18,0.55,-1.57,1.21
2.19,0.80,-1.58,1.10
2.19,-0.00,-1.55,1.37
2.20,0.37,-1.56,1.24
2.20,-0.16,-1.56,1.13
2.20,0.56,-1.56,1.23
2.20,-0.29,-1.56,1.22
2.21,0.18,-1.55,1.14
2.21,-0.30,-1.55,1.18
2.21,0.01,-1.56,1.19
2.22,-0.37,-1.54,1.29
2.22,-0.37,-1.55,1.13
2.22,0.67,-1.54,1.19
2.23,0.49,-1.51,1.32
2.23,-0.16,-1.51,1.20
2.23,-0.12,-1.50,1.26
2.24,0.08,-1.51,1.34
2.24,0.44,-1.50,1.36
2.24,-0.53,-1.51,1.23
2.24,-0.10,-1.49,1.46
2.25,0.15,-1.47,1.51
2.26,0.19,-1.49,1.27
2.26,0.30,-1.46,1.43
2.26,-0.17,-1.47,1.49
2.26,0.40,-1.49,1.21
2.26,0.19,-1.46,1.48
2.26,0.22,-1.49,1.22
2.27,-0.24,-1.47,1.30
2.27,0.06,-1.46,1.42
2.28,0.33,-1.43,1.39
2.29,-0.02,-1.44,1.42
2.29,0.12,-1.42,1.55
2.29,0.15,-1.47,1.29
2.30,-0.30,-1.42,1.34
2.30,0.10,-1.43,1.34
2.30,-0.08,-1.41,1.57
2.31,-0.28,-1.42,1.37
2.31,-0.35,-1.42,1.42
2.31,-0.10,-1.42,1.32
2.32,-0.03,-1.38,1.36
2.32,0.29,-1.38,1.44
2.32,0.01,-1.40,1.47
2.32,-0.08,-1.38,1.42
2.33,0.21,-1.42,1.18
2.33,0.10,-1.34,1.35
2.33,0.18,-1.39,1.28
2.34,0.51,-1.40,1.33
2.34,-0.05,-1.38,1.46
2.34,-0.24,-1.36,1.41
2.34,-0.25,-1.37,1.34
2.35,0.37,-1.35,1.24
2.38,0.12,-1.31,1.36
2.38,0.21,-1.31,1.47
2.39,-0.01,-1.29,1.27
2.39,0.15,-1.27,1.35
2.40,0.25,-1.29,1.31
2.40,-0.06,-1.28,1.34
2.40,0.09,-1.28,1.50
2.40,-0.21,-1.28,1.36
2.40,0.14,-1.28,1.37
2.41,-0.08,-1.25,1.33
2.41,0.07,-1.25,1.30
2.42,0.09,-1.25,1.25
2.43,0.02,-1.24,1.31
2.44,0.10,-1.21,1.24
2.44,-0.09,-1.24,1.20
2.47,-0.11,-1.20,1.16
2.53,0.07,-1.14,1.07
2.55,-0.02,-1.11,1.06
2.71,-0.05,-0.99,0.79
2.87,-0.07,-0.86,0.50
3.03,0.06,-0.80,0.37
3.18,-0.02,-0.74,0.31
3.34,-0.01,-0.69,0.28
3.50,0.03,-0.67,0.25
