T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.04
1.29,0.99,-1.98,0.11
1.45,0.99,-1.96,0.19
1.61,0.98,-1.92,0.30
1.76,0.96,-1.88,0.40
1.92,0.94,-1.81,0.51
2.05,0.89,-1.70,0.77
2.08,0.69,-1.67,0.94
2.09,0.18,-1.66,0.97
2.09,0.16,-1.66,1.01
2.10,-0.16,-1.66,0.95
2.12,-0.37,-1.65,1.03
2.12,-0.73,-1.63,1.01
2.13,0.36,-1.63,0.98
2.14,0.03,-1.62,1.07
2.14,0.55,-1.62,1.04
2.14,0.04,-1.64,0.95
2.15,0.84,-1.62,1.00
2.15,0.63,-1.61,1.05
2.15,0.72,-1.62,0.96
2.16,-0.23,-1.61,1.08
2.17,0.35,-1.59,1.07
2.18,0.06,-1.58,1.08
2.18,0.25,-1.57,1.16
2.19,0.03,-1.57,1.05
2.19,0.20,-1.56,1.10
2.19,0.43,-1.57,1.01
2.19,0.79,-1.58,1.02
2.19,0.81,-1.58,1.08
2.20,0.15,-1.54,1.23
2.20,-0.41,-1.57,1.14
2.20,0.05,-1.53,1.26
2.21,-0.05,-1.55,1.13
2.21,0.30,-1.57,1.09
2.22,-0.47,-1.52,1.27
2.22,-0.23,-1.56,1.06
2.23,-0.10,-1.54,1.12
2.23,-0.46,-1.53,1.28
2.23,0.20,-1.53,1.17
2.23,0.22,-1.54,1.15
2.24,-0.23,-1.50,1.26
2.24,0.52,-1.52,1.21
2.24,0.20,-1.52,1.18
2.24,-0.24,-1.53,1.24
2.24,-0.02,-1.51,1.23
2.25,-0.08,-1.47,1.33
2.25,-0.39,-1.51,1.25
2.25,0.41,-1.51,1.15
2.26,0.17,-1.49,1.25
2.26,0.05,-1.48,1.34
2.26,0.16,-1.47,1.25
2.26,-0.10,-1.46,1.34
2.28,0.03,-1.46,1.26
2.28,0.09,-1.45,1.26
2.28,0.12,-1.48,1.20
2.29,0.00,-1.44,1.33
2.29,0.21,-1.44,1.33
2.29,0.02,-1.43,1.36
2.29,-0.04,-1.42,1.33
2.30,-0.08,-1.44,1.20
2.30,0.14,-1.45,1.27
2.30,-0.37,-1.44,1.32
2.30,0.06,-1.44,1.23
2.31,-0.31,-1.44,1.23
2.31,0.06,-1.41,1.32
2.31,0.02,-1.42,1.26
2.32,0.12,-1.41,1.22
2.32,0.14,-1.42,1.20
2.32,0.09,-1.42,1.32
2.33,0.10,-1.41,1.37
2.34,-0.06,-1.36,1.27
2.35,0.11,-1.38,1.37
2.35,-0.08,-1.36,1.38
2.36,-0.09,-1.36,1.29
2.36,-0.25,-1.37,1.22
2.37,-0.02,-1.36,1.34
2.38,-0.04,-1.35,1.36
2.38,0.10,-1.31,1.34
2.39,0.05,-1.31,1.31
2.39,0.26,-1.33,1.32
2.40,0.06,-1.30,1.26
2.40,-0.11,-1.28,1.23
2.41,-0.22,-1.26,1.21
2.43,0.08,-1.29,1.13
2.44,-0.15,-1.25,1.22
2.45,0.02,-1.22,1.21
2.46,0.06,-1.25,1.15
2.50,0.01,-1.19,1.03
2.54,0.05,-1.10,0.96
2.55,-0.04,-1.15,1.05
2.71,0.01,-0.98,0.77
2.87,-0.00,-0.89,0.60
3.03,-0.04,-0.83,0.48
3.18,-0.03,-0.78,0.38
3.34,-0.07,-0.68,0.36
3.50,-0.01,-0.65,0.27
