T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.05
1.29,1.00,-1.98,0.08
1.45,0.99,-1.96,0.17
1.61,0.98,-1.92,0.29
1.76,0.96,-1.88,0.38
1.92,0.93,-1.80,0.60
2.04,0.90,-1.72,0.71
2.06,0.89,-1.70,0.77
2.07,0.89,-1.70,0.77
2.08,0.87,-1.67,0.98
2.10,0.87,-1.67,0.88
2.11,0.87,-1.65,0.96
2.13,0.23,-1.61,1.21
2.14,0.85,-1.62,1.06
2.14,0.83,-1.61,1.23
2.14,0.84,-1.62,1.14
2.15,0.85,-1.62,1.04
2.15,0.84,-1.61,1.00
2.16,0.49,-1.60,1.16
2.17,0.84,-1.60,1.07
2.17,0.83,-1.59,1.12
2.17,0.82,-1.59,1.13
2.18,0.79,-1.57,1.29
2.19,0.82,-1.58,1.13
2.20,-0.76,-1.53,1.28
2.20,0.80,-1.55,1.23
2.20,-0.11,-1.54,1.37
2.20,0.27,-1.55,1.25
2.21,0.60,-1.56,1.23
2.21,0.80,-1.55,1.19
2.22,0.32,-1.52,1.19
2.22,0.74,-1.53,1.30
2.24,0.38,-1.49,1.49
2.24,0.79,-1.52,1.23
2.24,-0.38,-1.47,1.58
2.24,0.58,-1.49,1.38
2.24,0.76,-1.49,1.43
2.24,0.07,-1.50,1.50
2.25,-0.07,-1.48,1.61
2.25,0.76,-1.50,1.24
2.25,0.06,-1.47,1.53
2.26,0.73,-1.47,1.52
2.26,-0.33,-1.49,1.51
2.26,-0.50,-1.46,1.78
2.26,0.43,-1.45,1.58
2.26,0.07,-1.47,1.54
2.27,0.13,-1.45,1.61
2.27,0.73,-1.46,1.39
2.27,-0.10,-1.45,1.51
2.28,0.08,-1.46,1.45
2.28,0.63,-1.44,1.46
2.28,-0.50,-1.46,1.44
2.28,0.15,-1.43,1.56
2.28,-0.03,-1.42,1.58
2.29,0.67,-1.41,1.66
2.29,-0.02,-1.42,1.66
2.30,0.47,-1.42,1.49
2.30,-0.28,-1.38,1.73
2.30,0.03,-1.43,1.40
2.30,0.31,-1.40,1.61
2.30,-0.39,-1.38,1.70
2.31,0.15,-1.38,1.45
2.31,-0.22,-1.39,1.52
2.32,0.27,-1.37,1.68
2.32,-0.23,-1.38,1.55
2.32,0.26,-1.35,1.59
2.33,0.09,-1.33,1.56
2.33,0.04,-1.34,1.50
2.33,0.24,-1.34,1.50
2.35,0.06,-1.33,1.44
2.36,0.15,-1.32,1.66
2.36,0.10,-1.32,1.64
2.36,0.05,-1.31,1.53
2.37,0.21,-1.26,1.48
2.37,0.24,-1.27,1.51
2.38,-0.05,-1.27,1.40
2.39,-0.12,-1.26,1.62
2.39,0.02,-1.26,1.38
2.39,0.07,-1.27,1.52
2.40,-0.10,-1.23,1.51
2.41,0.28,-1.24,1.39
2.42,0.02,-1.22,1.25
2.43,0.13,-1.21,1.18
2.43,-0.10,-1.23,1.40
2.44,0.01,-1.18,1.34
2.45,0.15,-1.17,1.20
2.46,-0.03,-1.16,1.15
2.48,-0.01,-1.14,1.18
2.51,-0.01,-1.10,0.98
2.55,-0.09,-1.08,0.82
2.71,-0.01,-0.97,0.63
2.87,-0.04,-0.88,0.52
3.03,-0.02,-0.80,0.46
3.18,-0.03,-0.75,0.33
3.34,0.01,-0.72,0.35
3.50,0.01,-0.68,0.26
