T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.04
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.15
1.61,0.98,-1.92,0.25
1.76,0.96,-1.88,0.46
1.92,0.93,-1.80,0.57
1.99,0.92,-1.76,0.70
1.99,0.92,-1.76,0.65
2.06,0.89,-1.70,0.77
2.07,0.89,-1.69,0.82
2.08,0.88,-1.68,0.91
2.08,0.89,-1.69,0.82
2.10,0.87,-1.67,0.90
2.12,0.81,-1.63,1.41
2.13,0.86,-1.64,0.96
2.14,0.85,-1.62,0.98
2.14,0.29,-1.62,1.18
2.15,0.84,-1.61,1.10
2.16,0.82,-1.59,1.29
2.18,0.79,-1.56,1.46
2.18,0.83,-1.58,1.14
2.18,0.80,-1.57,1.25
2.19,0.52,-1.55,1.33
2.19,0.82,-1.57,1.07
2.20,0.54,-1.56,1.29
2.20,0.82,-1.56,1.17
2.21,0.80,-1.55,1.16
2.22,0.63,-1.52,1.34
2.22,0.78,-1.53,1.28
2.22,0.00,-1.53,1.33
2.22,0.77,-1.53,1.37
2.22,0.75,-1.50,1.35
2.22,0.33,-1.51,1.35
2.23,0.31,-1.51,1.40
2.24,-0.06,-1.51,1.42
2.24,0.31,-1.46,1.75
2.24,0.63,-1.48,1.53
2.24,0.36,-1.48,1.61
2.25,0.43,-1.50,1.36
2.25,0.33,-1.46,1.60
2.25,0.36,-1.48,1.49
2.25,0.39,-1.46,1.49
2.26,0.16,-1.47,1.54
2.26,-0.24,-1.46,1.62
2.26,-0.08,-1.47,1.53
2.26,-0.30,-1.47,1.41
2.26,0.06,-1.46,1.54
2.26,0.32,-1.46,1.47
2.27,-0.25,-1.45,1.64
2.27,0.70,-1.46,1.55
2.27,-0.06,-1.45,1.40
2.28,-0.10,-1.44,1.60
2.28,0.24,-1.44,1.53
2.28,0.19,-1.45,1.47
2.28,0.54,-1.44,1.71
2.28,0.16,-1.40,1.45
2.28,-0.07,-1.44,1.56
2.29,0.18,-1.39,1.62
2.29,-0.38,-1.40,1.44
2.30,-0.35,-1.40,1.58
2.30,0.33,-1.40,1.48
2.30,0.18,-1.38,1.79
2.31,0.27,-1.39,1.44
2.32,-0.14,-1.36,1.54
2.32,-0.09,-1.37,1.56
2.33,0.10,-1.32,1.66
2.33,0.30,-1.37,1.50
2.33,0.14,-1.36,1.57
2.33,0.22,-1.34,1.40
2.33,0.03,-1.34,1.60
2.34,-0.11,-1.36,1.51
2.34,-0.05,-1.35,1.53
2.35,-0.04,-1.33,1.47
2.36,0.29,-1.32,1.49
2.36,-0.01,-1.32,1.61
2.37,-0.05,-1.27,1.45
2.38,-0.04,-1.29,1.46
2.39,0.13,-1.26,1.44
2.41,0.02,-1.23,1.40
2.41,0.14,-1.24,1.38
2.42,-0.05,-1.24,1.38
2.43,0.01,-1.20,1.30
2.44,0.00,-1.21,1.21
2.45,0.15,-1.18,1.24
2.46,0.06,-1.19,1.25
2.48,0.11,-1.14,1.09
2.49,0.01,-1.12,1.00
2.50,-0.00,-1.12,1.12
2.51,0.10,-1.11,1.05
2.55,0.01,-1.09,0.99
2.71,0.03,-0.95,0.55
2.87,-0.01,-0.87,0.48
3.03,0.01,-0.82,0.53
3.18,-0.02,-0.73,0.40
3.34,0.01,-0.70,0.32
3.50,-0.00,-0.65,0.24
