T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.06
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.19
1.61,0.98,-1.92,0.27
1.76,0.96,-1.88,0.37
1.92,0.93,-1.80,0.61
2.08,-0.26,-1.68,1.06
2.09,0.31,-1.66,1.01
2.12,0.87,-1.66,0.90
2.12,0.86,-1.65,1.02
2.12,0.85,-1.64,1.10
2.13,0.87,-1.65,0.89
2.13,0.86,-1.64,0.96
2.14,0.63,-1.62,1.08
2.14,-0.80,-1.63,1.05
2.15,0.56,-1.61,1.07
2.15,0.07,-1.59,1.21
2.15,-0.36,-1.60,1.09
2.16,0.84,-1.61,1.07
2.16,0.20,-1.58,1.20
2.16,0.57,-1.59,1.14
2.17,0.83,-1.59,1.15
2.18,0.83,-1.60,1.05
2.18,0.82,-1.58,1.25
2.18,0.37,-1.57,1.10
2.19,0.81,-1.57,1.26
2.19,0.82,-1.57,1.10
2.20,-0.16,-1.56,1.28
2.22,-0.25,-1.53,1.27
2.22,0.16,-1.54,1.23
2.22,0.12,-1.53,1.14
2.22,-0.04,-1.54,1.24
2.23,0.45,-1.52,1.26
2.23,0.37,-1.50,1.35
2.23,0.31,-1.50,1.38
2.23,-0.09,-1.50,1.28
2.24,0.27,-1.52,1.25
2.24,-0.23,-1.49,1.45
2.24,0.70,-1.52,1.34
2.24,-0.06,-1.48,1.32
2.24,0.03,-1.50,1.29
2.24,-0.48,-1.51,1.31
2.25,0.17,-1.52,1.21
2.25,0.21,-1.48,1.39
2.26,0.01,-1.48,1.41
2.26,0.01,-1.49,1.20
2.26,-0.26,-1.49,1.30
2.27,0.13,-1.47,1.38
2.28,0.04,-1.45,1.39
2.28,-0.50,-1.45,1.39
2.28,-0.11,-1.45,1.47
2.28,-0.08,-1.45,1.40
2.28,-0.36,-1.43,1.39
2.29,0.20,-1.45,1.48
2.29,-0.22,-1.43,1.47
2.29,0.13,-1.44,1.39
2.29,-0.01,-1.43,1.47
2.30,0.38,-1.41,1.53
2.30,0.27,-1.41,1.47
2.30,-0.14,-1.42,1.42
2.30,-0.13,-1.45,1.41
2.30,0.12,-1.41,1.51
2.30,0.07,-1.44,1.44
2.31,0.32,-1.41,1.41
2.31,0.46,-1.42,1.51
2.31,0.38,-1.40,1.49
2.31,0.23,-1.38,1.47
2.32,0.14,-1.40,1.47
2.32,-0.30,-1.38,1.43
2.33,-0.31,-1.37,1.46
2.33,0.12,-1.38,1.59
2.34,0.18,-1.36,1.41
2.34,0.19,-1.34,1.53
2.34,0.30,-1.35,1.47
2.35,0.11,-1.36,1.40
2.35,0.03,-1.33,1.41
2.35,0.01,-1.34,1.43
2.37,-0.15,-1.33,1.37
2.37,-0.07,-1.32,1.59
2.37,0.05,-1.31,1.36
2.38,-0.32,-1.32,1.38
2.38,0.14,-1.33,1.31
2.38,-0.05,-1.32,1.32
2.39,0.03,-1.26,1.43
2.40,-0.06,-1.28,1.33
2.40,0.13,-1.25,1.35
2.41,-0.02,-1.26,1.36
2.46,-0.09,-1.20,1.19
2.50,0.17,-1.15,1.09
2.55,0.03,-1.11,1.00
2.71,0.03,-0.97,0.74
2.87,0.00,-0.91,0.50
3.03,0.01,-0.84,0.41
3.18,-0.02,-0.75,0.37
3.34,0.02,-0.69,0.30
3.50,-0.02,-0.68,0.28
