T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.01
1.13,1.00,-1.99,0.04
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.16
1.61,0.98,-1.92,0.30
1.76,0.96,-1.88,0.38
1.92,0.93,-1.80,0.63
1.98,0.92,-1.76,0.77
2.05,0.90,-1.71,0.83
2.05,0.89,-1.71,0.82
2.08,0.88,-1.67,0.88
2.08,0.89,-1.69,0.81
2.11,0.86,-1.65,1.03
2.11,0.80,-1.66,1.07
2.11,0.86,-1.65,1.01
2.12,0.84,-1.63,1.18
2.13,0.86,-1.64,0.98
2.13,-0.34,-1.63,1.08
2.14,0.60,-1.62,1.18
2.15,0.85,-1.62,1.04
2.15,0.83,-1.60,1.20
2.16,0.47,-1.60,1.19
2.16,0.84,-1.60,1.07
2.16,0.83,-1.60,1.18
2.16,0.84,-1.60,1.06
2.16,0.77,-1.60,1.20
2.17,0.83,-1.59,1.07
2.17,0.62,-1.56,1.33
2.17,0.83,-1.59,1.05
2.17,0.05,-1.59,1.04
2.18,0.83,-1.59,1.12
2.19,-0.02,-1.55,1.33
2.19,0.66,-1.55,1.36
2.20,-0.43,-1.54,1.41
2.20,0.78,-1.54,1.39
2.20,0.10,-1.53,1.29
2.21,-0.33,-1.54,1.41
2.21,0.39,-1.55,1.24
2.21,0.72,-1.52,1.13
2.21,-0.17,-1.54,1.37
2.21,-0.75,-1.55,1.20
2.22,-0.38,-1.54,1.25
2.22,-0.51,-1.52,1.42
2.22,0.79,-1.53,1.15
2.23,-0.56,-1.52,1.31
2.23,-0.28,-1.50,1.50
2.24,-0.57,-1.52,1.29
2.24,-0.62,-1.52,1.29
2.24,0.05,-1.48,1.31
2.24,-0.12,-1.49,1.39
2.25,0.19,-1.47,1.50
2.25,-0.03,-1.48,1.34
2.25,0.12,-1.47,1.41
2.26,-0.19,-1.47,1.51
2.27,0.56,-1.45,1.48
2.27,0.26,-1.44,1.52
2.28,0.19,-1.45,1.56
2.28,0.17,-1.41,1.52
2.28,-0.08,-1.44,1.42
2.29,-0.55,-1.43,1.57
2.29,0.19,-1.42,1.55
2.30,0.25,-1.41,1.45
2.30,-0.13,-1.41,1.58
2.30,0.35,-1.40,1.60
2.30,-0.22,-1.40,1.60
2.31,-0.10,-1.39,1.51
2.31,0.01,-1.41,1.47
2.32,0.08,-1.40,1.36
2.32,0.08,-1.40,1.57
2.33,-0.28,-1.38,1.53
2.33,-0.18,-1.39,1.33
2.33,-0.14,-1.38,1.58
2.34,-0.26,-1.36,1.46
2.34,0.19,-1.36,1.60
2.34,-0.36,-1.36,1.42
2.34,-0.08,-1.35,1.47
2.35,0.04,-1.35,1.39
2.35,-0.02,-1.33,1.58
2.36,-0.07,-1.32,1.52
2.37,0.02,-1.33,1.34
2.37,0.02,-1.32,1.39
2.38,0.19,-1.27,1.39
2.39,0.24,-1.27,1.44
2.39,0.11,-1.29,1.30
2.39,0.04,-1.23,1.38
2.41,0.05,-1.28,1.46
2.42,0.15,-1.24,1.31
2.42,-0.02,-1.24,1.33
2.46,0.08,-1.18,1.24
2.50,0.02,-1.14,1.11
2.55,0.00,-1.08,0.98
2.71,0.02,-0.98,0.64
2.87,0.03,-0.89,0.55
3.03,-0.04,-0.83,0.44
3.18,-0.02,-0.74,0.35
3.34,-0.02,-0.69,0.26
3.50,-0.01,-0.67,0.23
