T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.05
1.29,0.99,-1.98,0.10
1.45,0.99,-1.96,0.12
1.61,0.98,-1.93,0.28
1.76,0.96,-1.88,0.40
1.92,0.93,-1.79,0.57
1.98,0.92,-1.76,0.62
2.01,0.90,-1.73,0.83
2.02,0.91,-1.73,0.71
2.04,0.90,-1.72,0.71
2.05,0.89,-1.71,0.75
2.06,0.89,-1.70,0.95
2.07,0.88,-1.68,0.92
2.08,0.88,-1.68,0.89
2.08,0.88,-1.69,0.78
2.15,0.82,-1.59,1.19
2.15,0.83,-1.60,1.23
2.16,0.80,-1.59,1.41
2.17,0.83,-1.60,1.08
2.19,0.78,-1.57,1.35
2.19,0.09,-1.57,1.15
2.20,0.78,-1.55,1.39
2.20,0.72,-1.56,1.33
2.20,0.49,-1.56,1.28
2.20,0.00,-1.53,1.44
2.20,0.79,-1.54,1.44
2.21,0.13,-1.54,1.56
2.21,0.74,-1.53,1.33
2.21,0.27,-1.54,1.34
2.22,0.54,-1.53,1.28
2.22,-0.04,-1.51,1.42
2.23,0.29,-1.51,1.24
2.23,-0.38,-1.52,1.34
2.23,0.17,-1.48,1.47
2.24,0.53,-1.52,1.29
2.24,-0.12,-1.51,1.35
2.24,-0.31,-1.48,1.46
2.24,0.74,-1.49,1.31
2.24,-0.10,-1.49,1.51
2.24,0.28,-1.49,1.40
2.25,0.41,-1.50,1.33
2.25,0.48,-1.51,1.22
2.25,0.45,-1.48,1.56
2.26,0.37,-1.49,1.31
2.26,0.64,-1.47,1.51
2.26,0.54,-1.46,1.45
2.26,-0.28,-1.45,1.54
2.27,0.24,-1.47,1.43
2.27,0.39,-1.46,1.43
2.27,-0.07,-1.46,1.49
2.27,0.38,-1.45,1.50
2.28,-0.14,-1.47,1.34
2.28,0.66,-1.45,1.39
2.28,0.12,-1.44,1.42
2.28,0.46,-1.44,1.51
2.29,-0.28,-1.41,1.47
2.30,0.20,-1.40,1.62
2.30,0.33,-1.41,1.52
2.30,0.61,-1.41,1.48
2.30,0.33,-1.41,1.46
2.30,0.63,-1.41,1.52
2.31,-0.10,-1.39,1.61
2.31,0.30,-1.40,1.52
2.31,0.30,-1.39,1.64
2.31,0.39,-1.39,1.58
2.32,0.13,-1.37,1.53
2.32,-0.11,-1.35,1.73
2.33,0.22,-1.36,1.55
2.34,0.28,-1.33,1.54
2.34,0.04,-1.34,1.60
2.35,0.18,-1.33,1.47
2.35,0.22,-1.32,1.43
2.36,0.07,-1.34,1.44
2.36,0.15,-1.32,1.63
2.37,-0.14,-1.32,1.45
2.37,0.24,-1.29,1.45
2.39,0.00,-1.28,1.41
2.39,-0.10,-1.25,1.41
2.39,-0.04,-1.27,1.50
2.39,0.12,-1.25,1.34
2.40,0.03,-1.28,1.49
2.40,0.21,-1.27,1.36
2.41,-0.08,-1.22,1.35
2.41,0.06,-1.24,1.44
2.42,0.28,-1.21,1.38
2.43,-0.05,-1.23,1.31
2.49,-0.01,-1.15,1.09
2.49,0.04,-1.14,1.05
2.49,-0.02,-1.14,1.10
2.55,0.04,-1.08,0.88
2.71,0.01,-0.97,0.60
2.87,0.04,-0.89,0.51
3.03,-0.03,-0.82,0.38
3.18,0.00,-0.75,0.39
3.34,-0.00,-0.71,0.26
3.50,-0.01,-0.64,0.29
