T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.02
1.29,1.00,-1.99,0.05
1.45,1.00,-1.98,0.08
1.61,0.99,-1.96,0.12
1.76,0.99,-1.94,0.19
1.92,0.98,-1.91,0.25
2.07,0.97,-1.86,0.35
2.08,0.97,-1.86,0.35
2.09,0.96,-1.85,0.36
2.11,0.96,-1.84,0.36
2.12,0.96,-1.84,0.36
2.13,0.96,-1.84,0.37
2.14,0.96,-1.84,0.37
2.15,0.96,-1.83,0.39
2.16,0.96,-1.83,0.39
2.17,0.96,-1.83,0.38
2.18,0.96,-1.82,0.39
2.18,0.96,-1.82,0.40
2.18,0.96,-1.82,0.40
2.19,0.96,-1.82,0.42
2.19,0.95,-1.82,0.40
2.19,0.95,-1.81,0.42
2.19,0.95,-1.81,0.41
2.20,0.95,-1.81,0.39
2.20,0.95,-1.81,0.40
2.21,0.95,-1.81,0.42
2.21,0.95,-1.81,0.41
2.21,0.95,-1.81,0.41
2.21,0.95,-1.80,0.41
2.22,0.95,-1.80,0.42
2.23,0.95,-1.80,0.44
2.23,0.95,-1.80,0.44
2.23,0.95,-1.80,0.46
2.24,0.95,-1.80,0.42
2.24,0.95,-1.80,0.43
2.24,0.95,-1.80,0.43
2.24,0.95,-1.79,0.42
2.24,0.95,-1.79,0.44
2.24,0.95,-1.79,0.42
2.25,0.95,-1.79,0.42
2.25,0.95,-1.79,0.44
2.25,0.95,-1.79,0.44
2.26,0.95,-1.79,0.44
2.27,0.94,-1.77,0.48
2.27,0.95,-1.78,0.44
2.27,0.94,-1.78,0.47
2.27,0.94,-1.78,0.47
2.28,0.94,-1.78,0.44
2.28,0.94,-1.77,0.45
2.28,0.94,-1.77,0.47
2.28,0.94,-1.77,0.46
2.29,0.94,-1.78,0.47
2.29,0.94,-1.77,0.47
2.29,0.94,-1.77,0.48
2.30,0.94,-1.77,0.48
2.30,0.94,-1.76,0.50
2.31,0.94,-1.76,0.50
2.31,0.94,-1.77,0.48
2.31,0.94,-1.76,0.48
2.32,0.94,-1.76,0.51
2.32,0.94,-1.76,0.48
2.32,0.94,-1.76,0.48
2.32,0.94,-1.76,0.50
2.33,0.94,-1.75,0.49
2.34,0.94,-1.75,0.51
2.34,0.94,-1.74,0.50
2.35,0.94,-1.74,0.49
2.35,0.93,-1.74,0.54
2.35,0.93,-1.74,0.50
2.36,0.93,-1.74,0.50
2.36,0.93,-1.74,0.53
2.37,0.93,-1.73,0.52
2.37,0.93,-1.73,0.50
2.38,0.93,-1.73,0.50
2.38,0.93,-1.72,0.52
2.38,0.93,-1.72,0.54
2.39,0.93,-1.72,0.52
2.40,0.93,-1.72,0.52
2.40,0.93,-1.72,0.55
2.40,0.93,-1.72,0.53
2.40,0.93,-1.72,0.52
2.42,0.93,-1.71,0.50
2.42,0.93,-1.71,0.55
2.44,0.92,-1.70,0.55
2.46,0.92,-1.69,0.57
2.46,0.92,-1.68,0.58
2.47,0.92,-1.68,0.56
2.47,0.92,-1.68,0.57
2.54,0.91,-1.64,0.57
2.55,0.90,-1.63,0.61
2.71,0.87,-1.52,0.79
2.87,0.84,-1.41,0.71
3.03,0.79,-1.28,0.86
3.18,0.74,-1.14,0.78
3.34,0.70,-1.03,0.80
3.50,0.65,-0.90,0.85
