T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.02
1.29,1.00,-1.99,0.04
1.45,1.00,-1.99,0.06
1.61,0.99,-1.97,0.11
1.76,0.99,-1.95,0.18
1.92,0.98,-1.92,0.23
2.00,0.98,-1.89,0.26
2.01,0.98,-1.89,0.26
2.04,0.97,-1.89,0.27
2.07,0.97,-1.88,0.32
2.08,0.97,-1.87,0.31
2.08,0.97,-1.87,0.30
2.08,0.97,-1.87,0.32
2.09,0.97,-1.87,0.30
2.11,0.97,-1.87,0.33
2.13,0.97,-1.86,0.33
2.13,0.97,-1.86,0.34
2.14,0.97,-1.86,0.32
2.14,0.97,-1.86,0.32
2.14,0.97,-1.85,0.35
2.14,0.97,-1.85,0.37
2.15,0.97,-1.85,0.36
2.17,0.96,-1.85,0.36
2.17,0.96,-1.84,0.39
2.17,0.96,-1.84,0.35
2.18,0.96,-1.84,0.35
2.18,0.96,-1.84,0.34
2.18,0.96,-1.84,0.36
2.18,0.96,-1.84,0.37
2.18,0.96,-1.84,0.37
2.19,0.96,-1.84,0.36
2.20,0.96,-1.84,0.37
2.20,0.96,-1.83,0.34
2.20,0.96,-1.83,0.38
2.20,0.96,-1.83,0.38
2.21,0.96,-1.83,0.37
2.21,0.96,-1.83,0.38
2.22,0.96,-1.82,0.38
2.23,0.96,-1.83,0.38
2.23,0.96,-1.82,0.37
2.24,0.96,-1.82,0.40
2.24,0.96,-1.82,0.40
2.24,0.96,-1.82,0.39
2.25,0.96,-1.82,0.36
2.25,0.96,-1.81,0.41
2.25,0.96,-1.81,0.40
2.25,0.96,-1.81,0.39
2.26,0.96,-1.81,0.38
2.27,0.95,-1.80,0.39
2.27,0.95,-1.80,0.42
2.28,0.95,-1.80,0.43
2.30,0.95,-1.80,0.41
2.30,0.95,-1.79,0.42
2.30,0.95,-1.80,0.44
2.30,0.95,-1.80,0.39
2.30,0.95,-1.80,0.39
2.31,0.95,-1.79,0.42
2.31,0.95,-1.79,0.42
2.32,0.95,-1.78,0.44
2.32,0.95,-1.79,0.43
2.32,0.95,-1.78,0.43
2.32,0.95,-1.78,0.40
2.32,0.95,-1.78,0.46
2.33,0.95,-1.78,0.44
2.33,0.95,-1.78,0.43
2.34,0.95,-1.78,0.45
2.34,0.95,-1.78,0.47
2.34,0.95,-1.78,0.43
2.34,0.95,-1.77,0.45
2.35,0.95,-1.78,0.45
2.35,0.95,-1.77,0.45
2.35,0.95,-1.77,0.43
2.36,0.95,-1.77,0.44
2.36,0.94,-1.77,0.47
2.36,0.94,-1.76,0.43
2.38,0.94,-1.76,0.45
2.38,0.94,-1.76,0.49
2.38,0.94,-1.76,0.48
2.39,0.94,-1.76,0.45
2.39,0.94,-1.75,0.46
2.39,0.94,-1.75,0.49
2.40,0.94,-1.75,0.46
2.40,0.94,-1.74,0.50
2.42,0.94,-1.74,0.48
2.42,0.94,-1.74,0.50
2.43,0.94,-1.73,0.50
2.45,0.93,-1.73,0.47
2.47,0.93,-1.71,0.49
2.49,0.93,-1.70,0.53
2.55,0.92,-1.67,0.55
2.71,0.89,-1.58,0.63
2.87,0.86,-1.47,0.69
3.03,0.83,-1.36,0.72
3.18,0.79,-1.23,0.71
3.34,0.75,-1.10,0.71
3.50,0.71,-1.01,0.93
