T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.00
1.13,1.00,-2.00,0.01
1.29,1.00,-1.99,0.03
1.45,1.00,-1.99,0.06
1.61,0.99,-1.97,0.11
1.76,0.99,-1.95,0.14
1.92,0.98,-1.93,0.20
2.08,0.98,-1.89,0.27
2.08,0.98,-1.89,0.27
2.12,0.97,-1.88,0.28
2.12,0.97,-1.88,0.29
2.12,0.97,-1.88,0.29
2.12,0.97,-1.88,0.30
2.13,0.97,-1.88,0.30
2.13,0.97,-1.88,0.29
2.14,0.97,-1.88,0.29
2.14,0.97,-1.88,0.28
2.14,0.97,-1.87,0.30
2.15,0.97,-1.87,0.30
2.15,0.97,-1.87,0.30
2.15,0.97,-1.87,0.29
2.16,0.97,-1.87,0.29
2.18,0.97,-1.86,0.32
2.18,0.97,-1.87,0.31
2.19,0.97,-1.86,0.32
2.19,0.97,-1.86,0.30
2.20,0.97,-1.86,0.34
2.20,0.97,-1.86,0.31
2.20,0.97,-1.86,0.33
2.20,0.97,-1.86,0.33
2.20,0.97,-1.86,0.32
2.20,0.97,-1.86,0.32
2.21,0.97,-1.85,0.32
2.21,0.97,-1.85,0.33
2.21,0.97,-1.85,0.33
2.21,0.97,-1.85,0.32
2.22,0.97,-1.85,0.32
2.23,0.97,-1.85,0.34
2.23,0.97,-1.85,0.33
2.23,0.97,-1.85,0.32
2.24,0.97,-1.84,0.33
2.24,0.97,-1.85,0.34
2.24,0.97,-1.85,0.32
2.24,0.96,-1.84,0.34
2.25,0.96,-1.84,0.35
2.25,0.96,-1.84,0.36
2.25,0.96,-1.84,0.35
2.26,0.96,-1.84,0.34
2.26,0.96,-1.84,0.35
2.27,0.96,-1.84,0.36
2.27,0.96,-1.83,0.37
2.27,0.96,-1.83,0.35
2.28,0.96,-1.83,0.37
2.29,0.96,-1.83,0.36
2.29,0.96,-1.82,0.37
2.29,0.96,-1.83,0.35
2.29,0.96,-1.83,0.37
2.29,0.96,-1.83,0.36
2.29,0.96,-1.82,0.36
2.30,0.96,-1.82,0.37
2.31,0.96,-1.82,0.39
2.31,0.96,-1.82,0.37
2.31,0.96,-1.82,0.36
2.32,0.96,-1.82,0.36
2.32,0.96,-1.82,0.38
2.32,0.96,-1.81,0.37
2.33,0.96,-1.81,0.37
2.33,0.96,-1.82,0.36
2.34,0.96,-1.81,0.39
2.34,0.96,-1.81,0.38
2.34,0.96,-1.81,0.39
2.34,0.96,-1.81,0.40
2.34,0.96,-1.81,0.36
2.36,0.95,-1.79,0.39
2.37,0.95,-1.80,0.40
2.37,0.95,-1.79,0.39
2.39,0.95,-1.79,0.42
2.39,0.95,-1.79,0.41
2.39,0.95,-1.79,0.41
2.39,0.95,-1.79,0.40
2.39,0.95,-1.79,0.40
2.40,0.95,-1.78,0.43
2.40,0.95,-1.78,0.43
2.41,0.95,-1.78,0.40
2.43,0.95,-1.77,0.41
2.43,0.95,-1.77,0.43
2.44,0.95,-1.77,0.42
2.44,0.95,-1.77,0.44
2.44,0.95,-1.77,0.44
2.45,0.95,-1.76,0.44
2.55,0.93,-1.72,0.48
2.71,0.91,-1.64,0.54
2.87,0.89,-1.54,0.59
3.03,0.86,-1.45,0.58
3.18,0.83,-1.33,0.82
3.34,0.80,-1.21,0.70
3.50,0.76,-1.10,0.66
