L,C
0.00,2.27
0.04,2.27
0.08,2.27
0.12,2.27
0.17,2.27
0.21,2.27
0.25,2.27
0.29,2.27
0.33,2.27
0.38,2.27
0.42,2.27
0.46,2.27
0.50,2.27
0.54,2.27
0.58,2.27
0.62,2.27
0.67,2.27
0.71,2.27
0.75,2.27
0.79,2.27
0.83,2.27
0.88,2.27
0.92,2.27
0.96,2.27
1.00,2.27
