T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.02
1.29,1.00,-1.99,0.07
1.45,0.99,-1.97,0.10
1.61,0.99,-1.95,0.18
1.76,0.98,-1.92,0.24
1.92,0.97,-1.88,0.35
1.94,0.96,-1.86,0.34
2.05,0.95,-1.82,0.45
2.08,0.95,-1.81,0.47
2.08,0.95,-1.81,0.45
2.09,0.95,-1.81,0.46
2.10,0.95,-1.81,0.46
2.13,0.94,-1.79,0.48
2.14,0.94,-1.78,0.51
2.15,0.94,-1.77,0.52
2.15,0.94,-1.77,0.50
2.16,0.94,-1.77,0.51
2.17,0.94,-1.77,0.54
2.17,0.94,-1.77,0.51
2.18,0.94,-1.76,0.52
2.18,0.93,-1.76,0.53
2.20,0.93,-1.75,0.54
2.20,0.93,-1.75,0.53
2.20,0.93,-1.75,0.54
2.20,0.93,-1.75,0.51
2.20,0.93,-1.75,0.56
2.21,0.93,-1.74,0.60
2.21,0.93,-1.74,0.56
2.21,0.93,-1.74,0.56
2.23,0.93,-1.74,0.57
2.23,0.93,-1.73,0.59
2.24,0.92,-1.73,0.57
2.24,0.92,-1.73,0.57
2.24,0.92,-1.73,0.57
2.24,0.92,-1.72,0.60
2.24,0.92,-1.73,0.57
2.25,0.92,-1.72,0.58
2.25,0.92,-1.72,0.59
2.25,0.92,-1.72,0.62
2.26,0.92,-1.72,0.57
2.26,0.92,-1.72,0.57
2.26,0.92,-1.71,0.59
2.27,0.92,-1.71,0.61
2.27,0.92,-1.71,0.58
2.28,0.92,-1.71,0.56
2.28,0.92,-1.71,0.56
2.28,0.92,-1.71,0.60
2.28,0.92,-1.70,0.59
2.28,0.92,-1.71,0.64
2.28,0.92,-1.70,0.60
2.29,0.92,-1.70,0.61
2.29,0.92,-1.70,0.61
2.29,0.92,-1.70,0.63
2.29,0.91,-1.69,0.61
2.29,0.91,-1.70,0.63
2.30,0.91,-1.69,0.63
2.31,0.91,-1.69,0.60
2.31,0.91,-1.68,0.63
2.31,0.91,-1.69,0.62
2.32,0.91,-1.69,0.62
2.32,0.91,-1.67,0.69
2.33,0.91,-1.68,0.65
2.33,0.91,-1.67,0.64
2.34,0.91,-1.67,0.66
2.35,0.90,-1.66,0.65
2.35,0.90,-1.66,0.66
2.35,0.90,-1.66,0.71
2.35,0.90,-1.66,0.64
2.36,0.90,-1.66,0.69
2.36,0.90,-1.65,0.65
2.37,0.90,-1.65,0.69
2.37,0.90,-1.65,0.71
2.37,0.90,-1.65,0.70
2.37,0.90,-1.65,0.72
2.38,0.90,-1.64,0.67
2.39,0.89,-1.63,0.70
2.39,0.89,-1.63,0.69
2.40,0.89,-1.62,0.73
2.40,0.89,-1.63,0.65
2.40,0.89,-1.63,0.70
2.40,0.89,-1.63,0.66
2.41,0.89,-1.62,0.71
2.41,0.89,-1.62,0.67
2.42,0.89,-1.62,0.70
2.42,0.89,-1.61,0.68
2.43,0.88,-1.61,0.69
2.50,0.87,-1.56,0.76
2.51,0.86,-1.54,0.80
2.55,0.85,-1.52,0.79
2.55,0.85,-1.51,0.81
2.71,0.80,-1.38,0.77
2.87,0.74,-1.23,0.94
3.03,0.67,-1.09,0.96
3.18,0.58,-0.92,0.88
3.34,0.53,-0.81,0.72
3.50,0.49,-0.72,0.65
