T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.03
1.29,1.00,-1.99,0.06
1.45,1.00,-1.98,0.09
1.61,0.99,-1.96,0.15
1.76,0.98,-1.93,0.19
1.92,0.97,-1.89,0.31
1.93,0.97,-1.89,0.32
2.04,0.96,-1.85,0.38
2.04,0.96,-1.85,0.40
2.06,0.96,-1.84,0.36
2.08,0.96,-1.83,0.39
2.11,0.96,-1.83,0.39
2.12,0.95,-1.82,0.43
2.13,0.95,-1.81,0.44
2.13,0.95,-1.82,0.43
2.15,0.95,-1.81,0.43
2.16,0.95,-1.80,0.44
2.16,0.95,-1.80,0.44
2.17,0.95,-1.80,0.44
2.19,0.95,-1.79,0.45
2.19,0.94,-1.79,0.47
2.19,0.95,-1.79,0.47
2.19,0.94,-1.78,0.49
2.20,0.94,-1.78,0.49
2.21,0.94,-1.78,0.48
2.21,0.94,-1.78,0.47
2.21,0.94,-1.78,0.48
2.21,0.94,-1.78,0.48
2.21,0.94,-1.78,0.49
2.21,0.94,-1.77,0.46
2.21,0.94,-1.78,0.48
2.22,0.94,-1.78,0.49
2.22,0.94,-1.77,0.52
2.23,0.94,-1.78,0.47
2.23,0.94,-1.77,0.48
2.23,0.94,-1.77,0.49
2.23,0.94,-1.77,0.50
2.24,0.94,-1.77,0.49
2.24,0.94,-1.77,0.49
2.24,0.94,-1.77,0.50
2.24,0.94,-1.76,0.51
2.24,0.94,-1.77,0.49
2.24,0.94,-1.76,0.53
2.26,0.94,-1.76,0.50
2.26,0.94,-1.76,0.50
2.26,0.94,-1.76,0.47
2.26,0.94,-1.75,0.51
2.26,0.94,-1.76,0.51
2.26,0.94,-1.75,0.50
2.26,0.93,-1.75,0.51
2.26,0.93,-1.75,0.50
2.27,0.93,-1.75,0.53
2.28,0.93,-1.75,0.53
2.28,0.93,-1.74,0.51
2.28,0.93,-1.74,0.54
2.28,0.93,-1.75,0.52
2.29,0.93,-1.74,0.52
2.29,0.93,-1.74,0.51
2.29,0.93,-1.74,0.52
2.30,0.93,-1.74,0.49
2.30,0.93,-1.73,0.53
2.31,0.93,-1.73,0.54
2.31,0.93,-1.73,0.53
2.32,0.93,-1.72,0.52
2.32,0.93,-1.72,0.55
2.32,0.93,-1.73,0.53
2.32,0.93,-1.72,0.57
2.33,0.93,-1.72,0.54
2.33,0.93,-1.72,0.53
2.34,0.92,-1.71,0.53
2.34,0.92,-1.72,0.55
2.34,0.92,-1.71,0.58
2.35,0.92,-1.71,0.55
2.35,0.92,-1.70,0.57
2.36,0.92,-1.70,0.60
2.36,0.92,-1.70,0.56
2.36,0.92,-1.69,0.61
2.37,0.92,-1.69,0.57
2.37,0.92,-1.69,0.58
2.37,0.92,-1.70,0.61
2.38,0.92,-1.69,0.58
2.38,0.92,-1.69,0.56
2.38,0.92,-1.69,0.58
2.39,0.91,-1.68,0.61
2.39,0.92,-1.69,0.60
2.41,0.91,-1.68,0.64
2.41,0.91,-1.67,0.61
2.41,0.91,-1.67,0.61
2.48,0.90,-1.62,0.67
2.55,0.88,-1.58,0.67
2.71,0.84,-1.46,0.82
2.87,0.80,-1.34,0.83
3.03,0.74,-1.18,0.84
3.18,0.69,-1.06,0.90
3.34,0.62,-0.91,0.78
3.50,0.59,-0.82,0.81
