T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.06
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.13
1.61,0.98,-1.92,0.25
1.76,0.96,-1.87,0.41
1.92,0.93,-1.79,0.61
2.02,0.91,-1.74,0.78
2.07,0.89,-1.69,0.92
2.08,0.88,-1.69,0.89
2.09,0.88,-1.68,0.97
2.10,0.87,-1.67,0.88
2.10,0.87,-1.66,0.93
2.11,0.86,-1.64,0.98
2.12,0.85,-1.64,1.07
2.12,0.86,-1.64,0.97
2.12,0.85,-1.64,1.03
2.13,0.85,-1.63,1.13
2.14,0.85,-1.63,0.97
2.15,0.83,-1.61,1.13
2.15,0.83,-1.60,1.08
2.16,0.84,-1.60,1.02
2.16,0.83,-1.60,1.09
2.17,0.82,-1.59,1.25
2.17,0.82,-1.59,1.22
2.17,0.82,-1.59,1.24
2.18,0.83,-1.59,1.04
2.18,0.83,-1.59,1.12
2.18,0.80,-1.57,1.35
2.18,-0.06,-1.57,1.31
2.18,0.57,-1.56,1.36
2.18,0.81,-1.57,1.28
2.19,0.80,-1.56,1.25
2.20,0.81,-1.56,1.13
2.21,0.59,-1.52,1.52
2.21,0.79,-1.54,1.29
2.21,0.79,-1.54,1.23
2.21,0.76,-1.52,1.54
2.22,0.77,-1.52,1.29
2.22,0.44,-1.52,1.34
2.22,0.31,-1.52,1.41
2.22,0.17,-1.51,1.46
2.23,-0.36,-1.48,1.62
2.23,0.45,-1.50,1.38
2.24,0.76,-1.50,1.36
2.24,0.74,-1.49,1.48
2.24,-0.12,-1.48,1.48
2.24,0.45,-1.49,1.71
2.25,0.03,-1.47,1.50
2.25,0.04,-1.46,1.60
2.26,0.36,-1.47,1.60
2.27,0.43,-1.45,1.45
2.27,-0.05,-1.43,1.54
2.27,-0.49,-1.46,1.39
2.28,0.24,-1.44,1.50
2.28,0.43,-1.42,1.65
2.28,0.22,-1.42,1.61
2.29,0.15,-1.39,1.83
2.29,0.01,-1.40,1.79
2.29,0.15,-1.39,1.72
2.29,0.13,-1.38,1.61
2.30,0.10,-1.39,1.70
2.30,-0.08,-1.39,1.67
2.31,0.13,-1.38,1.78
2.32,-0.33,-1.38,1.71
2.32,-0.15,-1.34,1.65
2.32,-0.19,-1.36,1.50
2.33,-0.09,-1.35,1.72
2.33,0.03,-1.35,1.59
2.34,-0.12,-1.32,1.52
2.34,0.16,-1.33,1.69
2.34,0.04,-1.32,1.55
2.35,0.03,-1.29,1.54
2.35,-0.06,-1.32,1.70
2.36,-0.21,-1.29,1.57
2.36,0.01,-1.28,1.52
2.36,-0.02,-1.28,1.44
2.37,0.00,-1.29,1.62
2.38,0.06,-1.25,1.40
2.39,0.10,-1.23,1.25
2.39,-0.05,-1.23,1.24
2.40,-0.08,-1.25,1.44
2.41,-0.14,-1.20,1.26
2.42,-0.06,-1.21,1.34
2.43,0.10,-1.18,1.10
2.43,-0.04,-1.19,1.29
2.45,0.02,-1.17,1.24
2.46,0.10,-1.18,1.16
2.46,0.19,-1.17,1.16
2.49,-0.08,-1.13,1.00
2.55,0.02,-1.08,0.97
2.71,-0.02,-0.96,0.61
2.87,-0.01,-0.89,0.40
3.03,0.01,-0.81,0.42
3.18,0.01,-0.75,0.31
3.34,0.02,-0.73,0.32
3.50,0.00,-0.65,0.27
