T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.04
1.29,1.00,-1.99,0.07
1.45,0.99,-1.97,0.13
1.61,0.98,-1.94,0.20
1.76,0.97,-1.90,0.32
1.92,0.95,-1.83,0.46
1.95,0.95,-1.83,0.48
2.08,0.92,-1.75,0.63
2.12,0.91,-1.72,0.69
2.14,0.91,-1.71,0.70
2.15,0.91,-1.71,0.75
2.15,0.91,-1.70,0.71
2.15,0.90,-1.70,0.71
2.15,0.90,-1.70,0.69
2.15,0.91,-1.71,0.64
2.16,0.90,-1.70,0.68
2.16,0.90,-1.69,0.73
2.16,0.91,-1.70,0.63
2.16,0.90,-1.69,0.69
2.17,0.90,-1.69,0.72
2.17,0.90,-1.70,0.68
2.18,0.90,-1.68,0.76
2.18,0.90,-1.68,0.73
2.19,0.90,-1.68,0.77
2.19,0.89,-1.67,0.76
2.19,0.90,-1.68,0.76
2.20,0.89,-1.67,0.75
2.20,0.89,-1.67,0.73
2.20,0.89,-1.66,0.83
2.20,0.89,-1.66,0.80
2.20,0.89,-1.67,0.76
2.21,0.89,-1.66,0.77
2.21,0.89,-1.66,0.77
2.21,0.89,-1.66,0.72
2.23,0.88,-1.65,0.79
2.23,0.88,-1.63,0.86
2.24,0.88,-1.64,0.79
2.24,0.88,-1.64,0.87
2.24,0.88,-1.63,0.84
2.24,0.88,-1.64,0.84
2.24,0.88,-1.63,0.85
2.24,0.88,-1.64,0.86
2.24,0.88,-1.63,0.81
2.24,0.88,-1.63,0.80
2.24,0.88,-1.63,0.81
2.24,0.88,-1.63,0.82
2.25,0.87,-1.63,0.85
2.25,0.88,-1.63,0.83
2.26,0.88,-1.63,0.77
2.26,0.88,-1.63,0.76
2.26,0.87,-1.62,0.84
2.26,0.87,-1.62,0.83
2.26,0.87,-1.62,0.94
2.27,0.87,-1.61,0.81
2.27,0.87,-1.61,0.89
2.27,0.87,-1.62,0.77
2.27,0.86,-1.61,0.89
2.27,0.87,-1.61,0.85
2.28,0.86,-1.60,0.83
2.28,0.86,-1.60,0.84
2.28,0.86,-1.60,0.81
2.28,0.86,-1.60,0.91
2.28,0.87,-1.61,0.85
2.30,0.86,-1.59,0.83
2.31,0.85,-1.58,0.87
2.31,0.85,-1.58,0.93
2.31,0.85,-1.57,0.99
2.31,0.85,-1.58,0.89
2.32,0.85,-1.57,0.92
2.32,0.85,-1.57,0.87
2.32,0.85,-1.57,0.87
2.32,0.84,-1.56,0.89
2.32,0.84,-1.56,0.94
2.34,0.84,-1.55,1.01
2.35,0.84,-1.55,1.00
2.36,0.83,-1.53,0.96
2.36,0.83,-1.53,0.95
2.37,0.82,-1.52,0.94
2.38,0.82,-1.51,0.89
2.38,0.82,-1.51,0.97
2.38,0.82,-1.51,0.98
2.39,0.82,-1.50,0.98
2.39,0.81,-1.50,1.06
2.42,0.81,-1.49,1.01
2.42,0.80,-1.46,1.08
2.45,0.79,-1.44,1.09
2.46,0.78,-1.43,1.06
2.47,0.77,-1.41,1.14
2.49,0.76,-1.39,1.06
2.55,0.72,-1.33,1.14
2.71,0.61,-1.15,1.17
2.87,0.49,-1.00,1.03
3.03,0.42,-0.87,0.88
3.18,0.31,-0.74,0.73
3.34,0.28,-0.68,0.46
3.50,0.20,-0.59,0.40
