T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.02
1.29,1.00,-1.99,0.04
1.45,1.00,-1.98,0.07
1.61,0.99,-1.97,0.11
1.76,0.99,-1.95,0.16
1.92,0.98,-1.92,0.21
1.99,0.98,-1.90,0.25
2.04,0.97,-1.89,0.27
2.08,0.97,-1.88,0.31
2.09,0.97,-1.88,0.31
2.09,0.97,-1.88,0.31
2.13,0.97,-1.87,0.33
2.13,0.97,-1.86,0.31
2.14,0.97,-1.86,0.33
2.14,0.97,-1.86,0.34
2.14,0.97,-1.86,0.32
2.15,0.97,-1.86,0.35
2.16,0.97,-1.85,0.33
2.16,0.97,-1.85,0.33
2.17,0.97,-1.85,0.32
2.17,0.97,-1.85,0.33
2.17,0.97,-1.85,0.34
2.18,0.96,-1.85,0.33
2.19,0.96,-1.84,0.37
2.19,0.96,-1.84,0.36
2.20,0.96,-1.84,0.38
2.20,0.96,-1.84,0.34
2.20,0.96,-1.84,0.35
2.20,0.96,-1.84,0.35
2.22,0.96,-1.83,0.35
2.23,0.96,-1.83,0.35
2.23,0.96,-1.83,0.37
2.23,0.96,-1.82,0.39
2.24,0.96,-1.83,0.38
2.24,0.96,-1.83,0.37
2.24,0.96,-1.83,0.38
2.25,0.96,-1.82,0.39
2.25,0.96,-1.82,0.40
2.26,0.96,-1.82,0.37
2.26,0.96,-1.82,0.36
2.26,0.96,-1.82,0.40
2.26,0.96,-1.82,0.39
2.26,0.96,-1.82,0.38
2.26,0.96,-1.82,0.38
2.26,0.96,-1.82,0.38
2.26,0.96,-1.82,0.38
2.27,0.96,-1.81,0.39
2.27,0.96,-1.81,0.39
2.27,0.96,-1.81,0.38
2.28,0.96,-1.81,0.39
2.28,0.96,-1.81,0.38
2.29,0.95,-1.80,0.42
2.29,0.95,-1.80,0.40
2.29,0.95,-1.81,0.41
2.30,0.95,-1.80,0.44
2.30,0.95,-1.80,0.42
2.30,0.95,-1.80,0.41
2.31,0.95,-1.80,0.41
2.31,0.95,-1.80,0.41
2.31,0.95,-1.80,0.42
2.31,0.95,-1.80,0.41
2.32,0.95,-1.80,0.41
2.32,0.95,-1.80,0.42
2.32,0.95,-1.79,0.41
2.33,0.95,-1.79,0.41
2.33,0.95,-1.79,0.41
2.33,0.95,-1.79,0.41
2.33,0.95,-1.78,0.42
2.33,0.95,-1.79,0.43
2.34,0.95,-1.79,0.41
2.34,0.95,-1.79,0.41
2.34,0.95,-1.78,0.42
2.35,0.95,-1.78,0.40
2.36,0.95,-1.78,0.46
2.36,0.95,-1.78,0.42
2.36,0.95,-1.78,0.44
2.37,0.95,-1.77,0.46
2.39,0.94,-1.77,0.46
2.39,0.94,-1.76,0.42
2.39,0.94,-1.76,0.45
2.39,0.94,-1.76,0.45
2.40,0.94,-1.76,0.46
2.41,0.94,-1.76,0.45
2.41,0.94,-1.75,0.47
2.41,0.94,-1.75,0.45
2.45,0.94,-1.74,0.49
2.45,0.94,-1.73,0.49
2.46,0.94,-1.73,0.49
2.51,0.93,-1.70,0.50
2.55,0.92,-1.68,0.58
2.71,0.90,-1.60,0.60
2.87,0.87,-1.49,0.63
3.03,0.84,-1.37,0.92
3.18,0.80,-1.27,0.67
3.34,0.76,-1.13,0.83
3.50,0.73,-1.03,0.73
