T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.01
1.13,1.00,-1.99,0.04
1.29,1.00,-1.99,0.05
1.45,0.99,-1.97,0.13
1.61,0.99,-1.95,0.18
1.76,0.98,-1.91,0.28
1.92,0.96,-1.85,0.39
2.05,0.94,-1.79,0.51
2.06,0.94,-1.79,0.50
2.07,0.94,-1.78,0.53
2.08,0.94,-1.78,0.56
2.09,0.93,-1.77,0.56
2.11,0.93,-1.76,0.57
2.12,0.93,-1.75,0.56
2.12,0.93,-1.76,0.55
2.13,0.93,-1.75,0.61
2.15,0.92,-1.73,0.61
2.16,0.92,-1.73,0.59
2.16,0.92,-1.73,0.61
2.17,0.92,-1.73,0.63
2.18,0.92,-1.72,0.65
2.19,0.92,-1.72,0.63
2.19,0.91,-1.71,0.62
2.21,0.91,-1.70,0.63
2.21,0.91,-1.70,0.67
2.21,0.91,-1.70,0.61
2.22,0.91,-1.69,0.71
2.22,0.91,-1.70,0.66
2.23,0.91,-1.69,0.69
2.23,0.91,-1.69,0.66
2.23,0.90,-1.69,0.70
2.23,0.91,-1.69,0.68
2.23,0.90,-1.68,0.72
2.24,0.90,-1.68,0.68
2.24,0.90,-1.68,0.71
2.24,0.90,-1.68,0.65
2.24,0.90,-1.68,0.71
2.24,0.90,-1.68,0.70
2.24,0.90,-1.68,0.69
2.25,0.90,-1.68,0.66
2.25,0.90,-1.67,0.73
2.25,0.90,-1.67,0.64
2.25,0.90,-1.68,0.67
2.26,0.90,-1.66,0.70
2.26,0.90,-1.67,0.67
2.26,0.90,-1.67,0.68
2.27,0.89,-1.66,0.71
2.27,0.90,-1.66,0.69
2.27,0.89,-1.66,0.72
2.27,0.90,-1.66,0.72
2.28,0.89,-1.65,0.75
2.28,0.89,-1.65,0.79
2.28,0.89,-1.65,0.77
2.28,0.89,-1.65,0.72
2.29,0.89,-1.64,0.76
2.29,0.89,-1.65,0.75
2.29,0.89,-1.64,0.74
2.30,0.89,-1.65,0.75
2.30,0.89,-1.64,0.72
2.30,0.89,-1.64,0.78
2.31,0.88,-1.63,0.73
2.31,0.88,-1.63,0.77
2.31,0.88,-1.63,0.79
2.31,0.88,-1.63,0.72
2.32,0.88,-1.63,0.77
2.32,0.88,-1.62,0.78
2.33,0.88,-1.62,0.75
2.33,0.88,-1.61,0.76
2.33,0.88,-1.61,0.79
2.33,0.88,-1.62,0.76
2.33,0.88,-1.61,0.76
2.34,0.88,-1.61,0.78
2.34,0.87,-1.60,0.77
2.36,0.87,-1.60,0.82
2.36,0.87,-1.59,0.82
2.36,0.87,-1.58,0.81
2.37,0.87,-1.58,0.79
2.38,0.86,-1.57,0.80
2.38,0.86,-1.58,0.78
2.39,0.86,-1.58,0.83
2.39,0.86,-1.57,0.84
2.39,0.86,-1.57,0.86
2.39,0.86,-1.56,0.84
2.39,0.86,-1.57,0.80
2.39,0.85,-1.56,0.87
2.41,0.85,-1.54,0.86
2.42,0.85,-1.54,0.88
2.44,0.84,-1.52,0.89
2.45,0.83,-1.51,0.88
2.46,0.83,-1.49,0.88
2.55,0.79,-1.42,0.90
2.71,0.71,-1.24,1.05
2.87,0.62,-1.09,0.95
3.03,0.55,-0.96,0.82
3.18,0.47,-0.83,0.81
3.34,0.40,-0.73,0.71
3.50,0.35,-0.63,0.52
