T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-2.00,0.02
1.29,1.00,-1.99,0.05
1.45,0.99,-1.98,0.11
1.61,0.99,-1.95,0.16
1.76,0.98,-1.93,0.23
1.92,0.97,-1.88,0.33
2.02,0.96,-1.84,0.38
2.06,0.96,-1.83,0.42
2.08,0.95,-1.82,0.44
2.08,0.95,-1.82,0.44
2.09,0.95,-1.82,0.43
2.10,0.95,-1.81,0.45
2.11,0.95,-1.81,0.42
2.13,0.95,-1.79,0.46
2.14,0.95,-1.80,0.48
2.15,0.94,-1.79,0.47
2.16,0.94,-1.78,0.49
2.17,0.94,-1.78,0.49
2.17,0.94,-1.78,0.49
2.17,0.94,-1.78,0.52
2.17,0.94,-1.78,0.49
2.18,0.94,-1.78,0.53
2.18,0.94,-1.77,0.48
2.19,0.94,-1.77,0.53
2.20,0.94,-1.77,0.51
2.20,0.94,-1.76,0.51
2.21,0.93,-1.75,0.52
2.21,0.93,-1.76,0.52
2.21,0.94,-1.76,0.51
2.21,0.93,-1.76,0.51
2.21,0.93,-1.76,0.53
2.22,0.93,-1.75,0.52
2.23,0.93,-1.75,0.54
2.24,0.93,-1.74,0.54
2.24,0.93,-1.74,0.54
2.24,0.93,-1.74,0.53
2.25,0.93,-1.74,0.52
2.25,0.93,-1.73,0.54
2.25,0.93,-1.74,0.56
2.25,0.93,-1.73,0.57
2.25,0.93,-1.74,0.55
2.25,0.93,-1.73,0.56
2.26,0.93,-1.73,0.58
2.27,0.92,-1.73,0.57
2.27,0.92,-1.73,0.56
2.27,0.92,-1.72,0.61
2.28,0.92,-1.72,0.56
2.28,0.92,-1.72,0.55
2.28,0.92,-1.72,0.59
2.29,0.92,-1.72,0.57
2.29,0.92,-1.72,0.55
2.29,0.92,-1.72,0.51
2.29,0.92,-1.71,0.58
2.31,0.92,-1.70,0.60
2.31,0.92,-1.70,0.61
2.32,0.92,-1.70,0.57
2.32,0.92,-1.70,0.58
2.32,0.92,-1.70,0.58
2.33,0.91,-1.69,0.64
2.33,0.91,-1.69,0.61
2.33,0.91,-1.69,0.62
2.34,0.91,-1.68,0.64
2.34,0.91,-1.68,0.60
2.34,0.91,-1.68,0.63
2.35,0.91,-1.68,0.65
2.36,0.91,-1.67,0.62
2.36,0.91,-1.68,0.61
2.37,0.91,-1.67,0.64
2.37,0.90,-1.66,0.66
2.37,0.90,-1.66,0.65
2.37,0.91,-1.67,0.65
2.37,0.91,-1.66,0.65
2.38,0.90,-1.66,0.67
2.38,0.90,-1.66,0.63
2.39,0.90,-1.66,0.63
2.39,0.90,-1.66,0.65
2.39,0.90,-1.66,0.63
2.39,0.90,-1.66,0.63
2.39,0.90,-1.66,0.62
2.40,0.90,-1.65,0.67
2.40,0.90,-1.65,0.67
2.40,0.90,-1.64,0.62
2.41,0.90,-1.64,0.68
2.41,0.90,-1.63,0.67
2.43,0.89,-1.62,0.69
2.44,0.89,-1.62,0.66
2.44,0.89,-1.61,0.70
2.46,0.89,-1.60,0.75
2.54,0.87,-1.55,0.78
2.55,0.86,-1.54,0.72
2.71,0.82,-1.42,0.86
2.87,0.76,-1.26,0.92
3.03,0.71,-1.14,0.85
3.18,0.65,-1.02,0.81
3.34,0.58,-0.87,0.77
3.50,0.51,-0.75,0.72
