T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.00
1.13,1.00,-2.00,0.01
1.29,1.00,-2.00,0.03
1.45,1.00,-1.99,0.05
1.61,1.00,-1.98,0.09
1.76,0.99,-1.96,0.15
1.92,0.99,-1.94,0.19
2.03,0.98,-1.91,0.24
2.08,0.98,-1.90,0.24
2.08,0.98,-1.90,0.25
2.08,0.98,-1.90,0.26
2.09,0.98,-1.90,0.25
2.09,0.98,-1.90,0.26
2.11,0.98,-1.89,0.27
2.11,0.98,-1.89,0.27
2.13,0.98,-1.89,0.28
2.14,0.98,-1.88,0.28
2.14,0.97,-1.88,0.29
2.16,0.97,-1.88,0.29
2.18,0.97,-1.87,0.30
2.20,0.97,-1.87,0.30
2.20,0.97,-1.87,0.29
2.20,0.97,-1.87,0.32
2.21,0.97,-1.86,0.30
2.21,0.97,-1.86,0.30
2.21,0.97,-1.86,0.29
2.21,0.97,-1.86,0.30
2.22,0.97,-1.86,0.30
2.22,0.97,-1.86,0.30
2.22,0.97,-1.86,0.31
2.23,0.97,-1.86,0.31
2.23,0.97,-1.86,0.32
2.23,0.97,-1.86,0.32
2.23,0.97,-1.86,0.31
2.24,0.97,-1.85,0.34
2.24,0.97,-1.86,0.30
2.24,0.97,-1.85,0.31
2.24,0.97,-1.86,0.31
2.25,0.97,-1.85,0.32
2.25,0.97,-1.85,0.32
2.27,0.97,-1.85,0.32
2.27,0.97,-1.85,0.33
2.27,0.97,-1.85,0.31
2.28,0.97,-1.84,0.33
2.28,0.97,-1.84,0.34
2.28,0.97,-1.84,0.34
2.29,0.96,-1.84,0.34
2.29,0.96,-1.84,0.33
2.29,0.96,-1.84,0.34
2.29,0.97,-1.84,0.34
2.29,0.96,-1.84,0.35
2.29,0.96,-1.84,0.35
2.30,0.96,-1.84,0.35
2.30,0.96,-1.84,0.32
2.30,0.96,-1.83,0.34
2.30,0.96,-1.83,0.36
2.30,0.96,-1.83,0.35
2.30,0.96,-1.83,0.35
2.31,0.96,-1.84,0.36
2.31,0.96,-1.83,0.35
2.31,0.96,-1.83,0.35
2.31,0.96,-1.83,0.36
2.31,0.96,-1.83,0.35
2.32,0.96,-1.83,0.35
2.32,0.96,-1.83,0.36
2.32,0.96,-1.83,0.35
2.32,0.96,-1.83,0.34
2.33,0.96,-1.83,0.35
2.33,0.96,-1.83,0.36
2.34,0.96,-1.82,0.38
2.35,0.96,-1.82,0.37
2.35,0.96,-1.81,0.37
2.35,0.96,-1.82,0.36
2.36,0.96,-1.82,0.38
2.36,0.96,-1.81,0.37
2.37,0.96,-1.81,0.37
2.37,0.96,-1.81,0.38
2.37,0.96,-1.81,0.38
2.38,0.96,-1.81,0.36
2.38,0.96,-1.80,0.39
2.38,0.96,-1.81,0.37
2.39,0.96,-1.81,0.38
2.39,0.96,-1.80,0.39
2.41,0.96,-1.80,0.37
2.44,0.95,-1.79,0.39
2.44,0.95,-1.78,0.38
2.44,0.95,-1.78,0.40
2.46,0.95,-1.78,0.40
2.47,0.95,-1.77,0.40
2.51,0.94,-1.75,0.45
2.55,0.94,-1.74,0.45
2.71,0.92,-1.66,0.57
2.87,0.90,-1.57,0.65
3.03,0.87,-1.47,0.73
3.18,0.85,-1.37,0.74
3.34,0.81,-1.25,0.70
3.50,0.77,-1.11,0.66
