T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.027687
0.815789,0.999873,-1.999492,0.005935,0.000000,0.052191
0.973684,0.999510,-1.998041,0.017196,0.000000,0.075188
1.131579,0.998367,-1.993651,0.037911,0.000000,0.097770
1.289474,0.995143,-1.981859,0.091919,0.000000,0.120833
1.447368,0.990263,-1.964239,0.137750,0.000000,0.145311
1.605263,0.979490,-1.928568,0.266098,0.000000,0.172399
1.763158,0.963656,-1.878225,0.402054,0.000000,0.203935
1.921053,0.935232,-1.800690,0.541997,0.000001,0.243254
2.072887,0.887787,-1.692467,0.846580,0.000003,0.295039
2.078947,0.872684,-1.677378,0.989387,0.000007,0.297559
2.088733,0.860843,-1.661732,1.040534,0.000011,0.301723
2.108566,0.869605,-1.656295,0.985374,0.000003,0.310548
2.121107,0.859253,-1.646545,1.065842,0.000006,0.316411
2.122336,0.859322,-1.642112,0.999524,0.000005,0.316999
2.130683,0.854411,-1.633755,0.991953,0.000005,0.321047
2.137490,0.838563,-1.617619,1.166433,0.000009,0.324429
2.150393,0.838175,-1.611172,1.124282,0.000008,0.331046
2.153620,-0.090281,-1.595189,1.149286,0.000716,0.332745
2.159482,-0.803276,-1.586899,1.144905,0.000032,0.335876
2.160495,0.834681,-1.601488,1.197337,0.000007,0.336423
2.165189,0.811942,-1.586122,1.299750,0.000016,0.338981
2.166797,0.830681,-1.597904,1.112084,0.000008,0.339867
2.168810,0.826628,-1.588148,1.100692,0.000006,0.340981
2.171553,0.443182,-1.588296,1.129913,0.000517,0.342512
2.176920,0.809505,-1.579588,1.249013,0.000019,0.345546
2.185595,0.802480,-1.562526,1.263595,0.000013,0.350561
2.187695,0.548222,-1.556727,1.351947,0.000355,0.351796
2.197039,-0.680883,-1.544119,1.490378,0.000169,0.357389
2.200895,0.787258,-1.551082,1.286396,0.000022,0.359744
2.205176,-0.726965,-1.532189,1.501200,0.000086,0.362391
2.205351,0.799187,-1.552998,1.169701,0.000011,0.362499
2.205651,0.047475,-1.539934,1.384780,0.000645,0.362686
2.208834,0.793291,-1.545461,1.133880,0.000012,0.364678
2.209156,0.313220,-1.532660,1.453666,0.000534,0.364881
2.211136,0.051875,-1.525251,1.552741,0.000621,0.366131
2.217343,0.762087,-1.519258,1.520390,0.000023,0.370094
2.218681,0.437965,-1.524533,1.377922,0.000432,0.370957
2.228516,0.792466,-1.536463,1.183712,0.000011,0.377396
2.231597,-0.459604,-1.496379,1.597326,0.000360,0.379447
2.232774,-0.562700,-1.497007,1.501263,0.000250,0.380235
2.236842,-0.297513,-1.503207,1.454745,0.000508,0.382974
2.237415,0.755542,-1.504836,1.498222,0.000024,0.383361
2.242372,-0.552751,-1.497090,1.496732,0.000280,0.386738
2.243039,0.370881,-1.501417,1.482071,0.000450,0.387194
2.243720,-0.571021,-1.482277,1.622404,0.000228,0.387662
2.245143,-0.294936,-1.479878,1.462710,0.000482,0.388640
2.255342,0.311725,-1.437319,1.883981,0.000395,0.395733
2.271835,0.677406,-1.437678,1.475653,0.000038,0.407448
2.273368,0.402879,-1.437117,1.513160,0.000345,0.408549
2.274606,-0.421001,-1.444361,1.719652,0.000342,0.409439
2.276303,0.224086,-1.437291,1.628122,0.000454,0.410661
2.278630,0.266212,-1.423939,1.729522,0.000412,0.412339
2.278975,0.413776,-1.420268,1.646999,0.000302,0.412588
2.281875,-0.195422,-1.413474,1.705891,0.000421,0.414684
2.292993,-0.137834,-1.420723,1.627600,0.000457,0.422741
2.294004,-0.018721,-1.410212,1.741707,0.000463,0.423474
2.296350,-0.000976,-1.430523,1.339564,0.000502,0.425177
2.302037,-0.189442,-1.402967,1.666936,0.000424,0.429299
2.303724,0.099344,-1.389953,1.648245,0.000432,0.430521
2.305224,0.035959,-1.371453,1.789300,0.000396,0.431605
2.305698,0.173423,-1.378114,1.828175,0.000386,0.431949
2.306167,0.623701,-1.393940,1.641246,0.000064,0.432287
2.313799,0.528783,-1.369054,1.663020,0.000135,0.437788
2.318721,0.599456,-1.358883,1.552834,0.000046,0.441315
2.319286,0.006895,-1.347515,1.737412,0.000375,0.441718
2.320664,-0.216884,-1.358640,1.567083,0.000347,0.442702
2.322125,0.253502,-1.352758,1.820152,0.000319,0.443742
2.326222,-0.009782,-1.351160,1.792475,0.000380,0.446648
2.326248,0.190615,-1.366069,1.596231,0.000369,0.446666
2.336833,-0.376079,-1.331168,1.803400,0.000218,0.454087
2.341433,-0.147295,-1.334257,1.565946,0.000349,0.457265
2.343628,0.112735,-1.319000,1.623036,0.000335,0.458771
2.343854,-0.245697,-1.293573,1.463893,0.000233,0.458926
2.350609,-0.092094,-1.303311,1.556261,0.000310,0.463511
2.355499,0.034982,-1.288564,1.618292,0.000282,0.466783
2.356026,0.098971,-1.279889,1.476308,0.000269,0.467133
2.376148,-0.062172,-1.255260,1.442936,0.000247,0.480127
2.376565,0.085620,-1.251443,1.327972,0.000244,0.480388
2.377149,0.299024,-1.263616,1.473194,0.000189,0.480753
2.382184,-0.227242,-1.282737,1.553895,0.000249,0.483873
2.384835,0.026867,-1.279144,1.496498,0.000298,0.485496
2.387969,-0.019216,-1.257665,1.563377,0.000261,0.487395
2.394256,0.140070,-1.244774,1.243617,0.000214,0.491147
2.394737,-0.149066,-1.237523,1.394543,0.000215,0.491431
2.394927,0.114951,-1.234112,1.422062,0.000225,0.491543
2.417144,-0.104024,-1.204502,1.395426,0.000205,0.504134
2.429330,0.135614,-1.194286,1.292155,0.000173,0.510625
2.440530,0.016790,-1.179399,1.159364,0.000174,0.516342
2.443350,0.094612,-1.188437,1.206217,0.000191,0.517745
2.472283,0.000618,-1.152127,1.169173,0.000150,0.531331
2.530473,0.065471,-1.081305,0.921232,0.000093,0.554776
2.552632,0.031883,-1.074016,0.765676,0.000091,0.562567
