T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.029993
0.815789,0.999945,-1.999779,0.002641,0.000000,0.056519
0.973684,0.999363,-1.997564,0.020148,0.000000,0.081394
1.131579,0.998145,-1.992803,0.041922,0.000000,0.105793
1.289474,0.995314,-1.982181,0.088094,0.000000,0.130678
1.447368,0.989731,-1.962744,0.152078,0.000000,0.157036
1.605263,0.978504,-1.924958,0.249607,0.000000,0.186120
1.763158,0.962420,-1.875687,0.463955,0.000001,0.219814
1.921053,0.934854,-1.798031,0.573970,0.000002,0.261446
1.985176,0.917302,-1.755526,0.697132,0.000004,0.281967
1.985642,0.917348,-1.759141,0.650487,0.000004,0.282126
2.057511,0.894406,-1.704949,0.771258,0.000006,0.308851
2.069006,0.886756,-1.694069,0.819802,0.000007,0.313575
2.075860,0.879378,-1.681502,0.914990,0.000009,0.316458
2.078947,0.888681,-1.688368,0.816306,0.000005,0.317773
2.102514,0.874565,-1.669225,0.902484,0.000009,0.328177
2.121547,0.813478,-1.627602,1.411599,0.000077,0.337073
2.128468,0.859440,-1.642334,0.955458,0.000010,0.340425
2.141516,0.848397,-1.623288,0.983492,0.000012,0.346921
2.142026,0.294642,-1.619273,1.177156,0.001022,0.347180
2.145425,0.841751,-1.614064,1.099494,0.000014,0.348913
2.160478,0.816913,-1.590661,1.289081,0.000033,0.356789
2.180567,0.785451,-1.563641,1.457312,0.000056,0.367816
2.180783,0.825817,-1.583079,1.135279,0.000014,0.367938
2.182102,0.797980,-1.570761,1.254288,0.000047,0.368684
2.189365,0.516285,-1.554499,1.327856,0.000604,0.372835
2.191971,0.816774,-1.570597,1.066172,0.000017,0.374344
2.196732,0.535753,-1.558607,1.293376,0.000581,0.377127
2.202030,0.815218,-1.563553,1.173444,0.000015,0.380263
2.212056,0.800702,-1.545489,1.162389,0.000020,0.386309
2.215217,0.627611,-1.523039,1.340748,0.000350,0.388245
2.217169,0.783203,-1.530542,1.276648,0.000030,0.389447
2.219363,0.003092,-1.525551,1.333056,0.000974,0.390805
2.221015,0.773904,-1.532528,1.368376,0.000050,0.391832
2.224077,0.750457,-1.502913,1.350603,0.000048,0.393745
2.224961,0.325112,-1.513058,1.350064,0.000784,0.394300
2.234409,0.313082,-1.506315,1.396766,0.000771,0.400291
2.236842,-0.062918,-1.511696,1.419481,0.000938,0.401852
2.236886,0.306130,-1.461501,1.754728,0.000673,0.401881
2.240216,0.631023,-1.482041,1.525756,0.000258,0.404029
2.242692,0.364146,-1.482664,1.607734,0.000674,0.405635
2.247271,0.433556,-1.502359,1.355864,0.000637,0.408622
2.252674,0.331909,-1.457619,1.598952,0.000654,0.412175
2.254050,0.364908,-1.478989,1.490680,0.000686,0.413085
2.254154,0.389072,-1.464747,1.492614,0.000615,0.413154
2.257040,0.156916,-1.471235,1.537994,0.000823,0.415068
2.257536,-0.235636,-1.463342,1.618472,0.000761,0.415397
2.260244,-0.083585,-1.470854,1.528528,0.000855,0.417202
2.263143,-0.295592,-1.469876,1.412784,0.000733,0.419139
2.264621,0.056180,-1.456675,1.539849,0.000825,0.420130
2.264704,0.320492,-1.462657,1.470294,0.000695,0.420186
2.265638,-0.252017,-1.453376,1.635717,0.000727,0.420813
2.269449,0.702001,-1.460780,1.549007,0.000082,0.423378
2.271657,-0.063633,-1.453456,1.402281,0.000816,0.424868
2.277969,-0.095275,-1.440883,1.599611,0.000804,0.429143
2.278148,0.238102,-1.442118,1.533021,0.000718,0.429265
2.279325,0.191666,-1.446527,1.471385,0.000754,0.430065
2.280816,0.542434,-1.444064,1.706010,0.000364,0.431079
2.282695,0.161681,-1.402337,1.452194,0.000666,0.432358
2.284189,-0.067151,-1.438661,1.562003,0.000798,0.433376
2.285384,0.177432,-1.388612,1.619720,0.000623,0.434191
2.292374,-0.381997,-1.404091,1.444996,0.000512,0.438963
2.298092,-0.354358,-1.404282,1.575000,0.000540,0.442873
2.299138,0.327443,-1.402445,1.476973,0.000559,0.443589
2.303786,0.181985,-1.379293,1.794858,0.000621,0.446766
2.314300,0.273923,-1.390288,1.435694,0.000602,0.453939
2.320192,-0.144522,-1.355749,1.542667,0.000593,0.457940
2.321841,-0.085474,-1.367940,1.555885,0.000643,0.459057
2.327489,0.100490,-1.323499,1.662578,0.000519,0.462869
2.328429,0.295106,-1.369301,1.501416,0.000532,0.463501
2.330879,0.141815,-1.364164,1.568319,0.000631,0.465146
2.334589,0.217713,-1.340523,1.398238,0.000528,0.467628
2.334619,0.032600,-1.338040,1.597393,0.000585,0.467648
2.335246,-0.109135,-1.360845,1.514380,0.000634,0.468067
2.337515,-0.046271,-1.348502,1.533935,0.000626,0.469577
2.351012,-0.035908,-1.332244,1.471043,0.000602,0.478458
2.359482,0.285346,-1.319398,1.493075,0.000443,0.483925
2.360020,-0.011289,-1.315739,1.613418,0.000566,0.484269
2.372413,-0.048092,-1.272733,1.445351,0.000476,0.492088
2.377745,-0.040283,-1.287089,1.463861,0.000509,0.495385
2.394737,0.129810,-1.261811,1.443850,0.000435,0.505598
2.406566,0.024102,-1.227385,1.401778,0.000391,0.512434
2.409709,0.135902,-1.235845,1.378194,0.000385,0.514212
2.415484,-0.051439,-1.243691,1.376937,0.000433,0.517435
2.433509,0.009149,-1.196768,1.299377,0.000349,0.527143
2.439116,0.004766,-1.212962,1.207903,0.000375,0.530053
2.452757,0.150928,-1.179520,1.241210,0.000289,0.536922
2.455843,0.060507,-1.190356,1.251375,0.000356,0.538435
2.480511,0.107596,-1.140313,1.088946,0.000264,0.550007
2.491575,0.012064,-1.119383,1.004930,0.000240,0.554907
2.504823,-0.001804,-1.121211,1.118249,0.000260,0.560553
2.510487,0.101140,-1.114153,1.045463,0.000233,0.562896
2.552632,0.005612,-1.093037,0.990320,0.000230,0.579104
2.710526,0.030830,-0.952354,0.551539,0.000085,0.625418
2.868421,-0.006441,-0.873620,0.477524,0.000061,0.657731
3.026316,0.006433,-0.816541,0.527601,0.000051,0.682212
3.184211,-0.021507,-0.728560,0.403245,0.000028,0.701826
3.342105,0.010546,-0.704807,0.321432,0.000023,0.718175
3.500000,-0.000609,-0.651516,0.243928,0.000022,0.732211
