T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999987,-1.999949,0.000943,0.000000,0.026534
0.815789,0.999910,-1.999642,0.004188,0.000000,0.050035
0.973684,0.999322,-1.997338,0.023626,0.000000,0.072112
1.131579,0.997978,-1.992294,0.052508,0.000000,0.093814
1.289474,0.994696,-1.979994,0.102195,0.000000,0.116012
1.447368,0.989414,-1.960866,0.178194,0.000000,0.139619
1.605263,0.979637,-1.928123,0.256899,0.000000,0.165820
1.763158,0.962100,-1.873833,0.415243,0.000000,0.196464
1.921053,0.931829,-1.793227,0.596469,0.000001,0.234990
1.961355,0.924706,-1.776085,0.679326,0.000001,0.246841
1.992921,0.912701,-1.747597,0.744169,0.000001,0.256928
1.995643,0.912603,-1.747238,0.645235,0.000001,0.257836
2.071264,0.883501,-1.684362,0.819105,0.000001,0.285942
2.075035,0.881731,-1.686054,0.890285,0.000002,0.287514
2.078947,0.873297,-1.675230,0.950826,0.000003,0.289165
2.083169,0.883880,-1.687243,0.881328,0.000002,0.290969
2.096624,0.869765,-1.664952,0.951657,0.000003,0.296887
2.097917,0.867031,-1.658493,0.913909,0.000002,0.297469
2.104334,0.866616,-1.660070,1.005530,0.000003,0.300398
2.105013,0.864077,-1.659546,1.038335,0.000004,0.300712
2.129324,0.856363,-1.635422,0.972846,0.000002,0.312435
2.135493,0.844805,-1.621979,1.090683,0.000003,0.315572
2.139177,0.852778,-1.630221,0.984942,0.000003,0.317479
2.146341,0.847371,-1.621364,1.028479,0.000003,0.321258
2.150107,0.835660,-1.607708,1.042740,0.000003,0.323285
2.150564,0.827338,-1.604224,1.169498,0.000005,0.323533
2.152119,-0.090304,-1.599615,1.503861,0.000497,0.324379
2.158555,0.825606,-1.594148,1.215750,0.000005,0.327932
2.161940,0.820022,-1.586950,1.316811,0.000005,0.329834
2.166355,0.825286,-1.595407,1.236927,0.000006,0.332351
2.166396,0.426463,-1.587339,1.354938,0.000361,0.332375
2.166722,0.825618,-1.596703,1.233615,0.000006,0.332562
2.179011,0.800511,-1.570396,1.397143,0.000010,0.339792
2.185674,0.815488,-1.575991,1.254507,0.000006,0.343848
2.189138,0.798192,-1.556947,1.231857,0.000005,0.345994
2.193039,0.811556,-1.566425,1.176403,0.000004,0.348444
2.193251,0.139561,-1.559313,1.540258,0.000453,0.348577
2.201385,-0.608923,-1.544967,1.530171,0.000181,0.353796
2.226240,0.460171,-1.507019,1.657581,0.000262,0.370628
2.226806,0.758787,-1.513226,1.436867,0.000011,0.371026
2.236842,0.272810,-1.485418,1.555243,0.000335,0.378193
2.244561,0.172543,-1.482513,1.838144,0.000365,0.383828
2.253126,0.464232,-1.465668,1.663865,0.000220,0.390193
2.258617,0.723768,-1.465933,1.574734,0.000014,0.394328
2.258689,-0.294877,-1.453816,1.820424,0.000293,0.394382
2.262660,-0.447962,-1.443152,1.760836,0.000197,0.397394
2.264652,-0.099729,-1.462545,1.474641,0.000376,0.398911
2.264734,0.665880,-1.442543,1.916959,0.000030,0.398974
2.270236,0.702986,-1.451034,1.673890,0.000021,0.403183
2.270654,0.687614,-1.442975,1.634865,0.000020,0.403504
2.270715,0.345221,-1.437565,1.526937,0.000255,0.403550
2.270815,0.117329,-1.451527,1.568867,0.000353,0.403628
2.271241,-0.108878,-1.418605,1.896944,0.000298,0.403955
2.274161,0.466768,-1.441296,1.669954,0.000200,0.406199
2.278687,0.677023,-1.433423,1.783254,0.000020,0.409687
2.280960,0.263782,-1.431593,1.609523,0.000292,0.411442
2.281639,0.441125,-1.397611,2.041183,0.000149,0.411967
2.287782,0.137367,-1.425745,1.745992,0.000319,0.416713
2.292106,0.134736,-1.404669,1.747873,0.000289,0.420054
2.299710,-0.045292,-1.376117,1.868031,0.000269,0.425912
2.307149,0.350675,-1.373746,1.885794,0.000191,0.431608
2.316844,0.184853,-1.350753,1.703754,0.000227,0.438950
2.323823,0.264727,-1.353638,1.653936,0.000209,0.444160
2.324345,-0.026692,-1.349121,1.736967,0.000255,0.444547
2.329348,-0.071700,-1.339680,1.552170,0.000240,0.448231
2.332271,0.183591,-1.341504,1.837276,0.000216,0.450363
2.334038,-0.426765,-1.342404,1.830792,0.000127,0.451644
2.334663,0.058677,-1.332911,1.751956,0.000231,0.452096
2.336658,0.026704,-1.314587,1.801398,0.000209,0.453534
2.339401,-0.080391,-1.301923,1.829606,0.000193,0.455497
2.341244,0.147083,-1.311040,1.811818,0.000200,0.456807
2.344348,0.188515,-1.300870,1.618522,0.000165,0.459000
2.355554,0.120449,-1.289087,1.570378,0.000181,0.466741
2.366224,-0.231216,-1.259165,1.479498,0.000127,0.473847
2.370211,0.032685,-1.276836,1.502466,0.000174,0.476434
2.370902,-0.020588,-1.241841,1.297893,0.000138,0.476878
2.379376,-0.006787,-1.240634,1.228092,0.000143,0.482237
2.382252,0.115744,-1.274574,1.720533,0.000181,0.484017
2.382592,0.111802,-1.245683,1.521178,0.000139,0.484226
2.388754,0.221621,-1.252564,1.384136,0.000135,0.487968
2.389583,-0.031457,-1.223060,1.386454,0.000132,0.488465
2.389721,0.221632,-1.239297,1.532760,0.000110,0.488547
2.394737,-0.249392,-1.257026,1.489007,0.000137,0.491515
2.402415,0.092462,-1.219169,1.226873,0.000114,0.495946
2.408445,-0.073758,-1.213297,1.279824,0.000122,0.499330
2.410483,0.001965,-1.196586,1.153301,0.000106,0.500455
2.413478,0.056370,-1.202783,1.230910,0.000118,0.502091
2.414503,-0.031615,-1.216809,1.255462,0.000121,0.502647
2.427897,0.084959,-1.176502,1.328886,0.000090,0.509698
2.439339,0.032893,-1.177196,1.226033,0.000098,0.515425
2.453980,0.140120,-1.160440,1.100885,0.000074,0.522380
2.528198,0.009722,-1.085577,0.918436,0.000055,0.552230
2.552632,-0.041002,-1.065346,0.804264,0.000042,0.560460
2.710526,0.016080,-0.956435,0.606405,0.000023,0.601465
2.868421,-0.004613,-0.877105,0.572256,0.000011,0.629735
3.026316,-0.003310,-0.814531,0.422907,0.000011,0.651104
3.184211,0.001280,-0.764849,0.361870,0.000010,0.668227
3.342105,-0.009428,-0.699729,0.316404,0.000006,0.682512
3.500000,-0.001114,-0.659584,0.303502,0.000005,0.694791
