T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.030780
0.815789,0.999918,-1.999673,0.003894,0.000000,0.057981
0.973684,0.999347,-1.997388,0.020632,0.000000,0.083463
1.131579,0.998408,-1.993878,0.037359,0.000000,0.108426
1.289474,0.994978,-1.980797,0.090481,0.000000,0.133844
1.447368,0.988735,-1.958013,0.163006,0.000000,0.160709
1.605263,0.979078,-1.925026,0.266782,0.000001,0.190259
1.763158,0.962981,-1.876738,0.431687,0.000003,0.224330
1.921053,0.929792,-1.789127,0.634372,0.000007,0.266081
2.065613,0.889104,-1.698317,0.785662,0.000014,0.316189
2.078947,0.884166,-1.684796,0.910574,0.000014,0.321664
2.103960,0.874715,-1.665194,0.940812,0.000016,0.332424
2.114129,0.845349,-1.630540,1.158701,0.000034,0.336993
2.117739,0.127911,-1.649684,1.015103,0.001775,0.338643
2.118343,0.223590,-1.643886,1.061523,0.001673,0.338920
2.134949,-0.251985,-1.626228,0.980207,0.001599,0.346717
2.143313,0.848677,-1.622672,1.025801,0.000028,0.350770
2.144849,0.845590,-1.615141,1.056587,0.000025,0.351523
2.145092,-0.364176,-1.627744,1.018929,0.001430,0.351643
2.155575,-0.307399,-1.597947,1.095993,0.001453,0.356868
2.157477,0.262166,-1.590563,1.316693,0.001470,0.357831
2.164031,0.393913,-1.601433,1.048162,0.001321,0.361183
2.166742,-0.468205,-1.605006,1.003769,0.001172,0.362587
2.166895,0.831837,-1.595557,1.082804,0.000033,0.362666
2.172149,0.628103,-1.578120,1.184386,0.000674,0.365413
2.177867,0.254874,-1.589604,1.186499,0.001482,0.368443
2.187378,0.252683,-1.559775,1.183686,0.001386,0.373577
2.199730,0.518493,-1.542074,1.255783,0.000880,0.380418
2.201077,0.557612,-1.554083,1.439145,0.000798,0.381176
2.201952,0.138825,-1.546956,1.362977,0.001453,0.381670
2.208233,0.364481,-1.547076,1.205708,0.001204,0.385241
2.208617,-0.019621,-1.553706,1.236924,0.001550,0.385461
2.211741,-0.234038,-1.546632,1.275551,0.001393,0.387257
2.213178,-0.190735,-1.532191,1.281720,0.001418,0.388088
2.213939,0.159464,-1.535050,1.251713,0.001440,0.388528
2.217267,-0.481563,-1.523060,1.395808,0.000890,0.390464
2.221435,0.740611,-1.546527,1.105016,0.000267,0.392907
2.222290,-0.342585,-1.532660,1.223240,0.001194,0.393411
2.226509,-0.562100,-1.536752,1.234475,0.000774,0.395909
2.230038,-0.226430,-1.524911,1.240771,0.001350,0.398015
2.233350,0.701880,-1.518216,1.429353,0.000297,0.400003
2.234559,0.312496,-1.496790,1.357258,0.001147,0.400733
2.235244,-0.274634,-1.506424,1.346425,0.001224,0.401146
2.236842,0.581633,-1.505951,1.342029,0.000615,0.402114
2.243743,0.416241,-1.501808,1.419619,0.001000,0.406322
2.250341,-0.180087,-1.494014,1.365447,0.001284,0.410389
2.250855,0.054743,-1.472524,1.376565,0.001300,0.410708
2.252596,-0.102386,-1.504034,1.242513,0.001358,0.411789
2.254350,0.396397,-1.485364,1.350862,0.000989,0.412881
2.256160,-0.209000,-1.471758,1.492170,0.001178,0.414011
2.261434,0.321844,-1.470821,1.381638,0.001075,0.417318
2.265443,0.508326,-1.458970,1.597746,0.000669,0.419846
2.269702,0.251890,-1.454769,1.452971,0.001101,0.422546
2.273815,0.723179,-1.465803,1.340199,0.000129,0.425164
2.275271,0.182430,-1.428109,1.465141,0.001100,0.426093
2.278424,0.294243,-1.458185,1.363713,0.001071,0.428110
2.281249,0.208058,-1.445230,1.455687,0.001144,0.429921
2.288003,-0.364402,-1.441125,1.385667,0.000917,0.434266
2.288355,0.032812,-1.441571,1.393445,0.001215,0.434493
2.289666,-0.207674,-1.424834,1.457424,0.001091,0.435338
2.292694,0.455449,-1.429627,1.374783,0.000741,0.437293
2.293838,0.095123,-1.425040,1.488320,0.001175,0.438032
2.300212,0.387842,-1.404151,1.583729,0.000766,0.442156
2.304383,-0.216455,-1.383599,1.570676,0.000948,0.444857
2.304638,-0.244121,-1.406930,1.566341,0.000971,0.445022
2.309529,-0.067171,-1.377730,1.589210,0.001039,0.448189
2.310107,-0.292929,-1.373555,1.487402,0.000860,0.448564
2.317185,0.071860,-1.391633,1.660743,0.001074,0.453144
2.327618,-0.379761,-1.367606,1.550589,0.000705,0.459873
2.331539,0.197318,-1.384436,1.453800,0.000986,0.462391
2.336050,-0.066164,-1.354920,1.484370,0.000960,0.465279
2.342818,0.086658,-1.340161,1.513491,0.000938,0.469588
2.342863,-0.080684,-1.347696,1.487039,0.000958,0.469617
2.343110,-0.260466,-1.328036,1.486188,0.000759,0.469773
2.343210,0.109603,-1.343198,1.508925,0.000921,0.469837
2.344396,-0.385396,-1.368161,1.506867,0.000705,0.470588
2.349184,0.204458,-1.351366,1.509304,0.000878,0.473612
2.356824,0.030560,-1.337359,1.493800,0.000939,0.478398
2.356914,0.451195,-1.338628,1.438404,0.000515,0.478454
2.359746,-0.172962,-1.342658,1.398919,0.000882,0.480215
2.361926,-0.106589,-1.331668,1.478425,0.000901,0.481564
2.373364,0.144283,-1.306739,1.366704,0.000838,0.488566
2.374702,-0.184132,-1.296782,1.385272,0.000768,0.489375
2.378039,-0.202895,-1.299003,1.379147,0.000759,0.491385
2.394737,0.172118,-1.281637,1.464308,0.000724,0.501237
2.405613,-0.061028,-1.270122,1.384110,0.000764,0.507457
2.416372,0.106959,-1.240614,1.254019,0.000685,0.513447
2.428496,0.012531,-1.240589,1.322418,0.000704,0.520000
2.431884,0.039835,-1.212182,1.218804,0.000638,0.521793
2.447194,0.091372,-1.208109,1.278236,0.000630,0.529689
2.449532,-0.020278,-1.194691,1.275062,0.000602,0.530865
2.462352,0.154815,-1.181235,1.157648,0.000514,0.537173
