T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999979,-1.999917,0.001517,0.000000,0.023364
0.815789,0.999924,-1.999696,0.003499,0.000000,0.044061
0.973684,0.999370,-1.997536,0.022732,0.000000,0.063510
1.131579,0.998284,-1.993370,0.040177,0.000000,0.082636
1.289474,0.994646,-1.979770,0.112966,0.000000,0.102211
1.447368,0.989018,-1.960102,0.179774,0.000000,0.123048
1.605263,0.978706,-1.926198,0.272366,0.000000,0.146209
1.763158,0.963082,-1.875565,0.421239,0.000000,0.173377
1.921053,0.932981,-1.796891,0.566884,0.000000,0.207750
2.078947,0.876085,-1.679782,0.967877,0.000001,0.256996
2.122858,0.849975,-1.634693,1.008333,0.000001,0.275742
2.126695,0.853616,-1.636105,1.077672,0.000001,0.277539
2.146229,0.826185,-1.605063,1.211382,0.000002,0.287146
2.146512,0.833716,-1.610623,1.258193,0.000002,0.287291
2.150866,0.824403,-1.608355,1.246862,0.000004,0.289548
2.156463,0.829782,-1.603228,1.137129,0.000002,0.292512
2.164335,0.830499,-1.593958,1.052840,0.000001,0.296808
2.166078,0.827128,-1.590751,1.140764,0.000001,0.297780
2.169244,0.826481,-1.587899,1.246174,0.000001,0.299565
2.175730,0.787473,-1.567958,1.528685,0.000005,0.303304
2.180595,0.801995,-1.567133,1.184265,0.000002,0.306183
2.192993,0.795792,-1.557020,1.312902,0.000003,0.313817
2.199963,0.792651,-1.548103,1.370565,0.000002,0.318304
2.205246,0.786510,-1.542935,1.318052,0.000002,0.321802
2.209797,0.772755,-1.528206,1.491204,0.000003,0.324883
2.212268,0.776020,-1.530007,1.303440,0.000002,0.326583
2.220272,0.762497,-1.521667,1.630927,0.000005,0.332216
2.220396,0.770170,-1.524552,1.474771,0.000003,0.332305
2.220537,0.764760,-1.518777,1.643451,0.000004,0.332406
2.224518,0.736485,-1.506654,1.650176,0.000008,0.335284
2.236842,0.682603,-1.474957,2.033084,0.000013,0.344498
2.239327,0.759263,-1.504154,1.435879,0.000003,0.346409
2.244099,0.714518,-1.479770,1.700806,0.000006,0.350128
2.245187,0.726833,-1.477763,1.595924,0.000004,0.350984
2.246541,0.281232,-1.451616,2.007361,0.000146,0.352055
2.246868,0.747530,-1.494211,1.397068,0.000003,0.352314
2.254227,0.697423,-1.461535,1.729759,0.000007,0.358217
2.258354,0.595006,-1.461445,1.856770,0.000056,0.361581
2.262280,0.663028,-1.436675,1.998678,0.000009,0.364816
2.263383,0.525811,-1.409135,2.011445,0.000031,0.365729
2.266932,0.688981,-1.446598,1.501993,0.000007,0.368684
2.268462,-0.480678,-1.415396,1.903342,0.000058,0.369964
2.269030,0.355660,-1.419004,2.152290,0.000109,0.370440
2.283401,0.172151,-1.385173,2.196886,0.000122,0.382600
2.284463,-0.189587,-1.399456,2.209826,0.000133,0.383504
2.285999,0.428457,-1.399280,2.060725,0.000079,0.384813
2.287622,0.092993,-1.398349,1.863820,0.000149,0.386196
2.287918,0.114526,-1.411905,1.842841,0.000157,0.386449
2.289565,-0.203221,-1.394020,1.994620,0.000128,0.387851
2.292047,0.026939,-1.403817,2.044022,0.000157,0.389965
2.293929,-0.049367,-1.376348,1.894059,0.000133,0.391567
2.294413,-0.263170,-1.392497,2.053182,0.000125,0.391978
2.295078,0.396226,-1.384072,2.019440,0.000079,0.392544
2.296502,0.258048,-1.350136,1.939875,0.000079,0.393753
2.297223,-0.025715,-1.390508,1.891210,0.000153,0.394366
2.298988,-0.423231,-1.377812,2.187049,0.000067,0.395862
2.306923,-0.513737,-1.361116,1.788816,0.000029,0.402549
2.307050,0.306781,-1.353874,1.992209,0.000075,0.402655
2.307607,0.458533,-1.382270,1.880901,0.000066,0.403122
2.311570,0.052785,-1.342104,1.852014,0.000108,0.406425
2.312683,0.475266,-1.355467,1.795001,0.000039,0.407347
2.316992,0.255889,-1.349662,1.875291,0.000099,0.410897
2.320621,0.471767,-1.348908,1.733619,0.000036,0.413856
2.322416,0.301848,-1.343201,1.815031,0.000081,0.415309
2.330822,0.278338,-1.310451,2.005173,0.000064,0.422003
2.339354,0.117096,-1.310417,1.913519,0.000098,0.428598
2.339822,0.120513,-1.307210,1.847284,0.000088,0.428953
