T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999980,-1.999920,0.001473,0.000000,0.027464
0.815789,0.999900,-1.999600,0.004712,0.000000,0.051755
0.973684,0.999340,-1.997440,0.021200,0.000000,0.074536
1.131579,0.997900,-1.991920,0.051579,0.000000,0.096885
1.289474,0.995315,-1.982323,0.090288,0.000000,0.119684
1.447368,0.988333,-1.957133,0.177738,0.000000,0.143846
1.605263,0.979907,-1.929310,0.235278,0.000000,0.170532
1.763158,0.962182,-1.872113,0.375820,0.000001,0.201513
1.921053,0.934848,-1.800834,0.551681,0.000001,0.239976
2.035354,0.896490,-1.713465,0.780160,0.000003,0.276071
2.038235,0.895588,-1.712959,0.804848,0.000003,0.277114
2.061649,0.891514,-1.699291,0.856635,0.000004,0.285887
2.063028,0.887414,-1.697521,0.922987,0.000005,0.286422
2.078947,0.879892,-1.680949,0.865701,0.000005,0.292742
2.100883,0.868018,-1.658171,0.940944,0.000005,0.301938
2.109021,0.865220,-1.652043,1.014170,0.000005,0.305506
2.116215,0.867473,-1.650486,0.927389,0.000004,0.308734
2.136644,0.857875,-1.633227,0.945517,0.000005,0.318303
2.142988,0.846124,-1.621801,1.037385,0.000007,0.321403
2.143513,0.848618,-1.622405,1.025690,0.000006,0.321662
2.164301,0.837865,-1.602135,1.040968,0.000007,0.332290
2.167475,0.821144,-1.582811,1.268683,0.000012,0.333977
2.174044,0.828245,-1.592959,1.039992,0.000008,0.337523
2.176491,0.816925,-1.578009,1.245061,0.000011,0.338863
2.179743,0.798553,-1.564526,1.307169,0.000019,0.340660
2.181255,0.799624,-1.557114,1.252799,0.000014,0.341502
2.184682,-0.312630,-1.557049,1.377335,0.000616,0.343426
2.195517,0.209203,-1.556615,1.304625,0.000695,0.349649
2.198374,0.165356,-1.546581,1.391098,0.000700,0.351326
2.202643,0.798071,-1.548032,1.228061,0.000012,0.353859
2.208856,0.798617,-1.545905,1.279434,0.000012,0.357605
2.212080,0.782576,-1.529602,1.373930,0.000018,0.359577
2.218823,0.760169,-1.513535,1.421477,0.000024,0.363762
2.221186,0.189957,-1.509298,1.508842,0.000622,0.365249
2.222383,-0.490785,-1.500522,1.705586,0.000373,0.366006
2.226959,0.780523,-1.517988,1.207837,0.000012,0.368922
2.228477,0.673733,-1.494764,1.652432,0.000123,0.369897
2.230267,0.765937,-1.508355,1.395987,0.000019,0.371053
2.230898,0.578530,-1.505948,1.444044,0.000278,0.371461
2.232548,-0.219071,-1.494277,1.419497,0.000585,0.372533
2.235213,0.778635,-1.522210,1.318581,0.000016,0.374274
2.235493,0.433528,-1.490725,1.451529,0.000427,0.374457
2.235843,-0.721187,-1.506118,1.365996,0.000085,0.374687
2.236842,0.735939,-1.492245,1.438007,0.000032,0.375344
2.242077,-0.465618,-1.496973,1.265705,0.000420,0.378812
2.255362,-0.261119,-1.458322,1.626601,0.000518,0.387804
2.259805,-0.657204,-1.450338,1.524909,0.000100,0.390867
2.259859,-0.374927,-1.459791,1.656324,0.000441,0.390905
2.261090,0.693337,-1.476603,1.392756,0.000093,0.391758
2.262241,0.499669,-1.447199,1.788035,0.000293,0.392558
2.264505,0.727397,-1.458422,1.362833,0.000019,0.394135
2.274035,-0.073708,-1.428728,1.566505,0.000541,0.400838
2.277045,0.053361,-1.445207,1.591269,0.000571,0.402973
2.280996,-0.039093,-1.429591,1.597893,0.000550,0.405787
2.282319,-0.689657,-1.450240,1.423897,0.000075,0.406732
2.288049,-0.168185,-1.419987,1.615203,0.000507,0.410838
2.288577,-0.082523,-1.387857,1.774987,0.000451,0.411217
2.296187,0.493830,-1.398429,1.671967,0.000231,0.416696
2.299060,0.149104,-1.398624,1.701165,0.000467,0.418768
2.300290,-0.372497,-1.388771,1.599745,0.000328,0.419656
2.301264,0.292617,-1.412030,1.553507,0.000430,0.420359
2.301473,0.008270,-1.400872,1.602256,0.000504,0.420509
2.303572,-0.073942,-1.376166,1.808164,0.000458,0.422025
2.307299,0.268113,-1.380771,1.747344,0.000388,0.424714
2.309303,-0.330630,-1.379067,1.635969,0.000354,0.426159
2.309782,-0.124863,-1.384948,1.782330,0.000465,0.426504
2.318617,0.149211,-1.375647,1.557547,0.000437,0.432859
2.321485,-0.176060,-1.332577,1.772025,0.000360,0.434914
2.323117,0.398021,-1.366123,1.650975,0.000283,0.436081
2.325405,-0.118464,-1.336964,1.593940,0.000381,0.437714
2.325766,-0.117317,-1.350991,1.776349,0.000402,0.437971
2.333191,-0.206239,-1.350787,1.635502,0.000385,0.443237
2.335221,-0.379456,-1.330993,1.672122,0.000241,0.444668
2.350035,0.131342,-1.309470,1.644708,0.000349,0.454959
2.359130,-0.071313,-1.293408,1.585031,0.000335,0.461124
2.360202,-0.025856,-1.299223,1.714693,0.000359,0.461842
2.364006,-0.154386,-1.307014,1.624016,0.000347,0.464375
2.378186,-0.151804,-1.278594,1.516811,0.000310,0.473589
2.380171,0.128870,-1.267178,1.611671,0.000292,0.474849
2.384303,0.090598,-1.260923,1.484278,0.000291,0.477448
