T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999993,-1.999974,0.000481,0.000000,0.024842
0.815789,0.999915,-1.999660,0.003870,0.000000,0.046852
0.973684,0.999438,-1.997832,0.018173,0.000000,0.067537
1.131579,0.997884,-1.991784,0.053794,0.000000,0.087884
1.289474,0.994864,-1.980768,0.117300,0.000000,0.108713
1.447368,0.988934,-1.959506,0.190957,0.000000,0.130889
1.605263,0.979429,-1.927661,0.249548,0.000000,0.155546
1.763158,0.963009,-1.876503,0.362356,0.000000,0.184471
1.921053,0.933273,-1.796594,0.566260,0.000000,0.221055
2.016642,0.907112,-1.737157,0.740940,0.000000,0.249888
2.020770,0.905910,-1.732020,0.727081,0.000000,0.251304
2.059964,0.888719,-1.697984,0.886600,0.000000,0.265665
2.078947,0.881621,-1.684612,0.894414,0.000000,0.273296
2.090889,0.872032,-1.670448,0.993003,0.000001,0.278358
2.122194,0.851550,-1.636812,1.091688,0.000001,0.292722
2.128665,0.853418,-1.633646,1.041226,0.000001,0.295910
2.129989,0.856451,-1.636599,1.041723,0.000001,0.296573
2.132861,0.839644,-1.621709,1.172798,0.000001,0.298022
2.150119,0.836311,-1.614691,1.217240,0.000001,0.307092
2.150203,0.829427,-1.609104,1.194657,0.000002,0.307138
2.157613,0.825427,-1.596803,1.245243,0.000002,0.311235
2.158262,0.818878,-1.590562,1.359931,0.000002,0.311600
2.167202,0.817975,-1.587606,1.267027,0.000002,0.316728
2.171649,0.818047,-1.581762,1.335502,0.000001,0.319351
2.175939,0.812746,-1.578163,1.250902,0.000001,0.321929
2.177816,0.812949,-1.577643,1.162709,0.000001,0.323072
2.180909,0.796910,-1.567358,1.425655,0.000003,0.324975
2.184820,0.815582,-1.574596,1.188323,0.000001,0.327416
2.192997,0.781841,-1.553022,1.430076,0.000004,0.332652
2.196876,0.794195,-1.554237,1.435605,0.000002,0.335199
2.211150,0.794812,-1.544762,1.217056,0.000001,0.344924
2.212268,0.764112,-1.523596,1.476939,0.000003,0.345710
2.213079,0.760909,-1.525517,1.524724,0.000004,0.346282
2.216502,-0.305017,-1.488808,2.560881,0.000149,0.348715
2.218878,0.782620,-1.529116,1.302608,0.000002,0.350422
2.224270,0.752378,-1.508620,1.493751,0.000003,0.354353
2.224430,0.757000,-1.515252,1.473261,0.000004,0.354471
2.225879,0.768344,-1.515507,1.545929,0.000002,0.355541
2.236821,0.729416,-1.490573,1.668225,0.000005,0.363794
2.236842,0.734373,-1.493802,1.721040,0.000005,0.363810
2.242022,0.745407,-1.492055,1.396148,0.000003,0.367817
2.243516,-0.203896,-1.469740,2.011618,0.000166,0.368985
2.243786,-0.139660,-1.455214,1.881425,0.000161,0.369197
2.244489,0.726097,-1.483549,1.515511,0.000007,0.369747
2.244562,0.582219,-1.490949,1.573501,0.000081,0.369805
2.245238,0.362868,-1.468763,1.981787,0.000137,0.370336
2.251157,0.699318,-1.466869,1.928075,0.000008,0.375027
2.264673,0.690083,-1.446502,1.635547,0.000005,0.385969
2.265634,0.707748,-1.456078,1.768929,0.000005,0.386758
2.266708,0.691245,-1.450216,1.802067,0.000006,0.387639
2.277455,0.558697,-1.416119,2.032570,0.000042,0.396520
2.277776,0.666665,-1.425200,1.696712,0.000006,0.396787
2.278148,0.275522,-1.404609,2.238516,0.000112,0.397095
2.278566,-0.399918,-1.432182,1.709019,0.000114,0.397442
2.291348,0.663232,-1.411398,1.664068,0.000005,0.408061
2.291567,0.274758,-1.356206,2.526197,0.000076,0.408243
2.294509,-0.037773,-1.360554,1.858401,0.000100,0.410681
2.295079,0.605895,-1.395062,1.869613,0.000009,0.411152
2.298693,0.529393,-1.379870,2.200520,0.000029,0.414136
2.299437,-0.157775,-1.373810,1.641960,0.000122,0.414749
2.307624,-0.339139,-1.353456,2.168324,0.000072,0.421452
2.310124,0.093013,-1.358890,2.151086,0.000111,0.423480
2.311203,-0.059543,-1.368270,1.749652,0.000130,0.424353
2.312377,0.361118,-1.334611,1.881057,0.000049,0.425299
2.315158,0.433656,-1.346184,1.919960,0.000039,0.427533
2.316675,0.295468,-1.362849,1.838494,0.000089,0.428745
2.321016,0.407669,-1.355602,1.766675,0.000063,0.432189
2.332433,0.225944,-1.310117,1.688293,0.000068,0.441047
