T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.034921
0.815789,1.000000,-2.000000,0.000000,0.000000,0.065660
0.973684,0.999111,-1.996444,0.029523,0.000001,0.094315
1.131579,0.999111,-1.996444,0.021859,0.000001,0.122211
1.289474,0.993438,-1.974628,0.158647,0.000012,0.150379
1.447368,0.990243,-1.962166,0.146497,0.000012,0.179808
1.605263,0.978927,-1.925140,0.255679,0.000029,0.211631
1.763158,0.967415,-1.891611,0.378678,0.000069,0.247349
1.921053,0.934475,-1.799495,0.595222,0.000155,0.289129
2.043056,0.707958,-1.720068,0.667445,0.004505,0.327492
2.059812,-0.025204,-1.718267,0.713275,0.011178,0.333279
2.061027,-0.016557,-1.725759,0.640854,0.011305,0.333703
2.064706,-0.367660,-1.705959,0.793810,0.009197,0.334995
2.078947,-0.159861,-1.684613,0.852193,0.010446,0.340055
2.095140,-0.271362,-1.662934,0.830607,0.009557,0.345931
2.097443,-0.378260,-1.663298,0.868960,0.008660,0.346778
2.111177,-0.251657,-1.651255,0.792053,0.009532,0.351882
2.114987,0.112378,-1.667455,0.828598,0.010309,0.353315
2.121575,-0.409969,-1.661264,0.888145,0.008231,0.355811
2.123637,0.357904,-1.653284,0.842574,0.008603,0.356597
2.124491,0.003438,-1.646651,0.857639,0.010256,0.356923
2.124961,0.740335,-1.652709,0.794304,0.003144,0.357102
2.126468,-0.093588,-1.647264,0.830982,0.010111,0.357679
2.142296,0.454757,-1.640590,0.870892,0.007402,0.363805
2.146862,-0.270508,-1.620581,0.911153,0.008942,0.365596
2.155848,-0.450623,-1.640838,0.811931,0.007462,0.369151
2.162776,0.362676,-1.627964,0.862003,0.008199,0.371920
2.166787,0.056733,-1.619721,0.876724,0.009794,0.373534
2.168917,0.067225,-1.619883,0.823520,0.009789,0.374394
2.171289,0.357556,-1.599885,0.878610,0.007991,0.375355
2.177721,0.017277,-1.609559,0.902978,0.009676,0.377973
