T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999971,-1.999886,0.002085,0.000000,0.025303
0.815789,0.999924,-1.999696,0.003542,0.000000,0.047712
0.973684,0.999477,-1.997907,0.016985,0.000000,0.068764
1.131579,0.998059,-1.992428,0.045785,0.000000,0.089458
1.289474,0.994935,-1.981050,0.100632,0.000000,0.110625
1.447368,0.988996,-1.960075,0.179441,0.000000,0.133137
1.605263,0.979833,-1.928959,0.249973,0.000000,0.158127
1.763158,0.961815,-1.874233,0.366958,0.000000,0.187367
1.921053,0.931069,-1.792833,0.612000,0.000000,0.224167
2.038841,0.894492,-1.716212,0.826174,0.000001,0.260714
2.072730,0.880030,-1.684064,0.907255,0.000001,0.273594
2.073706,0.876514,-1.682533,0.984320,0.000002,0.273986
2.078947,0.881643,-1.680631,0.845750,0.000001,0.276109
2.105400,0.863877,-1.657751,1.046220,0.000002,0.287410
2.108333,0.859471,-1.650805,1.107365,0.000002,0.288727
2.112128,0.860812,-1.647447,0.990076,0.000001,0.290451
2.123808,0.860240,-1.641787,0.938052,0.000001,0.295907
2.126418,0.852038,-1.635634,1.098912,0.000002,0.297158
2.156126,0.833845,-1.607381,1.185359,0.000002,0.312283
2.163611,0.824435,-1.595290,1.171870,0.000003,0.316368
2.169892,0.805745,-1.580919,1.513637,0.000006,0.319888
2.170501,0.819973,-1.587803,1.216916,0.000003,0.320234
2.179858,0.807920,-1.572274,1.253081,0.000004,0.325650
2.184875,0.809944,-1.568688,1.201498,0.000003,0.328634
2.186584,0.807481,-1.566760,1.297731,0.000003,0.329664
2.186769,0.813176,-1.570164,1.207809,0.000003,0.329776
2.189792,0.810700,-1.570022,1.232593,0.000003,0.331614
2.193542,0.805323,-1.559612,1.191164,0.000003,0.333925
2.200197,0.782833,-1.543900,1.290729,0.000005,0.338105
2.203811,0.792287,-1.548367,1.332583,0.000004,0.340418
2.205217,0.793100,-1.546230,1.294304,0.000004,0.341326
2.208924,0.782702,-1.534184,1.267491,0.000003,0.343743
