T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999980,-1.999920,0.001455,0.000000,0.024221
0.815789,0.999890,-1.999570,0.005386,0.000000,0.045679
0.973684,0.999480,-1.997950,0.017168,0.000000,0.065844
1.131579,0.998175,-1.992890,0.042950,0.000000,0.085676
1.289474,0.994705,-1.980148,0.111857,0.000000,0.105973
1.447368,0.989382,-1.961013,0.159516,0.000000,0.127580
1.605263,0.979798,-1.928667,0.229627,0.000000,0.151598
1.763158,0.961491,-1.873021,0.393250,0.000000,0.179766
1.921053,0.933434,-1.796259,0.595337,0.000000,0.215381
2.024802,0.903498,-1.728115,0.771661,0.000000,0.246195
2.066148,0.885513,-1.694568,0.917431,0.000000,0.261190
2.078947,0.879515,-1.680748,0.916354,0.000000,0.266256
2.086194,0.877531,-1.675757,0.831216,0.000000,0.269225
2.094586,0.875025,-1.670330,0.931988,0.000000,0.272760
2.101097,0.869888,-1.661564,0.871026,0.000000,0.275579
2.120582,0.858400,-1.642425,1.027704,0.000000,0.284439
2.138831,0.849622,-1.628564,1.055791,0.000000,0.293373
2.143334,0.836315,-1.613923,1.146754,0.000001,0.295681
2.144602,0.829536,-1.606983,1.222330,0.000001,0.296338
2.146627,0.844836,-1.618583,1.001997,0.000000,0.297396
2.157241,0.835286,-1.604678,1.129941,0.000001,0.303089
2.162398,0.830433,-1.598816,1.139663,0.000001,0.305949
2.164407,0.825556,-1.590790,1.170719,0.000001,0.307080
2.167369,0.824383,-1.589502,1.158489,0.000001,0.308766
2.173280,0.813883,-1.583827,1.292848,0.000001,0.312195
2.176557,0.815890,-1.582228,1.189973,0.000001,0.314134
2.183446,0.801800,-1.566906,1.410997,0.000001,0.318301
2.184024,0.812981,-1.574717,1.276816,0.000001,0.318656
2.198557,0.790294,-1.552895,1.569873,0.000001,0.327888
2.204930,0.766462,-1.530475,1.391569,0.000002,0.332120
2.207135,0.780890,-1.533110,1.615255,0.000002,0.333611
2.209974,0.786281,-1.540196,1.342621,0.000001,0.335551
2.218571,0.765235,-1.520114,1.401732,0.000002,0.341563
2.219267,0.739648,-1.509767,1.809493,0.000003,0.342059
2.221011,0.715683,-1.507945,1.870066,0.000008,0.343307
2.228562,0.734524,-1.499629,1.649853,0.000003,0.348809
2.233248,0.745972,-1.500952,1.571544,0.000002,0.352300
2.235466,0.695778,-1.478089,1.759536,0.000006,0.353972
2.236842,0.739499,-1.494260,1.596635,0.000002,0.355016
2.239351,0.682413,-1.472981,1.900474,0.000006,0.356932
2.240128,0.737642,-1.493267,1.305394,0.000002,0.357528
2.244460,0.066409,-1.465030,1.653873,0.000133,0.360879
2.245573,0.164719,-1.471624,1.695031,0.000132,0.361747
2.261405,0.625846,-1.441954,2.058763,0.000012,0.374373
2.262977,0.700977,-1.455183,1.698942,0.000003,0.375652
2.263589,0.653154,-1.439583,1.937077,0.000008,0.376150
2.266756,0.662849,-1.450406,1.694423,0.000011,0.378738
2.271168,-0.207214,-1.415578,1.825443,0.000099,0.382364
2.272673,0.635678,-1.429309,1.681754,0.000005,0.383606
2.272710,0.646036,-1.432288,1.843378,0.000008,0.383637
2.273800,0.669309,-1.439779,2.055258,0.000007,0.384537
2.273966,0.606152,-1.415998,1.860896,0.000010,0.384675
2.276807,-0.380223,-1.410092,1.912970,0.000071,0.387026
2.278803,0.583776,-1.404657,2.080599,0.000011,0.388682
2.300399,0.554975,-1.377234,2.193722,0.000012,0.406605
2.302028,-0.466156,-1.387281,2.005294,0.000047,0.407946
2.304505,0.094613,-1.361797,1.939900,0.000080,0.409980
2.306444,0.462301,-1.366066,1.738902,0.000031,0.411568
