T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.026400
0.815789,0.999879,-1.999517,0.005549,0.000000,0.049771
0.973684,0.999353,-1.997432,0.022802,0.000000,0.071714
1.131579,0.998102,-1.992647,0.045943,0.000000,0.093270
1.289474,0.995442,-1.982589,0.090547,0.000000,0.115300
1.447368,0.989616,-1.961513,0.148252,0.000000,0.138704
1.605263,0.978620,-1.924798,0.233565,0.000000,0.164644
1.763158,0.962587,-1.876077,0.424800,0.000000,0.194926
1.921053,0.934716,-1.800717,0.593149,0.000000,0.232895
2.019690,0.904363,-1.729850,0.792562,0.000001,0.263508
2.050329,0.893378,-1.708224,0.726752,0.000001,0.274701
2.070912,0.881436,-1.689257,0.957250,0.000002,0.282802
2.078947,0.880890,-1.685738,0.871177,0.000001,0.286107
2.079431,0.881724,-1.685373,0.900286,0.000001,0.286308
2.103745,0.868696,-1.660395,0.955975,0.000002,0.296862
2.121841,0.860985,-1.645032,0.978667,0.000002,0.305297
2.124091,0.852461,-1.637789,1.103214,0.000003,0.306383
2.125432,0.853994,-1.638202,1.064883,0.000003,0.307034
2.126152,0.852039,-1.632671,1.002655,0.000002,0.307386
2.134887,0.851609,-1.629894,1.079210,0.000002,0.311718
2.145008,0.834293,-1.610699,1.142502,0.000003,0.316912
2.145069,0.839083,-1.614802,1.045379,0.000003,0.316944
2.149391,0.833855,-1.609171,1.309419,0.000004,0.319221
2.156131,0.831786,-1.601362,1.189759,0.000003,0.322847
2.156291,0.837672,-1.608441,1.139181,0.000003,0.322934
2.170281,0.810010,-1.578732,1.358642,0.000006,0.330761
2.175909,0.818688,-1.582271,1.299813,0.000004,0.334027
2.177069,0.823704,-1.584558,1.091420,0.000003,0.334708
2.191516,0.800822,-1.555659,1.244898,0.000004,0.343452
2.192483,0.798748,-1.559031,1.299304,0.000005,0.344054
2.194275,0.794426,-1.557468,1.367052,0.000008,0.345175
2.197885,0.793367,-1.549474,1.281395,0.000005,0.347457
2.208247,-0.669349,-1.528484,1.627733,0.000088,0.354176
2.210199,0.757766,-1.527782,1.474638,0.000012,0.355469
2.214691,0.786867,-1.535460,1.390065,0.000005,0.358480
2.219756,0.751187,-1.513156,1.615031,0.000012,0.361931
2.221443,0.772833,-1.522760,1.419539,0.000006,0.363093
2.222051,0.783475,-1.526842,1.241930,0.000004,0.363513
2.228148,0.714558,-1.493678,1.630264,0.000022,0.367777
2.232025,0.740378,-1.499233,1.580262,0.000014,0.370531
2.236082,0.728602,-1.492961,1.636730,0.000013,0.373448
2.236842,0.740840,-1.498109,1.496490,0.000011,0.373998
2.238549,0.732200,-1.494934,1.656920,0.000013,0.375238
2.244951,0.735200,-1.487443,1.622425,0.000013,0.379943
2.245838,-0.387600,-1.479144,1.686083,0.000234,0.380601
2.247825,0.702437,-1.463957,1.641280,0.000014,0.382080
2.249166,0.439769,-1.470427,1.521700,0.000205,0.383084
2.249215,0.618698,-1.472733,1.675805,0.000092,0.383120
2.258625,0.314427,-1.432375,1.804370,0.000216,0.390247
2.262353,0.394761,-1.451684,1.792848,0.000213,0.393109
2.263702,0.673362,-1.438863,1.627548,0.000017,0.394150
2.267046,0.172302,-1.438212,1.626059,0.000270,0.396739
2.269251,0.684026,-1.442405,1.753818,0.000015,0.398456
2.269754,0.574899,-1.425652,2.051007,0.000076,0.398847
2.269965,0.255750,-1.398688,2.040031,0.000196,0.399012
2.270523,-0.169542,-1.421507,1.916850,0.000247,0.399447
2.273241,-0.127598,-1.412872,2.083851,0.000251,0.401573
2.276547,0.407282,-1.428501,1.872490,0.000175,0.404168
2.292026,0.473110,-1.397253,1.862007,0.000118,0.416411
2.294974,0.509760,-1.396272,1.825570,0.000099,0.418750
2.295380,-0.285142,-1.392465,1.753123,0.000203,0.419072
2.296953,0.534791,-1.373381,1.976858,0.000051,0.420320
2.298555,0.240855,-1.403288,1.851381,0.000227,0.421591
