T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.024242
0.815789,0.999883,-1.999531,0.005297,0.000000,0.045704
0.973684,0.999320,-1.997359,0.022068,0.000000,0.065856
1.131579,0.998133,-1.992719,0.049561,0.000000,0.085654
1.289474,0.995156,-1.981622,0.084532,0.000000,0.105892
1.447368,0.990395,-1.964634,0.146719,0.000000,0.127398
1.605263,0.979847,-1.928610,0.248804,0.000000,0.151247
1.763158,0.962735,-1.876029,0.398728,0.000000,0.179116
1.921053,0.930191,-1.791646,0.639423,0.000000,0.214142
1.925663,0.932271,-1.793131,0.613014,0.000000,0.215328
2.015672,0.905032,-1.732835,0.787465,0.000000,0.241211
2.078947,0.881162,-1.682118,0.824255,0.000001,0.263580
2.079228,0.879068,-1.681014,0.888882,0.000001,0.263689
2.090034,0.877776,-1.673948,0.825988,0.000001,0.267981
2.109627,0.863996,-1.653029,0.941645,0.000001,0.276185
2.123765,0.857072,-1.640481,1.098060,0.000001,0.282475
2.145777,0.840660,-1.615737,1.132597,0.000001,0.292965
2.153641,0.836157,-1.606527,1.121079,0.000002,0.296937
2.166942,0.829391,-1.595776,1.121583,0.000001,0.303948
2.169290,0.823709,-1.589754,1.197128,0.000002,0.305226
2.176022,0.820626,-1.583902,1.079676,0.000002,0.308958
2.179132,0.805251,-1.574451,1.300127,0.000003,0.310718
2.185519,0.805512,-1.565632,1.175622,0.000002,0.314404
2.192480,0.803210,-1.562157,1.183934,0.000002,0.318533
2.195597,0.791266,-1.552522,1.280417,0.000002,0.320421
2.202935,0.790203,-1.544793,1.340177,0.000003,0.324963
2.204729,0.787180,-1.543397,1.357771,0.000003,0.326094
2.205122,0.797149,-1.547349,1.242537,0.000002,0.326343
2.205817,0.778905,-1.537278,1.505542,0.000004,0.326784
2.216764,0.754913,-1.512696,1.483821,0.000005,0.333897
2.218124,0.736553,-1.513424,1.636792,0.000013,0.334802
2.227980,0.745392,-1.505945,1.551307,0.000006,0.341507
2.235178,0.749302,-1.502379,1.302729,0.000004,0.346559
2.235541,0.756902,-1.506276,1.468096,0.000004,0.346817
2.236842,0.727160,-1.493765,1.660917,0.000008,0.347746
2.237706,0.744898,-1.495149,1.511266,0.000004,0.348364
2.238936,0.740101,-1.497466,1.552380,0.000006,0.349248
2.238936,0.753239,-1.499789,1.440149,0.000003,0.349248
2.241104,0.754070,-1.499159,1.452650,0.000003,0.350815
2.244503,0.717059,-1.478124,1.563547,0.000007,0.353294
2.247734,0.738983,-1.484190,1.519865,0.000004,0.355675
2.249817,0.720287,-1.478266,1.609842,0.000008,0.357222
2.250560,0.637251,-1.448789,2.033703,0.000025,0.357776
2.250706,0.713594,-1.468492,1.556487,0.000006,0.357885
2.250762,0.721223,-1.475350,1.765763,0.000007,0.357927
2.254828,0.604475,-1.439346,2.090316,0.000032,0.360982
2.256865,0.681816,-1.455207,1.894461,0.000018,0.362525
2.257324,-0.534985,-1.457059,1.819527,0.000090,0.362874
2.266377,0.701454,-1.458169,1.602712,0.000007,0.369833
2.266750,0.682052,-1.446358,1.815158,0.000011,0.370123
2.268007,0.606902,-1.420010,2.024022,0.000020,0.371101
2.278174,0.682633,-1.433955,1.547016,0.000007,0.379088
2.282076,0.123742,-1.407044,1.820995,0.000162,0.382183
2.282700,0.680299,-1.424125,1.540500,0.000005,0.382680
2.283630,0.244423,-1.416945,1.896727,0.000160,0.383420
2.286468,0.574741,-1.394930,2.112065,0.000025,0.385681
2.287371,-0.101235,-1.390162,1.877953,0.000155,0.386402
2.288758,0.202614,-1.373008,1.909731,0.000120,0.387509
2.291026,0.581771,-1.396084,1.690485,0.000029,0.389321
2.293844,0.270875,-1.391068,1.886804,0.000139,0.391575
2.296348,0.520794,-1.371873,1.760513,0.000024,0.393578
2.296434,-0.487157,-1.400344,1.820035,0.000073,0.393646
2.298628,0.292246,-1.367545,2.020922,0.000103,0.395400
2.308067,-0.091451,-1.366925,1.902366,0.000147,0.402926
2.313621,-0.010425,-1.332823,1.783432,0.000110,0.407325
2.317229,0.170536,-1.328028,1.843484,0.000101,0.410164
2.317893,0.093783,-1.346277,1.830832,0.000133,0.410686
2.318401,-0.126304,-1.333327,1.831766,0.000117,0.411083
2.328315,-0.260396,-1.313637,1.681130,0.000077,0.418772
2.328361,0.005423,-1.312048,1.713060,0.000104,0.418807
2.330051,0.161801,-1.304812,1.778670,0.000088,0.420100
2.332879,0.096414,-1.325146,1.939148,0.000125,0.422253
2.336139,0.206089,-1.323396,1.866364,0.000106,0.424713
2.338178,-0.106982,-1.320000,1.864686,0.000115,0.426241
2.349768,0.450801,-1.305424,1.863994,0.000029,0.434740
2.350746,-0.037037,-1.282673,1.688766,0.000095,0.435442
2.352475,-0.326424,-1.294266,1.648786,0.000060,0.436677
2.353821,0.087562,-1.268547,1.482567,0.000075,0.437633
2.366976,-0.042580,-1.256012,1.603360,0.000072,0.446725
2.367612,0.040369,-1.264680,1.542845,0.000077,0.447152
2.368877,-0.020368,-1.260200,1.358099,0.000082,0.448000
2.375002,0.038950,-1.245648,1.303687,0.000068,0.452038
2.379368,-0.044987,-1.252246,1.680969,0.000079,0.454854
2.385132,-0.018359,-1.228716,1.337679,0.000065,0.458489
2.385680,0.055377,-1.235287,1.537993,0.000071,0.458831
2.386445,-0.001397,-1.234780,1.382088,0.000065,0.459305
2.387120,0.108922,-1.226246,1.608988,0.000055,0.459722
2.394199,0.064373,-1.229717,1.371066,0.000066,0.464023
2.394737,-0.023347,-1.210077,1.270498,0.000054,0.464345
2.441606,-0.007930,-1.172893,1.273463,0.000046,0.489514
2.498744,0.009557,-1.103948,0.871624,0.000021,0.513931
2.532450,-0.020197,-1.083946,0.844447,0.000019,0.525913
2.552632,0.035459,-1.074435,0.855304,0.000022,0.532411
2.710526,-0.024788,-0.956971,0.611688,0.000006,0.571370
2.868421,0.012154,-0.878010,0.663520,0.000006,0.597853
3.026316,0.020569,-0.814946,0.521007,0.000004,0.617737
3.184211,0.005153,-0.755078,0.408512,0.000003,0.633608
3.342105,0.001821,-0.699732,0.416212,0.000003,0.646814
3.500000,0.004195,-0.660000,0.314814,0.000002,0.658144
