T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.028900
0.815789,0.999877,-1.999506,0.005817,0.000000,0.054450
0.973684,0.999259,-1.997037,0.022002,0.000000,0.078399
1.131579,0.997802,-1.991506,0.049313,0.000000,0.101877
1.289474,0.995577,-1.983231,0.081194,0.000000,0.125806
1.447368,0.989778,-1.961989,0.172723,0.000000,0.151134
1.605263,0.977716,-1.922717,0.294042,0.000001,0.179054
1.763158,0.963124,-1.876430,0.381195,0.000001,0.211365
1.921053,0.933638,-1.798402,0.601042,0.000002,0.251245
2.038119,0.900321,-1.718538,0.712802,0.000004,0.289311
2.064300,0.890549,-1.697959,0.767222,0.000004,0.299322
2.067220,0.892293,-1.699826,0.769466,0.000004,0.300481
2.078947,0.873642,-1.674455,0.977455,0.000008,0.305224
2.095663,0.870153,-1.666855,0.884550,0.000008,0.312247
2.110778,0.868247,-1.654794,0.962217,0.000007,0.318881
2.134129,0.226781,-1.609497,1.207483,0.000946,0.329700
2.138216,0.850636,-1.624929,1.059153,0.000009,0.331669
2.144263,0.829329,-1.611177,1.229802,0.000026,0.334625
2.144437,0.839716,-1.615095,1.135947,0.000012,0.334710
2.145754,0.846082,-1.622770,1.036751,0.000012,0.335361
2.149508,0.841734,-1.609988,1.003162,0.000010,0.337231
2.157355,0.492216,-1.599633,1.159999,0.000653,0.341204
2.165462,0.839023,-1.604350,1.072722,0.000010,0.345406
2.165663,0.825926,-1.590473,1.123359,0.000014,0.345511
2.172606,0.821537,-1.587402,1.127719,0.000016,0.349190
2.175400,0.792782,-1.572907,1.290937,0.000056,0.350691
2.188944,0.824607,-1.577455,1.126256,0.000011,0.358142
2.201040,-0.764173,-1.532621,1.281706,0.000062,0.365039
2.201614,0.801028,-1.551136,1.230180,0.000018,0.365371
2.202028,-0.109139,-1.541752,1.368851,0.000872,0.365612
2.204493,0.267381,-1.545631,1.253471,0.000797,0.367050
2.206018,0.599795,-1.555123,1.226321,0.000426,0.367943
