T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.027263
0.815789,0.999917,-1.999667,0.003911,0.000000,0.051393
0.973684,0.999417,-1.997722,0.022397,0.000000,0.074042
1.131579,0.998236,-1.993194,0.045374,0.000000,0.096284
1.289474,0.995092,-1.981491,0.101193,0.000000,0.119003
1.447368,0.988998,-1.959852,0.135054,0.000000,0.143123
1.605263,0.979001,-1.926816,0.229709,0.000000,0.169826
1.763158,0.963853,-1.878595,0.361126,0.000000,0.200938
1.913618,0.933797,-1.797819,0.650502,0.000001,0.237708
1.921053,0.934601,-1.798096,0.566401,0.000001,0.239792
2.078947,0.884173,-1.685422,0.823666,0.000002,0.293692
2.091314,0.874743,-1.673971,0.910754,0.000003,0.298959
2.097075,0.871057,-1.661953,0.843425,0.000002,0.301482
2.099398,0.876756,-1.671947,0.918880,0.000002,0.302512
2.103141,0.867427,-1.652595,0.971027,0.000002,0.304188
2.115740,0.861166,-1.645102,0.977804,0.000003,0.309977
2.118989,0.862748,-1.644410,0.935732,0.000002,0.311508
2.124020,0.852419,-1.643133,1.027235,0.000005,0.313911
2.129126,0.845497,-1.631418,1.089204,0.000004,0.316391
2.134373,0.844656,-1.623956,1.164220,0.000004,0.318984
2.140249,0.838488,-1.619413,1.041775,0.000005,0.321940
2.146612,0.843004,-1.617760,1.029845,0.000004,0.325209
2.154013,0.845293,-1.616271,0.995866,0.000003,0.329099
2.157669,0.835547,-1.604454,1.156800,0.000004,0.331057
2.160635,0.822245,-1.592175,1.286857,0.000007,0.332664
2.164519,0.829531,-1.593742,1.096972,0.000004,0.334791
2.169543,0.832198,-1.594075,1.075516,0.000004,0.337585
2.170670,0.798574,-1.574646,1.349894,0.000014,0.338219
2.176050,0.816384,-1.575479,1.208709,0.000005,0.341275
2.179821,0.819857,-1.582159,1.228114,0.000006,0.343451
2.190740,0.799149,-1.558303,1.288636,0.000008,0.349907
2.196677,-0.092209,-1.537751,1.646919,0.000476,0.353517
2.206620,0.785218,-1.542635,1.363586,0.000009,0.359716
2.207139,-0.552962,-1.525649,1.573341,0.000230,0.360046
2.214047,0.751548,-1.522139,1.350140,0.000020,0.364475
2.227618,0.445079,-1.503578,1.757494,0.000290,0.373442
2.233497,0.495727,-1.502502,1.476633,0.000264,0.377433
2.234724,0.779718,-1.515076,1.183382,0.000006,0.378274
2.236636,0.458144,-1.501941,1.415377,0.000292,0.379588
2.236842,0.605951,-1.496003,1.480828,0.000158,0.379731
2.244960,0.550663,-1.471590,1.595279,0.000178,0.385385
2.252163,0.336127,-1.462350,1.710836,0.000317,0.390488
2.253914,0.538984,-1.442247,2.196434,0.000145,0.391739
2.259428,0.761201,-1.493244,1.353423,0.000009,0.395707
2.260303,0.700282,-1.463113,1.564550,0.000027,0.396340
2.260581,-0.366339,-1.449224,1.743953,0.000275,0.396541
2.269542,0.361534,-1.427533,1.548098,0.000263,0.403076
2.272499,-0.325818,-1.443660,1.699211,0.000307,0.405249
2.275376,-0.215648,-1.434147,1.699336,0.000338,0.407370
2.278149,0.515040,-1.424356,1.757370,0.000160,0.409421
2.280535,0.104224,-1.434414,1.690278,0.000370,0.411188
2.281504,0.247515,-1.433225,1.559515,0.000328,0.411906
2.288914,0.462372,-1.424363,1.583328,0.000205,0.417414
2.290459,-0.433899,-1.398922,1.708699,0.000180,0.418564
2.296197,-0.326204,-1.427356,1.725555,0.000291,0.422838
2.301491,0.041078,-1.395495,1.603176,0.000338,0.426778
2.303261,0.272771,-1.392465,1.608201,0.000275,0.428094
2.304065,-0.021716,-1.377366,1.866352,0.000308,0.428691
2.304652,0.457283,-1.395451,1.649425,0.000173,0.429127
2.313340,-0.132157,-1.348249,1.969447,0.000254,0.435558
2.316785,0.118990,-1.320589,1.739761,0.000202,0.438094
2.331111,-0.248116,-1.341448,1.612267,0.000224,0.448513
2.336581,0.007633,-1.301678,1.747316,0.000212,0.452424
2.338361,-0.216653,-1.317895,1.602486,0.000200,0.453687
2.339077,-0.110045,-1.333061,1.535278,0.000260,0.454194
