T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999985,-1.999940,0.001114,0.000000,0.027135
0.815789,0.999909,-1.999637,0.004258,0.000000,0.051153
0.973684,0.999395,-1.997641,0.020630,0.000000,0.073699
1.131579,0.998110,-1.992711,0.049195,0.000000,0.095841
1.289474,0.994954,-1.980888,0.088037,0.000000,0.118462
1.447368,0.989905,-1.962843,0.146860,0.000000,0.142480
1.605263,0.980605,-1.931004,0.266478,0.000000,0.169077
1.763158,0.961232,-1.872394,0.398752,0.000000,0.200074
1.921053,0.936180,-1.802632,0.573248,0.000001,0.238806
2.036889,0.894722,-1.710636,0.851588,0.000002,0.276063
2.078947,0.883533,-1.686120,0.933859,0.000002,0.292583
2.108930,0.862853,-1.651403,1.065126,0.000004,0.305690
2.122449,0.863194,-1.646308,0.963258,0.000003,0.312019
2.132904,0.845778,-1.630439,1.076584,0.000006,0.317110
2.135986,0.851937,-1.632262,1.044386,0.000003,0.318644
2.150914,0.844823,-1.618384,1.073575,0.000005,0.326305
2.159415,0.835718,-1.607251,1.221638,0.000006,0.330843
2.164368,0.834491,-1.601966,1.035326,0.000004,0.333548
2.173296,0.820297,-1.584591,1.192714,0.000006,0.338539
2.179390,0.823050,-1.582588,1.121029,0.000005,0.342034
2.179727,0.806837,-1.571988,1.285896,0.000008,0.342229
2.180245,0.815598,-1.577736,1.160482,0.000006,0.342530
2.181087,0.804399,-1.573574,1.442721,0.000016,0.343020
2.185351,0.816565,-1.580019,1.205596,0.000006,0.345522
2.189527,0.806182,-1.565694,1.305736,0.000010,0.348006
2.195865,0.729972,-1.545780,1.674421,0.000069,0.351843
2.197936,0.352054,-1.539140,1.493218,0.000426,0.353114
2.208481,0.778459,-1.531668,1.490138,0.000013,0.359717
2.208843,0.805897,-1.553669,1.104671,0.000005,0.359947
2.212104,0.789916,-1.538188,1.315282,0.000008,0.362036
2.218266,0.575337,-1.508224,1.510851,0.000206,0.366038
2.218505,0.745690,-1.511981,1.463877,0.000023,0.366195
2.225335,0.477957,-1.496410,1.592164,0.000285,0.370719
2.230410,0.764948,-1.510147,1.414546,0.000013,0.374136
2.234826,-0.106042,-1.517787,1.299942,0.000509,0.377147
2.236766,0.701409,-1.478112,1.765458,0.000036,0.378480
2.236842,0.745603,-1.503481,1.564608,0.000019,0.378533
2.237108,-0.222893,-1.485795,1.652139,0.000420,0.378716
2.240577,0.734306,-1.496075,1.571087,0.000024,0.381118
2.242744,0.104235,-1.482077,1.442936,0.000454,0.382628
2.244766,0.417926,-1.477974,1.490765,0.000318,0.384044
2.245386,0.147418,-1.484784,1.475123,0.000448,0.384479
2.258731,0.277377,-1.449996,1.848213,0.000348,0.393985
2.272159,-0.558458,-1.444942,1.667948,0.000170,0.403763
2.276355,0.039703,-1.438050,1.539646,0.000415,0.406851
2.280847,0.624264,-1.421093,1.721055,0.000067,0.410169
2.284915,0.306327,-1.416190,1.583043,0.000320,0.413182
2.291541,-0.037734,-1.393494,1.921897,0.000353,0.418100
2.295357,0.003019,-1.383245,1.597177,0.000335,0.420934
2.295467,0.006516,-1.400835,1.796016,0.000366,0.421015
2.301403,0.420656,-1.398719,1.827401,0.000215,0.425420
2.303814,-0.149250,-1.385118,1.578425,0.000336,0.427206
2.304907,0.013407,-1.376225,1.750738,0.000336,0.428016
2.308959,0.162091,-1.371339,1.621132,0.000294,0.431009
2.312073,-0.019551,-1.386845,1.651799,0.000355,0.433304
2.312232,-0.042349,-1.369211,1.796297,0.000328,0.433420
2.319098,-0.228958,-1.351338,1.732277,0.000257,0.438451
2.320666,-0.425437,-1.363243,1.635178,0.000185,0.439593
2.324569,-0.279161,-1.342093,1.855518,0.000221,0.442427
2.325312,0.197739,-1.342158,1.688466,0.000258,0.442964
2.326215,-0.456035,-1.351130,1.674859,0.000142,0.443616
2.327925,0.232072,-1.353612,1.594901,0.000268,0.444849
2.328629,-0.095581,-1.354676,1.564178,0.000322,0.445355
2.336715,-0.499768,-1.333921,1.638983,0.000088,0.451121
2.337402,-0.080816,-1.318770,1.566179,0.000265,0.451607
2.339257,-0.273534,-1.330718,1.676475,0.000224,0.452915
2.340577,0.225738,-1.315353,1.749749,0.000211,0.453842
2.341365,0.246222,-1.333389,1.651371,0.000244,0.454394
2.345078,0.149814,-1.284464,1.503013,0.000201,0.456981
2.346480,0.289029,-1.316642,1.668220,0.000202,0.457952
2.349431,-0.306326,-1.305086,1.464863,0.000175,0.459985
2.356320,0.214902,-1.286151,1.506123,0.000191,0.464668
2.358464,0.383293,-1.315363,1.765142,0.000166,0.466107
2.362115,-0.091494,-1.281290,1.611239,0.000227,0.468538
2.367864,0.165763,-1.252766,1.520797,0.000157,0.472310
2.380720,0.044168,-1.262767,1.626972,0.000210,0.480497
2.380846,0.075602,-1.250258,1.408025,0.000190,0.480576
2.385549,-0.039850,-1.251610,1.456471,0.000194,0.483482
2.390741,0.052127,-1.244155,1.451820,0.000182,0.486635
2.391910,0.107798,-1.236127,1.448290,0.000163,0.487337
2.394737,0.081284,-1.247479,1.522023,0.000203,0.489022
2.396934,-0.057980,-1.232091,1.363259,0.000173,0.490320
2.401516,-0.158692,-1.224557,1.419192,0.000158,0.492994
2.418502,0.112778,-1.205859,1.418468,0.000141,0.502515
2.421995,0.000277,-1.197624,1.163023,0.000137,0.504398
2.436221,0.009767,-1.181899,1.230366,0.000126,0.511814
2.443902,-0.089129,-1.170691,1.169815,0.000115,0.515654
2.449940,0.142688,-1.164119,1.091696,0.000105,0.518594
2.452612,0.053047,-1.168853,1.202204,0.000133,0.519873
2.455506,0.106048,-1.154234,1.054202,0.000098,0.521245
2.511916,0.028446,-1.107348,0.959021,0.000081,0.545240
2.552632,-0.057811,-1.061424,0.742785,0.000053,0.559834
2.559074,0.060544,-1.064378,0.926670,0.000070,0.561970
2.710526,0.018670,-0.955983,0.661988,0.000035,0.602326
2.868421,0.034501,-0.865588,0.520831,0.000022,0.631598
3.026316,0.002969,-0.812607,0.443391,0.000015,0.653690
3.184211,-0.016155,-0.760797,0.410153,0.000010,0.671367
3.342105,0.000444,-0.704765,0.297649,0.000007,0.686096
3.500000,-0.010949,-0.661535,0.337241,0.000006,0.698743
