T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.036169
0.815789,1.000000,-2.000000,0.000000,0.000000,0.067951
0.973684,0.999680,-1.998720,0.010758,0.000001,0.097517
1.131579,0.997440,-1.989760,0.061929,0.000007,0.126222
1.289474,0.995591,-1.982992,0.082027,0.000012,0.155105
1.447368,0.989104,-1.958710,0.163615,0.000028,0.185133
1.605263,0.981114,-1.931671,0.230737,0.000052,0.217381
1.763158,-0.422848,-1.876998,0.397898,0.017109,0.253199
1.921053,0.565021,-1.801179,0.531823,0.011897,0.294405
2.015056,-0.060845,-1.738650,0.660507,0.016839,0.322439
2.065003,-0.324712,-1.722613,0.718831,0.014200,0.338615
2.078947,-0.027122,-1.707664,0.715582,0.015958,0.343301
2.087197,-0.453774,-1.692878,0.706114,0.011800,0.346109
2.099885,0.104675,-1.692327,0.738970,0.015429,0.350479
2.101156,-0.174247,-1.689886,0.746024,0.015082,0.350920
2.112079,-0.449613,-1.665418,0.769702,0.011398,0.354738
2.117816,0.027494,-1.677579,0.755673,0.015425,0.356761
2.124554,-0.058323,-1.664591,0.755533,0.015044,0.359154
2.124914,-0.086740,-1.666520,0.769104,0.015024,0.359283
2.134176,-0.414002,-1.650816,0.759724,0.011753,0.362602
2.139692,-0.181121,-1.640293,0.832246,0.014101,0.364595
2.149596,-0.012358,-1.661752,0.698790,0.014970,0.368201
2.152700,0.001399,-1.635841,0.807132,0.014584,0.369339
2.160926,-0.285161,-1.645237,0.778420,0.013176,0.372371
2.161568,-0.091374,-1.593934,0.952496,0.013821,0.372609
2.168080,0.059831,-1.601580,0.879638,0.013978,0.375029
2.168090,0.460169,-1.607225,0.849779,0.010210,0.375033
2.173976,0.261935,-1.636391,0.796423,0.013212,0.377233
2.178342,-0.000279,-1.600782,0.854255,0.014009,0.378874
2.178939,0.073972,-1.617860,0.852482,0.014070,0.379098
2.179483,0.151093,-1.608443,0.896449,0.013669,0.379304
2.183580,-0.011667,-1.619852,0.796588,0.014194,0.380850
2.184564,0.029824,-1.609917,0.806141,0.014077,0.381223
2.184907,0.239538,-1.609875,0.824377,0.013114,0.381352
2.189352,-0.189719,-1.623178,0.836008,0.013597,0.383039
2.204474,0.251574,-1.574959,0.883380,0.012453,0.388827
2.208312,0.315027,-1.577568,0.950205,0.011835,0.390308
2.211179,0.165870,-1.582754,0.880498,0.013130,0.391417
2.214206,0.094358,-1.582712,0.875137,0.013435,0.392591
2.214472,0.103038,-1.572224,0.843370,0.013332,0.392694
2.217962,0.030113,-1.580983,0.877353,0.013578,0.394051
2.218068,-0.072440,-1.593685,0.894395,0.013607,0.394092
2.220085,-0.082486,-1.565261,0.903353,0.013215,0.394878
2.223901,0.139892,-1.578489,0.884640,0.013170,0.396368
2.232470,0.085105,-1.560985,0.855212,0.013112,0.399730
2.232929,0.105096,-1.565356,0.843254,0.013118,0.399910
2.235035,-0.101745,-1.574837,0.855353,0.013191,0.400739
2.236842,0.022254,-1.575886,0.853975,0.013397,0.401452
2.237200,0.177255,-1.569781,0.900035,0.012759,0.401593
2.240909,0.045429,-1.549643,0.885312,0.013059,0.403058
2.252043,-0.056634,-1.542369,0.896711,0.012831,0.407478
2.254127,0.016217,-1.551188,0.886164,0.012932,0.408308
2.258151,0.111281,-1.505836,0.974891,0.012291,0.409914
2.267976,-0.066074,-1.531881,0.888204,0.012606,0.413849
2.272754,-0.131845,-1.531098,0.910289,0.012417,0.415770
2.274218,0.081725,-1.523415,0.936067,0.012476,0.416359
2.275395,0.167879,-1.531241,0.923112,0.012152,0.416833
2.279908,0.023238,-1.537367,0.911359,0.012627,0.418652
2.280921,0.009893,-1.520142,0.873475,0.012475,0.419060
2.292561,-0.033152,-1.502880,0.910872,0.012245,0.423768
2.293977,0.033399,-1.489813,0.965098,0.012128,0.424341
2.294173,0.087779,-1.519572,0.920176,0.012252,0.424421
2.294809,-0.074877,-1.497296,0.918390,0.012067,0.424678
2.296478,0.046321,-1.514429,0.944575,0.012333,0.425355
2.297600,-0.084699,-1.528933,0.885743,0.012390,0.425810
2.311121,-0.064668,-1.512819,0.848189,0.012116,0.431302
2.317142,-0.125763,-1.529437,0.895809,0.012185,0.433752
2.323608,0.052219,-1.499611,0.928803,0.011993,0.436384
2.323962,0.170633,-1.496275,0.886581,0.011464,0.436528
2.330167,0.116588,-1.481016,0.910565,0.011591,0.439054
2.331071,-0.084796,-1.477639,0.934567,0.011661,0.439422
2.343489,-0.136975,-1.449239,0.927908,0.011131,0.444475
2.343811,0.123668,-1.480605,0.924903,0.011521,0.444606
2.344771,0.085342,-1.463754,0.903194,0.011418,0.444997
2.348165,0.056052,-1.470446,0.918234,0.011567,0.446376
2.354135,-0.100528,-1.457807,0.974282,0.011301,0.448801
2.356386,0.210274,-1.426092,0.979433,0.010255,0.449715
2.359006,-0.287699,-1.427541,0.984997,0.009656,0.450777
2.364104,0.003065,-1.428561,0.995285,0.011048,0.452843
2.365572,0.054263,-1.440562,0.937548,0.011152,0.453437
2.380035,-0.029496,-1.426375,0.935053,0.010937,0.459276
2.394447,-0.048648,-1.420960,0.928433,0.010829,0.465057
2.394737,-0.114956,-1.421222,0.918947,0.010595,0.465173
2.402843,-0.070658,-1.429323,0.933259,0.010901,0.468405
2.410965,0.159265,-1.399106,0.949835,0.010052,0.471626
2.424243,0.146924,-1.399147,0.928030,0.010094,0.476855
2.432600,-0.036622,-1.353656,0.973040,0.009959,0.480118
2.434367,0.085455,-1.359421,0.914562,0.009844,0.480805
2.451200,-0.051776,-1.361621,0.947856,0.009965,0.487297
2.456658,0.071612,-1.382167,0.942309,0.010192,0.489380
2.457132,0.060939,-1.394193,0.899941,0.010152,0.489561
2.491470,-0.020396,-1.308033,0.973457,0.009236,0.502385
2.552632,-0.086740,-1.275507,0.916269,0.008663,0.523920
2.710526,0.121710,-1.140903,0.866364,0.006818,0.571203
2.868421,0.070476,-0.964156,0.663895,0.005051,0.608018
3.026316,-0.063869,-0.963934,0.604876,0.004851,0.637225
3.184211,0.078154,-0.812923,0.367392,0.003205,0.661099
3.342105,0.016096,-0.742311,0.396320,0.002960,0.681169
3.500000,-0.089280,-0.658560,0.347561,0.002284,0.698452
