T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.024306
0.815789,0.999883,-1.999534,0.005290,0.000000,0.045837
0.973684,0.999509,-1.998085,0.018411,0.000000,0.066068
1.131579,0.998243,-1.993207,0.046712,0.000000,0.085963
1.289474,0.994625,-1.979860,0.127584,0.000000,0.106320
1.447368,0.989467,-1.961823,0.151710,0.000000,0.127985
1.605263,0.979387,-1.927496,0.297137,0.000000,0.152057
1.763158,0.961379,-1.872804,0.357387,0.000000,0.180267
1.921053,0.933717,-1.798188,0.599659,0.000000,0.215883
2.056837,0.887043,-1.698690,0.958254,0.000001,0.258002
2.078947,0.879456,-1.679850,0.936059,0.000001,0.266562
2.086655,0.872885,-1.673228,0.898884,0.000001,0.269698
2.090546,0.873580,-1.668272,0.898448,0.000001,0.271314
2.092202,0.874151,-1.669923,0.953005,0.000001,0.272008
2.097618,0.872460,-1.666163,0.904290,0.000001,0.274308
2.115256,0.855978,-1.645198,0.999578,0.000002,0.282118
2.122602,0.861538,-1.645996,0.989101,0.000001,0.285526
2.140555,0.848893,-1.623172,1.031921,0.000001,0.294272
2.154262,0.827360,-1.601995,1.192369,0.000002,0.301383
2.162753,0.826375,-1.593344,1.138452,0.000002,0.305992
2.163135,0.831801,-1.598737,1.146392,0.000002,0.306203
2.167612,0.822271,-1.592082,1.269888,0.000003,0.308702
2.171093,0.821192,-1.583991,1.248917,0.000002,0.310678
2.173808,0.823325,-1.584341,1.211808,0.000002,0.312238
2.190264,0.780610,-1.554906,1.549502,0.000006,0.322084
2.191203,0.809049,-1.566371,1.267874,0.000002,0.322666
2.197557,0.801368,-1.555769,1.345715,0.000003,0.326666
2.209498,0.786721,-1.536781,1.248880,0.000003,0.334465
2.209831,0.770662,-1.529113,1.418919,0.000004,0.334687
2.213329,0.778903,-1.533843,1.557843,0.000004,0.337046
2.215636,0.772051,-1.524408,1.409727,0.000004,0.338619
2.231681,0.760563,-1.503631,1.438739,0.000003,0.349931
2.232323,0.729248,-1.497687,1.624407,0.000009,0.350396
2.236842,0.091208,-1.484195,1.821260,0.000243,0.353703
2.238550,-0.361103,-1.481191,1.696695,0.000186,0.354965
2.239003,0.719246,-1.483851,1.672695,0.000008,0.355301
2.239628,0.368815,-1.472709,1.676813,0.000174,0.355766
2.243861,0.741533,-1.493299,1.423602,0.000006,0.358931
2.244410,0.027895,-1.478294,1.702476,0.000245,0.359345
2.244969,-0.275182,-1.487604,1.576237,0.000218,0.359766
2.249114,-0.264601,-1.465202,1.830737,0.000199,0.362913
2.251006,0.730013,-1.476611,1.439224,0.000005,0.364360
2.251294,0.679741,-1.462340,1.795266,0.000013,0.364581
2.251562,0.700548,-1.466992,1.804164,0.000012,0.364787
2.253087,0.715114,-1.463956,1.633014,0.000005,0.365960
2.253395,0.667292,-1.447513,1.908012,0.000014,0.366197
2.255365,-0.396857,-1.465216,1.795097,0.000169,0.367719
2.255895,0.719307,-1.465360,1.444219,0.000005,0.368130
2.257677,0.274524,-1.453998,1.877363,0.000189,0.369515
2.258619,-0.523286,-1.473258,1.659417,0.000121,0.370248
2.262523,0.215881,-1.450182,1.760700,0.000207,0.373304
2.263067,-0.410158,-1.426313,1.811965,0.000117,0.373731
2.264603,0.667926,-1.438592,1.949957,0.000014,0.374940
2.270804,0.626054,-1.422948,1.919156,0.000018,0.379850
2.273900,0.656424,-1.425454,1.736658,0.000010,0.382315
2.276005,-0.018596,-1.422226,2.165125,0.000205,0.383995
2.279654,0.635737,-1.412054,1.763009,0.000012,0.386914
2.279943,0.016015,-1.402124,1.888817,0.000184,0.387145
2.289540,-0.191572,-1.407187,1.907433,0.000177,0.394842
2.309282,0.584566,-1.379940,1.784662,0.000029,0.410559
2.311609,0.073767,-1.355540,1.729068,0.000152,0.412385
2.312741,-0.113597,-1.368846,1.913414,0.000162,0.413271
2.316566,0.263948,-1.367380,1.840881,0.000140,0.416248
2.317975,0.259381,-1.335660,1.767683,0.000103,0.417338
2.332379,0.117726,-1.333658,1.923064,0.000141,0.428264
2.336851,0.431188,-1.317875,1.808959,0.000043,0.431563
2.337659,-0.232505,-1.293849,1.685288,0.000077,0.432154
2.338038,0.236913,-1.300248,1.632991,0.000083,0.432430
2.340305,-0.055111,-1.311320,1.596750,0.000119,0.434077
2.340372,0.090221,-1.302554,1.748061,0.000109,0.434126
2.342196,0.331645,-1.318394,1.815151,0.000088,0.435441
2.343544,0.132416,-1.291309,1.617840,0.000093,0.436408
2.343739,0.320273,-1.307587,1.594685,0.000075,0.436547
2.355563,-0.056588,-1.276626,1.709564,0.000095,0.444814
2.356425,-0.096822,-1.288795,1.786544,0.000106,0.445401
2.364176,0.069246,-1.255618,1.473176,0.000078,0.450594
2.364468,0.137156,-1.268627,1.538754,0.000084,0.450787
2.364910,-0.262695,-1.259080,1.565332,0.000055,0.451077
2.372288,-0.027494,-1.250429,1.397194,0.000076,0.455849
2.381820,0.050270,-1.243877,1.309618,0.000077,0.461789
2.387264,0.012109,-1.237460,1.337675,0.000073,0.465070
2.394737,-0.103251,-1.209222,1.184144,0.000050,0.469442
2.394990,-0.199114,-1.237609,1.342393,0.000066,0.469587
2.404381,-0.042476,-1.205590,1.209612,0.000054,0.474868
2.405605,-0.083307,-1.207480,1.286704,0.000055,0.475539
2.434885,-0.066562,-1.172583,1.118278,0.000045,0.490537
2.450348,-0.009789,-1.152497,1.099441,0.000044,0.497699
2.455764,-0.061734,-1.149881,1.084724,0.000037,0.500096
