T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.031301
0.815789,0.999822,-1.999289,0.008377,0.000000,0.058976
0.973684,0.999609,-1.998436,0.012620,0.000000,0.084920
1.131579,0.998400,-1.993813,0.041479,0.000000,0.110354
1.289474,0.995871,-1.984532,0.085318,0.000000,0.136276
1.447368,0.989677,-1.962469,0.155437,0.000000,0.163706
1.605263,0.977931,-1.921863,0.300855,0.000001,0.193925
1.763158,0.962076,-1.875202,0.379262,0.000002,0.228843
1.921053,0.932760,-1.795398,0.627819,0.000004,0.271762
1.977116,0.916596,-1.763504,0.765105,0.000009,0.289989
2.045819,0.896030,-1.712278,0.830008,0.000009,0.315390
2.046028,0.893074,-1.709253,0.821617,0.000011,0.315474
2.078434,0.876689,-1.674511,0.882100,0.000014,0.328908
2.078947,0.888226,-1.692131,0.806875,0.000009,0.329129
2.105317,0.857947,-1.649714,1.032536,0.000027,0.340879
2.106355,0.797732,-1.661710,1.069101,0.000265,0.341358
2.111732,0.862059,-1.651566,1.005666,0.000019,0.343857
2.124622,0.841255,-1.630337,1.178404,0.000044,0.349984
2.130591,0.859654,-1.640226,0.976698,0.000014,0.352889
2.133970,-0.341527,-1.626737,1.084376,0.001285,0.354553
2.138503,0.598940,-1.615646,1.181510,0.000745,0.356808
2.148114,0.849090,-1.621815,1.044225,0.000019,0.361674
2.154016,0.830499,-1.601608,1.203153,0.000028,0.364721
2.159081,0.467659,-1.601276,1.190531,0.000991,0.367371
2.160845,0.837158,-1.603736,1.067954,0.000022,0.368301
2.161023,0.829024,-1.601105,1.176065,0.000034,0.368396
2.162388,0.835880,-1.599739,1.063040,0.000023,0.369119
2.162835,0.770778,-1.599928,1.200018,0.000224,0.369356
2.166651,0.825523,-1.592435,1.068739,0.000029,0.371394
2.171228,0.622299,-1.564090,1.326237,0.000551,0.373862
2.172364,0.830870,-1.592684,1.051896,0.000023,0.374479
2.174393,0.046563,-1.589092,1.043158,0.001426,0.375585
2.176606,0.825231,-1.586130,1.124746,0.000026,0.376797
2.190678,-0.017782,-1.545203,1.332029,0.001315,0.384656
2.191483,0.663963,-1.548183,1.355935,0.000419,0.385114
2.199053,-0.428431,-1.539256,1.410654,0.000911,0.389455
2.200107,0.783843,-1.543620,1.394503,0.000056,0.390065
2.204099,0.101389,-1.533085,1.294248,0.001244,0.392388
2.207659,-0.329641,-1.544484,1.414366,0.001082,0.394477
2.210956,0.389972,-1.548398,1.240598,0.001021,0.396426
2.213837,0.724465,-1.519357,1.130852,0.000206,0.398140
2.213905,-0.174137,-1.542616,1.374862,0.001238,0.398180
2.214519,-0.747201,-1.545244,1.198199,0.000208,0.398547
2.215553,-0.384322,-1.539544,1.247359,0.000995,0.399165
2.216690,-0.510882,-1.523114,1.424904,0.000724,0.399846
2.216713,0.791153,-1.531237,1.153220,0.000031,0.399860
2.225181,-0.561077,-1.521151,1.312131,0.000623,0.404981
2.228995,-0.279422,-1.499853,1.501556,0.001037,0.407314
2.236842,-0.571890,-1.515643,1.289435,0.000595,0.412161
2.240525,-0.621434,-1.518753,1.285617,0.000483,0.414458
2.242444,0.053926,-1.476630,1.308423,0.001142,0.415660
2.244575,-0.124555,-1.486046,1.387601,0.001111,0.416999
2.248201,0.186175,-1.472379,1.500677,0.001058,0.419287
2.248296,-0.031174,-1.483018,1.343047,0.001159,0.419346
2.250238,0.118151,-1.473762,1.409536,0.001093,0.420576
2.257087,-0.189415,-1.474828,1.508049,0.001059,0.424938
2.270592,0.555473,-1.452082,1.480824,0.000479,0.433636
2.271428,0.258290,-1.444699,1.518769,0.000918,0.434178
2.275134,0.186198,-1.451592,1.564996,0.001028,0.436585
2.281423,0.174777,-1.413357,1.516771,0.000912,0.440682
2.282422,-0.078495,-1.443026,1.416924,0.001056,0.441334
2.287098,-0.552736,-1.427413,1.566816,0.000417,0.444390
2.290551,0.194696,-1.418467,1.554923,0.000924,0.446650
2.295708,0.245900,-1.413841,1.454979,0.000864,0.450028
2.298161,-0.131608,-1.411134,1.581176,0.000952,0.451636
2.304856,0.350100,-1.402686,1.601731,0.000708,0.456022
2.304981,-0.224244,-1.397386,1.597073,0.000833,0.456104
2.307167,-0.098009,-1.393748,1.511453,0.000912,0.457535
2.310251,0.013329,-1.409489,1.469316,0.000991,0.459553
2.317957,0.082539,-1.402106,1.356039,0.000944,0.464582
2.318474,0.079265,-1.403872,1.568201,0.000955,0.464919
2.326955,-0.275121,-1.384179,1.526351,0.000772,0.470425
2.327083,-0.184030,-1.389227,1.327922,0.000872,0.470508
2.330712,-0.135099,-1.380893,1.579933,0.000882,0.472852
2.335577,-0.257217,-1.355319,1.463895,0.000728,0.475981
2.341703,0.194024,-1.355712,1.598681,0.000768,0.479897
2.344058,-0.360783,-1.364508,1.417890,0.000616,0.481394
2.344622,-0.078703,-1.351348,1.467524,0.000826,0.481752
2.347016,0.037196,-1.345949,1.385467,0.000823,0.483267
2.352787,-0.023565,-1.328215,1.583349,0.000782,0.486900
2.355114,-0.071315,-1.323506,1.515212,0.000761,0.488356
2.366809,0.024192,-1.333025,1.336054,0.000832,0.495585
2.372767,0.021920,-1.322675,1.387649,0.000788,0.499207
2.384519,0.187343,-1.267955,1.385404,0.000593,0.506224
