T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,1.000000,-2.000000,0.000000,0.000000,0.031901
0.815789,0.999944,-1.999778,0.002661,0.000000,0.060079
0.973684,0.999667,-1.998667,0.010981,0.000000,0.086461
1.131579,0.998056,-1.992222,0.052897,0.000000,0.112285
1.289474,0.995626,-1.983158,0.078039,0.000000,0.138552
1.447368,0.988501,-1.958184,0.195380,0.000001,0.166274
1.605263,0.980180,-1.928898,0.217870,0.000002,0.196697
1.763158,0.963204,-1.875447,0.396119,0.000004,0.231645
1.921053,0.932334,-1.795633,0.605772,0.000011,0.274177
2.057565,0.892848,-1.703562,0.822176,0.000023,0.321321
2.078947,0.885930,-1.690831,0.828161,0.000028,0.329967
2.087072,0.876970,-1.675763,0.931483,0.000031,0.333360
2.104790,0.877400,-1.674832,0.890339,0.000034,0.340977
2.111193,0.867556,-1.661270,0.943265,0.000045,0.343805
2.116016,0.864069,-1.646982,0.930406,0.000036,0.345963
2.124163,0.067829,-1.642994,1.016416,0.002443,0.349661
2.130903,-0.141496,-1.619167,1.047228,0.002310,0.352773
2.131799,-0.543085,-1.634983,0.883440,0.001476,0.353190
2.142763,0.241251,-1.625465,0.986206,0.002216,0.358364
2.151156,0.391429,-1.607817,1.101837,0.001827,0.362412
2.156961,0.325674,-1.615785,1.053040,0.002009,0.365256
2.160296,0.200278,-1.586669,1.203514,0.002105,0.366907
2.167136,-0.139301,-1.608677,1.035082,0.002238,0.370331
2.168114,0.846105,-1.613045,0.982791,0.000038,0.370825
2.180583,0.550919,-1.570218,1.208696,0.001204,0.377212
2.190172,0.799388,-1.578987,1.103449,0.000170,0.382240
2.192911,-0.003616,-1.551602,1.368846,0.002080,0.383694
2.195048,0.372263,-1.557529,1.235841,0.001686,0.384835
2.195162,-0.159130,-1.556739,1.126013,0.002049,0.384896
2.195615,0.557152,-1.562287,1.227636,0.001159,0.385138
2.200652,-0.290425,-1.555289,1.222740,0.001831,0.387848
2.206628,0.175116,-1.551164,1.141299,0.002016,0.391099
2.208040,-0.304068,-1.554963,1.181354,0.001831,0.391872
2.211888,0.006746,-1.555279,1.194527,0.002112,0.393991
2.215882,-0.368652,-1.542708,1.286971,0.001638,0.396205
2.218539,-0.365676,-1.548417,1.127899,0.001673,0.397687
2.222177,0.665817,-1.539904,1.193121,0.000671,0.399728
2.226679,0.491418,-1.511213,1.320834,0.001210,0.402271
2.229989,-0.157493,-1.514636,1.196530,0.001895,0.404153
