T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.00
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.06
1.29,1.00,0.02,0.09
1.45,0.99,0.04,0.16
1.49,0.99,0.04,0.16
1.59,0.98,0.07,0.24
1.60,0.98,0.07,0.23
1.61,0.98,0.07,0.19
1.64,0.98,0.08,0.22
1.67,0.97,0.09,0.31
1.71,0.97,0.10,0.30
1.73,0.97,0.11,0.32
1.75,0.97,0.12,0.42
1.76,0.96,0.12,0.37
1.78,0.96,0.12,0.44
1.82,0.95,0.15,0.41
1.85,0.95,0.16,0.46
1.87,0.95,0.17,0.52
1.88,0.94,0.18,0.54
1.92,0.94,0.19,0.54
1.92,0.93,0.20,0.54
1.97,0.93,0.23,0.70
1.99,0.92,0.24,0.61
2.01,0.90,0.27,0.64
2.02,0.91,0.26,0.76
2.03,0.90,0.27,0.73
2.03,0.91,0.27,0.71
2.04,0.90,0.28,0.66
2.04,0.90,0.28,0.77
2.05,0.90,0.29,0.86
2.05,0.89,0.30,0.81
2.06,0.89,0.30,0.94
2.08,0.89,0.31,0.79
2.08,0.88,0.32,0.82
2.09,0.87,0.33,1.06
2.10,0.87,0.34,0.84
2.10,0.87,0.34,1.11
2.12,0.86,0.36,1.14
2.13,0.85,0.37,0.92
2.14,0.84,0.37,1.18
2.14,0.86,0.37,0.95
2.15,0.84,0.39,1.29
2.15,0.83,0.40,1.05
2.17,0.75,0.45,2.43
2.17,0.83,0.40,1.15
2.18,0.82,0.42,1.03
2.20,0.82,0.43,1.18
2.21,0.78,0.46,1.47
2.21,0.80,0.45,1.31
2.22,0.76,0.48,1.69
2.22,0.75,0.49,1.59
2.22,0.76,0.49,1.47
2.23,0.76,0.49,1.25
2.24,0.75,0.50,1.38
2.24,0.68,0.54,1.69
2.26,0.69,0.56,1.70
2.27,0.70,0.55,1.68
2.29,0.06,0.63,1.77
2.30,-0.09,0.63,1.93
2.33,-0.19,0.66,2.09
2.33,0.41,0.67,1.49
2.33,-0.17,0.67,1.79
2.35,-0.07,0.72,1.59
2.36,0.30,0.73,1.67
2.36,-0.25,0.72,1.58
2.37,0.24,0.75,1.75
2.38,0.07,0.75,1.80
2.38,-0.06,0.77,1.47
2.39,0.34,0.77,1.48
2.43,-0.09,0.79,1.49
2.45,0.16,0.84,1.57
2.45,0.09,0.82,1.30
2.48,0.17,0.87,1.39
2.48,0.09,0.86,1.90
2.49,0.34,0.86,1.41
2.50,0.04,0.90,1.69
2.54,0.20,0.91,1.73
2.54,0.08,0.95,1.80
2.55,0.14,0.91,1.82
2.56,0.19,0.91,1.69
2.60,0.04,0.97,1.36
2.62,-0.00,0.99,1.33
2.66,0.04,0.99,1.50
2.67,0.08,1.01,0.96
2.68,0.05,1.01,1.15
2.71,-0.05,1.03,1.04
2.72,0.01,1.05,1.01
2.73,-0.02,1.04,1.19
2.78,-0.01,1.07,1.15
2.85,0.02,1.11,0.92
2.87,0.03,1.10,0.84
2.87,0.04,1.11,0.75
2.89,0.01,1.13,0.83
3.03,0.01,1.19,0.92
3.18,0.01,1.24,0.52
3.34,0.02,1.28,0.58
3.50,-0.00,1.33,0.38
