T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,-0.00,0.02
1.13,1.00,0.00,0.04
1.29,0.99,0.02,0.07
1.45,0.99,0.03,0.18
1.61,0.98,0.08,0.31
1.63,0.98,0.07,0.29
1.76,0.96,0.12,0.48
1.81,0.96,0.14,0.40
1.84,0.95,0.15,0.52
1.88,0.94,0.18,0.50
1.90,0.94,0.19,0.46
1.92,0.94,0.20,0.49
1.93,0.94,0.19,0.51
1.94,0.93,0.21,0.55
1.95,0.92,0.22,0.71
1.96,0.93,0.22,0.55
1.96,0.92,0.24,0.65
1.97,0.92,0.24,0.64
1.98,0.92,0.24,0.70
2.04,0.90,0.27,0.87
2.04,0.90,0.28,0.74
2.05,0.90,0.28,0.69
2.06,0.90,0.29,0.71
2.07,0.85,0.32,1.19
2.07,0.87,0.33,0.83
2.08,0.86,0.34,1.18
2.08,0.88,0.31,0.88
2.08,0.88,0.32,0.76
2.10,0.87,0.33,1.04
2.10,0.88,0.33,0.86
2.11,0.86,0.35,0.94
2.13,0.86,0.36,1.04
2.13,0.86,0.35,0.91
2.15,0.84,0.39,1.18
2.16,0.83,0.39,1.17
2.19,0.33,0.46,1.60
2.20,0.78,0.47,1.34
2.23,0.79,0.47,1.22
2.23,0.67,0.50,1.59
2.24,0.78,0.48,1.25
2.24,0.74,0.51,1.52
2.24,0.52,0.53,1.90
2.25,0.77,0.48,1.33
2.25,0.74,0.51,1.48
2.26,0.73,0.51,1.52
2.26,0.12,0.56,2.03
2.27,0.40,0.56,2.03
2.28,0.71,0.55,1.52
2.28,-0.27,0.55,1.41
2.28,0.71,0.56,1.53
2.29,-0.33,0.60,1.96
2.30,0.62,0.61,1.65
2.30,-0.22,0.61,1.61
2.31,-0.04,0.62,1.71
2.32,0.60,0.63,1.67
2.34,0.11,0.69,1.52
2.35,0.53,0.68,1.90
2.38,0.32,0.74,1.46
2.38,0.04,0.77,1.45
2.39,-0.14,0.77,1.43
2.40,-0.04,0.71,1.42
2.40,0.01,0.76,1.46
2.41,0.12,0.77,1.58
2.42,0.17,0.77,1.45
2.43,0.09,0.82,1.40
2.44,0.14,0.81,1.33
2.44,0.25,0.82,1.48
2.45,0.27,0.84,1.12
2.45,-0.04,0.85,0.96
2.47,-0.05,0.88,1.21
2.48,0.23,0.85,1.65
2.51,0.06,0.88,1.59
2.53,-0.05,0.90,0.87
2.54,0.11,0.89,1.48
2.54,-0.10,0.92,0.90
2.54,0.35,0.88,1.84
2.55,0.03,0.92,1.04
2.56,0.16,0.93,1.05
2.56,0.12,0.93,1.20
2.58,0.10,0.95,1.09
2.61,-0.02,0.97,0.78
2.62,0.12,0.97,1.00
2.66,0.04,1.00,0.85
2.66,0.02,0.98,1.07
2.68,0.16,0.98,0.93
2.69,0.05,1.01,0.91
2.71,0.03,1.05,0.79
2.79,-0.02,1.08,0.56
2.85,0.05,1.10,0.64
2.86,0.08,1.10,0.65
2.87,0.05,1.10,0.77
2.92,0.02,1.14,0.62
3.03,0.02,1.18,0.47
3.18,0.02,1.24,0.38
3.18,0.03,1.24,0.46
3.34,0.01,1.29,0.47
3.50,0.01,1.33,0.35
