T,M,E,C
0.50,1.00,-0.01,0.00
0.66,1.00,-0.01,0.00
0.82,1.00,-0.01,0.00
0.97,1.00,-0.01,0.01
1.13,1.00,-0.00,0.04
1.29,1.00,0.01,0.08
1.45,0.99,0.03,0.19
1.47,0.99,0.03,0.14
1.50,0.99,0.05,0.23
1.58,0.98,0.06,0.23
1.61,0.98,0.06,0.21
1.69,0.97,0.08,0.22
1.69,0.97,0.09,0.32
1.72,0.97,0.10,0.27
1.76,0.96,0.12,0.36
1.76,0.96,0.11,0.39
1.79,0.96,0.13,0.43
1.83,0.96,0.13,0.44
1.84,0.95,0.15,0.53
1.87,0.94,0.17,0.49
1.92,0.94,0.18,0.37
1.96,0.93,0.20,0.54
1.97,0.93,0.20,0.58
2.01,0.92,0.24,0.85
2.02,0.92,0.24,0.64
2.02,0.90,0.25,0.84
2.03,0.91,0.24,0.85
2.03,0.90,0.28,0.70
2.04,0.87,0.32,1.09
2.04,0.90,0.28,0.95
2.06,0.90,0.28,0.69
2.08,0.88,0.32,0.90
2.08,0.90,0.30,0.73
2.08,0.89,0.29,0.82
2.09,0.83,0.34,1.49
2.09,0.88,0.31,0.83
2.14,0.84,0.38,1.11
2.14,0.86,0.35,0.78
2.14,0.85,0.36,1.01
2.15,0.85,0.36,1.00
2.16,0.82,0.40,1.45
2.17,-0.33,0.40,1.30
2.18,0.82,0.41,1.20
2.19,0.83,0.40,0.95
2.19,0.81,0.42,1.26
2.20,0.80,0.43,1.24
2.21,0.77,0.49,1.29
2.21,0.81,0.43,1.03
2.22,0.75,0.47,1.29
2.24,-0.52,0.50,1.50
2.25,-0.60,0.51,1.30
2.27,0.53,0.50,1.33
2.28,0.72,0.54,1.43
2.28,-0.19,0.53,1.47
2.29,0.09,0.60,1.69
2.29,-0.01,0.55,1.39
2.31,0.40,0.59,1.30
2.31,0.09,0.58,1.44
2.32,-0.17,0.66,1.65
2.33,0.39,0.62,1.60
2.33,0.19,0.62,1.62
2.34,-0.18,0.64,1.43
2.36,0.03,0.70,1.49
2.39,0.46,0.74,1.39
2.39,0.12,0.71,1.41
2.39,-0.08,0.73,1.43
2.41,-0.05,0.74,1.45
2.42,-0.16,0.75,1.19
2.49,0.14,0.82,1.24
2.50,-0.01,0.85,1.13
2.51,0.05,0.90,0.90
2.52,0.50,0.80,1.23
2.54,0.22,0.95,1.08
2.55,-0.10,0.89,0.86
2.55,0.08,0.90,1.31
2.57,0.00,0.90,0.88
2.57,0.02,0.93,1.05
2.58,0.28,0.92,1.19
2.60,-0.03,0.95,0.91
2.63,-0.09,0.97,1.07
2.67,-0.21,0.98,0.99
2.70,0.14,1.00,0.96
2.71,0.21,0.99,0.79
2.72,0.06,1.04,0.62
2.72,0.03,1.05,0.72
2.73,-0.04,1.04,0.84
2.74,-0.06,1.05,0.58
2.75,0.08,1.05,0.59
2.75,0.04,1.02,0.83
2.82,0.08,1.09,0.56
2.85,0.00,1.10,0.59
2.87,0.09,1.11,0.53
2.88,-0.01,1.10,0.68
2.90,0.14,1.12,0.46
2.91,-0.04,1.15,0.51
3.03,0.00,1.19,0.40
3.09,0.04,1.22,0.47
3.18,0.05,1.25,0.39
3.34,-0.04,1.29,0.35
3.50,0.01,1.31,0.29
