T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.00
0.97,1.00,-0.00,0.02
1.13,1.00,0.01,0.05
1.25,1.00,0.01,0.09
1.29,1.00,0.02,0.10
1.45,0.99,0.03,0.14
1.61,0.98,0.07,0.31
1.76,0.96,0.12,0.40
1.78,0.96,0.14,0.49
1.81,0.95,0.15,0.34
1.84,0.95,0.15,0.41
1.89,0.94,0.18,0.56
1.90,0.94,0.19,0.38
1.92,0.94,0.19,0.46
1.93,0.93,0.20,0.57
1.94,0.93,0.20,0.50
1.94,0.94,0.20,0.76
1.97,0.92,0.22,0.56
1.97,0.92,0.23,0.70
1.98,0.92,0.23,0.64
1.98,0.93,0.22,0.60
2.00,0.92,0.24,0.56
2.02,0.91,0.26,0.64
2.02,0.91,0.26,0.79
2.03,0.90,0.27,0.75
2.05,0.90,0.29,0.78
2.08,0.86,0.33,1.18
2.08,0.88,0.31,0.91
2.11,0.88,0.34,0.90
2.11,0.87,0.33,1.16
2.11,0.85,0.36,1.00
2.13,0.86,0.36,1.06
2.13,0.86,0.36,0.95
2.13,0.85,0.37,0.99
2.13,0.83,0.37,1.06
2.14,0.84,0.38,1.10
2.15,0.84,0.39,1.07
2.15,0.84,0.38,1.11
2.16,0.86,0.37,0.91
2.16,0.83,0.40,1.07
2.17,0.83,0.41,1.34
2.19,0.80,0.44,1.27
2.20,0.81,0.43,1.16
2.21,0.81,0.44,1.29
2.22,0.80,0.46,1.27
2.22,0.79,0.47,1.41
2.24,0.73,0.51,1.49
2.24,0.74,0.50,1.47
2.25,0.28,0.58,1.82
2.26,0.70,0.54,1.39
2.26,-0.18,0.56,1.89
2.26,0.70,0.55,1.68
2.27,0.66,0.56,1.74
2.27,0.65,0.55,1.59
2.28,0.70,0.55,1.70
2.29,0.20,0.61,1.71
2.29,0.65,0.58,1.87
2.30,0.67,0.58,1.88
2.33,0.58,0.65,1.63
2.33,-0.16,0.70,1.68
2.36,0.21,0.72,1.50
2.36,0.29,0.72,1.62
2.38,0.01,0.75,1.40
2.39,0.18,0.74,1.64
2.39,0.39,0.74,1.65
2.40,-0.12,0.76,1.66
2.40,0.03,0.77,1.66
2.41,0.40,0.77,1.45
2.42,0.10,0.82,1.28
2.49,0.08,0.88,1.61
2.50,0.06,0.87,1.47
2.51,0.18,0.88,1.45
2.54,0.05,0.89,1.69
2.54,0.19,0.90,1.14
2.54,0.20,0.92,1.12
2.54,0.16,0.90,0.90
2.55,0.20,0.93,0.91
2.55,0.10,0.90,0.87
2.59,0.10,0.95,0.98
2.61,0.15,0.97,1.09
2.62,0.09,0.96,1.60
2.66,0.10,1.00,1.21
2.67,0.00,1.01,0.97
2.69,0.09,1.01,0.92
2.71,0.04,1.02,0.99
2.73,0.08,1.05,0.92
2.75,-0.00,1.06,0.59
2.82,0.07,1.09,0.78
2.83,0.05,1.10,0.74
2.84,0.05,1.10,0.74
2.87,0.02,1.11,0.90
2.88,0.10,1.12,1.04
2.96,0.02,1.15,0.74
3.01,0.03,1.17,0.53
3.03,0.02,1.18,0.64
3.18,0.02,1.24,0.58
3.34,0.01,1.30,0.40
3.50,0.00,1.33,0.30
