T,M,E,C
0.50,1.00,-0.08,0.00
0.66,1.00,-0.08,0.00
0.82,1.00,-0.08,0.03
0.97,1.00,-0.08,0.02
1.13,1.00,-0.07,0.05
1.29,1.00,-0.07,0.06
1.45,0.99,-0.04,0.16
1.51,0.99,-0.05,0.10
1.61,0.98,-0.02,0.21
1.66,0.96,0.03,0.45
1.72,-0.46,0.10,0.66
1.76,-0.63,0.04,0.48
1.76,0.96,0.06,0.46
1.77,0.96,0.05,0.34
1.80,0.95,0.09,0.56
1.82,0.41,0.07,0.56
1.84,0.96,0.05,0.31
1.84,0.96,0.05,0.34
1.86,0.95,0.08,0.42
1.88,0.95,0.08,0.47
1.91,0.14,0.13,0.65
1.92,-0.21,0.14,0.61
1.92,0.95,0.09,0.42
1.94,-0.80,0.21,0.92
1.95,0.91,0.16,0.78
1.97,0.94,0.13,0.46
1.97,0.93,0.15,0.49
1.98,0.77,0.21,0.86
2.00,0.93,0.14,0.58
2.00,0.91,0.17,0.72
2.00,0.92,0.16,0.67
2.01,0.93,0.14,0.46
2.02,0.92,0.17,0.51
2.02,0.91,0.19,0.67
2.03,0.89,0.22,0.77
2.08,0.89,0.17,0.69
2.08,-0.27,0.17,0.61
2.09,0.06,0.25,0.85
2.10,-0.20,0.24,0.88
2.10,-0.75,0.22,0.80
2.11,-0.18,0.21,0.63
2.12,0.56,0.30,0.88
2.12,0.88,0.25,0.79
2.12,-0.74,0.22,0.61
2.13,0.04,0.28,0.86
2.16,0.42,0.29,0.92
2.16,-0.04,0.25,0.73
2.17,-0.15,0.29,0.78
2.17,-0.19,0.28,0.74
2.18,-0.18,0.29,0.79
2.22,0.06,0.34,0.89
2.22,0.11,0.34,0.89
2.24,0.34,0.32,0.74
2.24,0.38,0.32,0.77
2.27,0.11,0.39,0.93
2.28,0.01,0.42,0.90
2.28,0.28,0.38,0.85
2.29,-0.42,0.39,0.92
2.30,0.14,0.39,0.87
2.30,0.13,0.44,0.90
2.34,0.18,0.44,0.93
2.34,0.26,0.47,0.93
2.34,0.27,0.46,1.00
2.35,-0.26,0.48,0.96
2.35,-0.22,0.45,0.91
2.35,-0.07,0.49,0.93
2.39,0.34,0.50,0.90
2.39,0.21,0.48,0.84
2.41,-0.22,0.45,0.87
2.43,0.27,0.57,1.06
2.43,0.70,0.41,0.68
2.45,0.04,0.48,0.84
2.45,0.42,0.51,1.02
2.49,-0.05,0.59,0.89
2.49,0.08,0.52,0.85
2.50,0.10,0.60,0.72
2.51,-0.19,0.59,0.96
2.52,0.02,0.70,0.80
2.53,0.60,0.66,0.98
2.54,0.11,0.66,0.95
2.55,0.02,0.68,0.85
2.55,0.15,0.68,0.91
2.56,0.21,0.65,1.00
2.60,-0.18,0.66,0.90
2.64,0.34,0.74,0.93
2.67,-0.04,0.70,0.78
2.69,0.35,0.79,0.80
2.71,0.34,0.86,0.74
2.73,0.18,0.73,0.75
2.76,-0.11,0.81,0.84
2.76,-0.24,0.79,0.91
2.82,-0.19,0.75,0.62
2.83,0.03,0.79,0.68
2.83,0.07,0.89,0.73
2.87,0.15,0.90,0.69
2.94,0.02,0.98,0.56
3.03,-0.15,1.04,0.57
3.18,0.02,1.11,0.56
3.34,0.05,1.09,0.47
3.50,-0.00,1.20,0.30
