T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.00
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.05
1.29,1.00,0.02,0.09
1.45,0.99,0.04,0.17
1.51,0.99,0.05,0.20
1.55,0.98,0.06,0.20
1.61,0.98,0.08,0.27
1.70,0.97,0.10,0.40
1.76,0.96,0.12,0.37
1.80,0.96,0.13,0.47
1.82,0.95,0.16,0.52
1.85,0.95,0.16,0.51
1.86,0.95,0.16,0.43
1.88,0.94,0.18,0.51
1.90,0.94,0.18,0.50
1.92,0.93,0.21,0.62
1.95,0.93,0.23,0.67
1.95,0.93,0.21,0.50
1.96,0.93,0.22,0.57
1.98,0.92,0.24,0.55
1.98,0.91,0.24,0.88
2.01,0.91,0.26,0.81
2.01,0.91,0.26,0.67
2.04,0.90,0.27,0.64
2.04,0.90,0.28,0.79
2.05,0.90,0.28,0.79
2.07,0.89,0.30,0.58
2.07,0.87,0.32,0.86
2.08,0.88,0.32,0.80
2.08,0.88,0.31,0.87
2.09,0.88,0.33,0.80
2.10,0.87,0.33,0.97
2.11,0.87,0.33,0.93
2.12,0.86,0.35,1.03
2.12,0.86,0.35,0.83
2.13,0.85,0.38,0.93
2.14,0.85,0.38,1.01
2.14,0.84,0.38,1.02
2.14,0.84,0.38,1.16
2.16,0.83,0.39,1.08
2.17,0.83,0.40,1.15
2.18,0.82,0.42,1.07
2.18,0.81,0.42,1.20
2.18,0.81,0.42,1.32
2.20,0.78,0.45,1.57
2.21,0.77,0.46,1.49
2.21,0.79,0.45,1.27
2.23,0.77,0.49,1.37
2.24,0.73,0.51,1.71
2.24,0.77,0.49,1.38
2.24,0.73,0.51,1.60
2.26,0.73,0.53,1.59
2.27,0.63,0.57,2.04
2.28,-0.33,0.60,2.05
2.29,0.62,0.59,2.00
2.29,0.61,0.60,1.43
2.29,0.63,0.60,2.12
2.29,0.51,0.63,2.00
2.31,0.47,0.66,1.55
2.32,0.55,0.65,2.07
2.34,-0.18,0.72,1.65
2.35,0.32,0.73,1.61
2.35,0.26,0.74,1.42
2.36,0.09,0.73,1.37
2.38,0.28,0.76,1.54
2.39,0.34,0.76,1.68
2.39,0.04,0.79,1.45
2.42,0.10,0.80,1.55
2.45,-0.14,0.80,1.92
2.45,0.24,0.83,1.48
2.46,-0.01,0.85,1.26
2.46,0.01,0.83,1.71
2.51,-0.13,0.90,1.67
2.52,-0.02,0.89,1.85
2.52,0.12,0.90,1.86
2.55,0.08,0.93,1.75
2.58,0.09,0.94,1.50
2.60,0.25,0.95,1.46
2.60,0.04,0.96,1.29
2.65,0.10,1.00,1.26
2.66,0.01,1.00,2.04
2.69,0.06,1.00,1.20
2.69,0.09,1.01,1.17
2.71,0.01,1.02,1.69
2.71,0.02,1.03,1.23
2.72,0.08,1.03,1.24
2.75,-0.04,1.06,1.14
2.78,0.04,1.07,1.13
2.81,-0.01,1.08,0.92
2.83,0.03,1.09,1.02
2.85,-0.01,1.12,1.09
2.87,0.02,1.10,0.88
2.89,0.03,1.12,1.17
3.03,0.01,1.19,0.89
3.18,-0.01,1.23,0.55
3.34,-0.01,1.28,0.41
3.50,-0.01,1.33,0.47
