T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.00
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.05
1.29,1.00,0.02,0.09
1.45,0.99,0.04,0.15
1.61,0.98,0.07,0.26
1.76,0.96,0.12,0.48
1.80,0.96,0.14,0.45
1.84,0.95,0.15,0.40
1.86,0.95,0.16,0.41
1.87,0.94,0.18,0.48
1.88,0.94,0.17,0.41
1.90,0.94,0.18,0.48
1.91,0.94,0.19,0.54
1.91,0.94,0.19,0.41
1.92,0.93,0.21,0.51
1.92,0.94,0.19,0.59
1.92,0.93,0.20,0.71
1.92,0.93,0.21,0.58
1.93,0.93,0.20,0.53
1.94,0.93,0.21,0.60
1.95,0.93,0.22,0.53
2.05,0.89,0.30,1.08
2.05,0.89,0.29,0.76
2.05,0.88,0.31,1.11
2.08,0.89,0.29,0.83
2.08,0.88,0.31,0.70
2.10,0.87,0.34,1.08
2.12,0.85,0.36,0.87
2.12,0.85,0.37,1.24
2.12,0.85,0.36,0.91
2.15,0.84,0.38,1.01
2.15,0.84,0.38,1.12
2.15,0.85,0.38,0.94
2.15,0.85,0.38,1.21
2.17,0.81,0.42,1.50
2.17,0.83,0.40,1.23
2.17,0.82,0.41,1.26
2.19,0.82,0.43,1.17
2.21,0.76,0.47,1.28
2.21,0.76,0.48,1.59
2.22,0.77,0.47,1.42
2.22,0.76,0.48,1.48
2.23,0.42,0.50,1.58
2.24,-0.36,0.51,1.72
2.24,0.72,0.51,1.76
2.24,0.74,0.50,1.46
2.25,0.73,0.52,1.54
2.26,0.71,0.53,1.55
2.27,0.26,0.58,1.84
2.29,0.07,0.59,2.02
2.30,0.61,0.62,1.90
2.31,0.57,0.63,1.85
2.31,0.44,0.63,1.85
2.32,0.52,0.65,1.89
2.33,-0.28,0.66,1.79
2.33,0.23,0.71,1.84
2.33,0.54,0.66,1.84
2.34,0.22,0.68,1.74
2.34,-0.05,0.70,2.04
2.35,-0.16,0.70,1.62
2.35,0.36,0.71,1.67
2.36,-0.27,0.73,1.80
2.36,0.04,0.74,1.83
2.39,0.35,0.74,1.91
2.39,0.30,0.76,1.93
2.39,0.15,0.78,1.38
2.40,0.22,0.76,1.66
2.41,0.36,0.77,1.57
2.41,0.33,0.78,1.28
2.41,-0.04,0.80,1.40
2.42,0.04,0.80,1.64
2.42,0.32,0.79,1.75
2.43,0.25,0.82,1.59
2.43,0.19,0.82,1.38
2.45,0.05,0.83,1.45
2.47,-0.02,0.87,1.49
2.49,0.01,0.87,1.37
2.52,0.13,0.91,1.45
2.52,0.13,0.88,1.28
2.54,0.20,0.91,1.67
2.55,-0.03,0.92,1.66
2.56,0.06,0.93,1.43
2.61,0.05,0.97,1.29
2.63,0.13,0.97,1.27
2.69,0.11,1.02,1.40
2.71,0.04,1.02,1.28
2.71,0.06,1.02,1.18
2.75,0.02,1.05,1.16
2.87,0.01,1.11,0.92
2.88,0.04,1.12,0.94
2.93,0.02,1.15,0.77
2.93,0.03,1.13,0.96
3.03,0.04,1.19,0.71
3.05,0.06,1.20,0.66
3.18,-0.00,1.24,0.50
3.34,0.00,1.29,0.53
3.50,0.02,1.33,0.36
