T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.00
0.97,1.00,-0.00,0.02
1.13,1.00,0.00,0.05
1.29,1.00,0.02,0.08
1.40,0.99,0.03,0.17
1.45,0.99,0.04,0.18
1.53,0.98,0.05,0.25
1.61,0.98,0.07,0.26
1.66,0.98,0.08,0.36
1.67,0.97,0.09,0.29
1.73,0.97,0.11,0.30
1.76,0.96,0.12,0.33
1.79,0.96,0.13,0.37
1.80,0.95,0.14,0.50
1.82,0.95,0.15,0.53
1.87,0.95,0.16,0.50
1.89,0.94,0.19,0.67
1.92,0.94,0.19,0.52
1.92,0.93,0.20,0.63
1.97,0.92,0.23,0.68
1.97,0.92,0.22,0.72
2.03,0.91,0.26,0.79
2.04,0.89,0.29,0.64
2.05,0.91,0.26,0.67
2.07,0.89,0.30,1.00
2.08,0.89,0.31,0.82
2.08,0.89,0.31,0.79
2.13,0.85,0.37,1.06
2.15,0.83,0.39,1.08
2.16,0.84,0.39,0.96
2.16,0.83,0.40,1.34
2.17,0.83,0.40,1.14
2.17,0.80,0.42,1.43
2.18,0.84,0.40,1.16
2.20,0.81,0.43,1.19
2.21,0.76,0.48,1.48
2.21,0.79,0.46,1.23
2.22,0.73,0.50,1.33
2.23,0.78,0.47,1.37
2.23,0.75,0.50,1.61
2.24,0.77,0.49,1.37
2.26,-0.52,0.54,1.88
2.27,-0.08,0.59,2.46
2.27,0.60,0.59,1.98
2.27,0.58,0.55,1.70
2.29,0.47,0.59,1.90
2.33,-0.45,0.66,1.89
2.34,0.29,0.66,1.60
2.34,-0.08,0.69,1.90
2.35,0.47,0.69,1.43
2.35,0.54,0.68,1.47
2.36,0.36,0.71,1.89
2.36,0.23,0.76,1.35
2.36,0.08,0.70,1.56
2.36,-0.36,0.69,1.83
2.38,0.29,0.77,1.16
2.38,-0.15,0.75,1.53
2.38,-0.39,0.73,1.56
2.38,-0.02,0.72,1.91
2.39,-0.20,0.73,1.56
2.39,0.10,0.77,1.50
2.39,0.43,0.72,1.76
2.41,0.30,0.77,1.67
2.43,0.09,0.80,1.55
2.44,0.30,0.80,1.33
2.46,0.17,0.81,1.29
2.49,0.22,0.88,1.76
2.49,-0.04,0.87,1.14
2.50,-0.10,0.84,1.13
2.50,0.16,0.87,1.60
2.53,0.17,0.88,1.62
2.55,0.15,0.88,1.26
2.55,0.10,0.94,1.14
2.55,-0.10,0.88,1.00
2.55,0.07,0.93,1.22
2.56,0.22,0.91,1.44
2.56,0.05,0.94,1.23
2.56,0.16,0.92,1.38
2.59,-0.02,0.94,1.27
2.60,-0.00,0.97,0.96
2.60,0.09,0.97,0.87
2.62,0.21,0.94,1.11
2.63,-0.05,1.00,1.03
2.65,0.16,1.00,1.06
2.71,0.06,1.02,0.84
2.73,-0.07,1.06,0.75
2.74,0.15,1.05,0.87
2.76,-0.01,1.06,0.89
2.80,-0.00,1.07,0.96
2.80,-0.05,1.09,0.64
2.87,0.00,1.11,0.68
2.89,0.07,1.14,0.69
3.03,-0.02,1.18,0.80
3.06,-0.03,1.19,0.48
3.18,0.00,1.26,0.54
3.19,-0.01,1.24,0.51
3.34,0.03,1.29,0.45
3.50,-0.01,1.33,0.36
