T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.06
1.29,0.99,0.02,0.09
1.45,0.99,0.04,0.15
1.48,0.99,0.04,0.18
1.61,0.98,0.07,0.27
1.75,0.96,0.12,0.34
1.76,0.96,0.12,0.39
1.76,0.96,0.12,0.49
1.84,0.95,0.15,0.50
1.84,0.95,0.15,0.47
1.85,0.94,0.17,0.49
1.87,0.95,0.17,0.53
1.92,0.94,0.20,0.52
1.94,0.93,0.21,0.49
1.95,0.92,0.22,0.69
1.95,0.93,0.21,0.57
1.98,0.92,0.23,0.55
1.99,0.92,0.24,1.00
2.03,0.90,0.27,0.85
2.04,0.89,0.28,0.95
2.04,0.89,0.28,0.93
2.04,0.90,0.28,0.67
2.08,0.88,0.32,0.91
2.09,0.88,0.32,0.95
2.09,0.88,0.33,0.87
2.10,0.86,0.35,1.11
2.11,0.87,0.34,0.82
2.14,0.84,0.38,1.07
2.14,0.85,0.37,1.09
2.14,0.85,0.38,1.19
2.14,0.84,0.38,1.04
2.15,0.84,0.38,1.08
2.16,0.85,0.38,0.99
2.18,0.82,0.42,1.11
2.18,0.82,0.42,1.01
2.19,0.82,0.42,1.16
2.20,0.79,0.45,1.38
2.20,0.78,0.45,1.69
2.23,0.76,0.50,1.30
2.24,0.72,0.51,1.62
2.24,0.72,0.51,1.46
2.24,0.74,0.50,1.56
2.24,0.69,0.52,1.97
2.25,0.72,0.53,1.83
2.26,0.69,0.54,1.57
2.26,0.64,0.56,2.13
2.26,0.65,0.56,1.92
2.26,0.67,0.55,1.70
2.27,0.60,0.56,1.98
2.28,0.60,0.59,2.18
2.28,0.65,0.58,1.81
2.29,0.63,0.59,1.82
2.30,0.59,0.61,2.10
2.30,0.11,0.64,2.33
2.30,0.61,0.61,1.72
2.31,0.54,0.64,2.10
2.33,0.38,0.68,1.76
2.33,0.49,0.66,1.97
2.33,0.38,0.69,2.01
2.34,0.46,0.69,1.93
2.35,0.38,0.71,1.79
2.35,0.45,0.70,1.84
2.35,-0.22,0.67,2.04
2.37,0.45,0.72,1.63
2.37,-0.11,0.73,1.89
2.37,-0.16,0.73,1.44
2.38,0.31,0.77,1.69
2.39,-0.05,0.77,1.67
2.40,0.03,0.80,1.84
2.41,0.24,0.79,1.68
2.42,-0.01,0.81,1.86
2.45,0.16,0.83,1.71
2.47,0.10,0.81,1.79
2.48,0.15,0.86,1.18
2.49,0.11,0.87,1.80
2.50,0.04,0.88,1.67
2.50,0.05,0.90,1.82
2.51,-0.01,0.90,1.76
2.52,0.16,0.89,1.59
2.53,-0.11,0.91,1.73
2.55,0.04,0.92,1.68
2.55,-0.05,0.91,1.44
2.57,-0.04,0.93,1.84
2.57,0.17,0.92,1.49
2.61,0.02,0.98,1.32
2.63,-0.05,0.98,1.70
2.71,0.02,1.03,1.33
2.71,0.07,1.03,1.25
2.74,0.09,1.04,1.53
2.83,0.06,1.11,1.26
2.83,0.02,1.10,1.15
2.87,0.05,1.11,0.98
3.03,0.01,1.18,0.73
3.18,0.01,1.25,0.82
3.34,0.01,1.29,0.58
3.50,-0.01,1.33,0.47
