T,M,E,C
0.50,1.00,-0.01,0.00
0.66,1.00,-0.01,0.00
0.82,1.00,-0.01,0.00
0.97,1.00,-0.00,0.02
1.13,1.00,0.00,0.05
1.29,1.00,0.01,0.08
1.42,0.99,0.03,0.15
1.45,0.99,0.03,0.16
1.61,0.98,0.07,0.30
1.67,0.97,0.09,0.36
1.74,0.97,0.11,0.42
1.75,0.96,0.13,0.56
1.76,0.96,0.13,0.43
1.81,0.96,0.14,0.45
1.86,0.95,0.16,0.62
1.86,0.95,0.16,0.56
1.88,0.95,0.17,0.50
1.92,0.94,0.19,0.53
1.92,0.93,0.20,0.65
1.95,0.93,0.20,0.58
1.96,0.91,0.23,0.73
1.97,0.93,0.22,0.57
1.98,0.92,0.23,0.67
1.99,0.91,0.26,0.56
2.01,0.90,0.26,0.64
2.01,0.91,0.25,0.77
2.03,0.90,0.26,0.92
2.03,0.90,0.28,0.77
2.04,0.90,0.28,0.89
2.06,0.90,0.29,0.77
2.07,0.90,0.28,0.67
2.07,0.89,0.30,0.84
2.08,0.89,0.30,0.73
2.08,0.87,0.31,0.96
2.09,0.88,0.32,0.78
2.09,0.88,0.32,0.78
2.11,0.87,0.34,0.97
2.11,0.86,0.35,0.90
2.11,0.83,0.38,1.28
2.13,0.86,0.35,1.04
2.14,0.84,0.38,1.15
2.15,0.84,0.39,1.05
2.16,0.85,0.37,0.91
2.17,0.84,0.40,1.09
2.19,0.67,0.48,1.83
2.20,0.68,0.44,1.42
2.21,0.79,0.45,1.27
2.21,0.80,0.45,1.27
2.21,-0.31,0.50,1.67
2.22,0.77,0.49,1.33
2.23,0.76,0.48,1.21
2.24,0.67,0.48,1.40
2.24,0.78,0.48,1.17
2.25,0.25,0.55,1.67
2.25,-0.02,0.51,1.55
2.27,0.39,0.56,1.56
2.29,0.51,0.58,1.61
2.29,-0.39,0.57,1.51
2.30,-0.12,0.61,1.74
2.30,-0.00,0.59,1.64
2.31,0.13,0.63,1.62
2.33,0.33,0.61,1.50
2.33,-0.04,0.64,1.53
2.33,0.24,0.62,1.51
2.34,0.05,0.64,1.76
2.34,0.33,0.66,1.53
2.35,0.33,0.69,1.51
2.36,0.22,0.69,1.58
2.37,-0.04,0.70,1.43
2.39,0.51,0.69,1.45
2.40,0.12,0.76,1.37
2.40,-0.26,0.71,1.57
2.42,0.24,0.80,1.10
2.42,0.06,0.72,1.17
2.45,0.05,0.85,0.94
2.46,0.20,0.81,1.42
2.48,0.27,0.84,0.95
2.50,0.12,0.87,1.11
2.52,0.33,0.89,1.35
2.55,-0.16,0.92,0.92
2.56,0.41,0.86,0.99
2.57,0.08,0.97,0.70
2.58,0.24,0.95,0.97
2.59,-0.12,0.97,0.97
2.59,-0.22,0.91,1.18
2.60,0.01,0.90,1.19
2.61,0.16,1.00,0.69
2.64,-0.03,0.97,0.93
2.66,0.06,0.98,0.74
2.67,0.09,1.02,0.73
2.69,0.03,1.03,0.93
2.71,0.00,1.05,0.71
2.81,0.03,1.07,0.82
2.81,0.01,1.08,0.60
2.81,0.05,1.08,0.85
2.87,-0.01,1.09,0.57
3.03,0.05,1.18,0.56
3.18,0.02,1.24,0.34
3.34,0.04,1.27,0.33
3.50,0.03,1.32,0.26
