T,M,E,C
0.50,1.00,-0.01,0.00
0.66,1.00,-0.01,0.00
0.82,1.00,-0.01,0.01
0.97,1.00,-0.01,0.03
1.13,1.00,-0.00,0.05
1.29,1.00,0.01,0.09
1.45,0.99,0.03,0.16
1.61,0.98,0.07,0.29
1.66,0.97,0.08,0.36
1.69,0.97,0.08,0.32
1.74,0.97,0.11,0.41
1.75,0.97,0.11,0.33
1.76,0.96,0.12,0.33
1.82,0.95,0.15,0.56
1.82,0.95,0.14,0.43
1.83,0.95,0.15,0.44
1.83,0.96,0.14,0.37
1.83,0.95,0.16,0.45
1.84,0.95,0.16,0.50
1.84,0.94,0.17,0.50
1.85,0.95,0.15,0.34
1.85,0.95,0.14,0.48
1.92,0.94,0.17,0.35
1.95,0.93,0.20,0.55
1.99,0.92,0.24,0.72
2.03,0.91,0.25,0.88
2.03,0.91,0.26,0.65
2.04,0.90,0.28,0.74
2.05,0.90,0.28,0.78
2.06,0.88,0.32,1.13
2.08,0.87,0.33,0.89
2.08,0.88,0.32,0.75
2.09,0.88,0.31,0.85
2.11,0.87,0.33,0.79
2.11,0.86,0.33,0.92
2.12,0.87,0.33,0.85
2.12,0.16,0.37,0.93
2.16,0.84,0.38,1.28
2.17,-0.21,0.40,1.19
2.18,0.77,0.46,1.56
2.18,0.84,0.38,0.97
2.18,0.83,0.40,0.96
2.19,0.83,0.41,1.10
2.19,-0.62,0.42,1.13
2.21,0.50,0.46,1.29
2.22,0.26,0.45,1.06
2.23,0.63,0.47,1.27
2.23,0.75,0.49,1.37
2.23,0.78,0.47,1.36
2.24,0.10,0.50,1.33
2.25,0.39,0.50,1.43
2.25,-0.10,0.54,1.50
2.29,0.51,0.55,1.50
2.29,0.46,0.57,1.53
2.30,-0.45,0.59,1.44
2.33,-0.05,0.62,1.62
2.33,-0.20,0.62,1.37
2.35,0.11,0.65,1.26
2.35,-0.34,0.66,1.53
2.37,0.59,0.63,1.37
2.38,0.34,0.70,1.45
2.39,0.22,0.72,1.29
2.39,0.25,0.65,1.43
2.39,0.34,0.72,1.53
2.40,0.18,0.69,1.29
2.40,-0.11,0.71,1.26
2.41,-0.04,0.72,1.47
2.44,-0.03,0.80,1.27
2.44,0.21,0.72,1.32
2.44,0.12,0.82,1.20
2.45,-0.08,0.79,0.99
2.45,0.43,0.76,1.18
2.45,0.41,0.77,1.44
2.45,0.08,0.75,1.14
2.47,-0.11,0.81,1.27
2.48,-0.06,0.81,1.22
2.49,0.18,0.80,1.07
2.49,0.29,0.79,1.17
2.51,-0.04,0.92,1.00
2.51,0.23,0.92,1.33
2.52,0.16,0.89,0.77
2.55,0.35,0.85,1.40
2.55,0.25,0.92,0.96
2.58,0.12,0.93,0.68
2.59,0.13,0.94,0.99
2.63,-0.16,0.89,1.25
2.63,0.02,1.00,0.69
2.64,0.11,0.94,0.85
2.65,-0.08,1.02,1.08
2.65,0.14,0.98,0.72
2.68,-0.01,1.01,0.68
2.71,-0.05,1.03,0.73
2.72,0.08,1.00,0.63
2.74,0.01,1.07,0.51
2.87,0.15,1.13,0.53
2.91,0.11,1.13,0.76
3.03,0.03,1.17,0.53
3.18,0.00,1.22,0.35
3.34,0.02,1.27,0.28
3.50,-0.04,1.31,0.27
