T,M,E,C
0.50,1.00,-0.06,0.00
0.66,1.00,-0.06,0.00
0.82,1.00,-0.06,0.00
0.97,1.00,-0.05,0.05
1.13,1.00,-0.05,0.03
1.29,1.00,-0.04,0.07
1.45,0.99,-0.01,0.16
1.61,0.98,0.01,0.25
1.63,0.98,0.02,0.28
1.76,0.97,0.06,0.38
1.87,0.95,0.11,0.45
1.92,0.92,0.19,0.56
1.96,0.94,0.14,0.48
1.98,0.29,0.18,0.64
1.99,0.59,0.20,0.66
1.99,0.88,0.22,0.92
2.01,0.91,0.22,0.67
2.03,0.39,0.22,0.71
2.03,0.90,0.23,0.81
2.03,0.88,0.26,0.91
2.05,0.53,0.27,0.90
2.07,-0.81,0.28,0.68
2.07,0.91,0.22,0.62
2.08,-0.06,0.30,1.26
2.08,-0.23,0.31,0.93
2.08,0.21,0.28,0.86
2.09,-0.40,0.28,0.86
2.11,0.65,0.31,0.89
2.12,-0.12,0.28,0.91
2.12,0.32,0.29,0.93
2.12,0.88,0.28,0.75
2.14,0.20,0.31,0.80
2.15,-0.07,0.35,0.94
2.16,0.49,0.30,0.80
2.17,-0.53,0.29,0.77
2.21,0.03,0.40,0.98
2.22,-0.08,0.35,0.92
2.22,0.08,0.37,0.91
2.23,-0.00,0.39,0.95
2.23,-0.36,0.41,1.02
2.24,0.09,0.38,0.95
2.24,0.18,0.38,0.90
2.24,0.02,0.37,0.87
2.24,-0.05,0.41,0.96
2.25,-0.31,0.43,1.07
2.25,0.11,0.45,1.11
2.26,0.25,0.42,0.98
2.26,-0.14,0.40,1.06
2.27,-0.10,0.43,0.93
2.27,-0.17,0.44,0.96
2.28,0.26,0.43,1.01
2.28,0.21,0.45,1.03
2.29,-0.31,0.44,0.98
2.29,0.10,0.45,0.97
2.32,0.46,0.50,1.09
2.34,0.12,0.49,1.00
2.35,0.05,0.51,1.03
2.35,0.17,0.52,1.10
2.37,-0.06,0.53,0.95
2.37,-0.17,0.54,1.02
2.38,0.04,0.46,1.02
2.38,0.25,0.57,1.15
2.38,-0.27,0.50,0.90
2.39,0.65,0.49,0.94
2.39,-0.16,0.54,0.98
2.39,-0.17,0.55,1.07
2.41,0.13,0.55,1.14
2.41,-0.10,0.64,1.08
2.42,0.38,0.62,0.98
2.42,0.43,0.67,1.11
2.43,0.14,0.55,1.04
2.44,0.05,0.73,1.07
2.45,0.03,0.66,1.14
2.46,0.03,0.75,1.01
2.50,0.19,0.58,0.92
2.50,0.33,0.74,0.95
2.51,0.40,0.67,1.21
2.51,0.44,0.65,1.01
2.53,0.25,0.60,0.81
2.53,-0.11,0.84,0.94
2.55,0.04,0.78,1.16
2.57,-0.07,0.71,0.97
2.58,-0.07,0.83,1.18
2.68,0.20,0.87,0.87
2.69,0.06,0.95,0.50
2.70,0.02,0.76,0.87
2.70,-0.10,0.84,0.67
2.71,0.18,0.88,0.81
2.73,0.01,0.84,0.96
2.73,0.23,0.90,0.70
2.78,0.18,0.81,0.76
2.82,0.06,1.01,0.62
2.87,-0.02,0.98,0.59
2.87,-0.00,1.01,0.70
2.92,0.06,0.96,0.57
2.93,-0.08,1.06,0.64
3.03,-0.05,1.13,0.46
3.18,0.02,1.13,0.46
3.34,0.04,1.25,0.30
3.50,0.02,1.25,0.28
