T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.07
1.29,1.00,0.02,0.09
1.45,0.99,0.04,0.18
1.57,0.98,0.06,0.17
1.61,0.98,0.06,0.32
1.61,0.98,0.07,0.25
1.63,0.98,0.08,0.33
1.68,0.97,0.09,0.34
1.76,0.97,0.11,0.38
1.81,0.96,0.14,0.53
1.85,0.95,0.16,0.55
1.87,0.95,0.16,0.55
1.87,0.95,0.16,0.44
1.90,0.94,0.19,0.75
1.91,0.94,0.19,0.47
1.92,0.94,0.19,0.49
1.92,0.93,0.20,0.50
1.92,0.93,0.20,0.58
1.92,0.94,0.20,0.76
1.92,0.94,0.19,0.45
1.93,0.94,0.20,0.43
1.95,0.93,0.22,0.73
1.95,0.92,0.23,0.67
1.95,0.92,0.22,0.64
1.98,0.93,0.22,0.69
1.99,0.91,0.25,0.61
2.00,0.89,0.28,1.06
2.00,0.91,0.26,0.75
2.00,0.91,0.25,0.75
2.01,0.90,0.27,0.80
2.04,0.90,0.27,0.85
2.04,0.90,0.28,0.83
2.05,0.88,0.30,0.82
2.08,0.88,0.31,0.82
2.08,0.88,0.31,0.82
2.11,0.86,0.35,1.00
2.12,0.87,0.34,0.97
2.13,0.85,0.37,1.53
2.13,0.81,0.39,1.21
2.13,0.85,0.37,1.30
2.13,0.85,0.36,1.10
2.15,0.84,0.38,1.23
2.15,0.84,0.39,1.11
2.15,0.83,0.40,1.12
2.16,0.84,0.39,1.26
2.17,0.83,0.41,1.11
2.19,0.81,0.43,1.37
2.19,0.80,0.44,1.22
2.19,0.76,0.45,1.58
2.21,0.65,0.47,1.93
2.22,0.76,0.48,1.60
2.23,-0.49,0.50,1.90
2.23,0.75,0.50,1.16
2.24,-0.58,0.50,1.62
2.24,0.36,0.53,1.80
2.25,0.68,0.53,1.95
2.27,0.70,0.54,1.60
2.28,0.69,0.56,1.34
2.30,0.56,0.64,1.70
2.31,0.58,0.61,1.67
2.31,0.66,0.60,1.48
2.31,-0.26,0.66,1.99
2.32,0.23,0.66,2.02
2.34,0.34,0.71,1.71
2.35,-0.12,0.70,1.61
2.35,0.19,0.68,2.07
2.35,0.28,0.72,1.63
2.35,-0.10,0.72,1.69
2.37,0.40,0.72,1.41
2.38,0.03,0.76,1.41
2.39,0.39,0.77,1.25
2.39,-0.13,0.77,1.75
2.41,0.26,0.81,1.67
2.45,0.07,0.84,1.41
2.45,0.15,0.83,1.27
2.46,0.07,0.86,1.35
2.46,-0.09,0.85,1.04
2.47,0.15,0.86,1.63
2.50,0.34,0.86,1.04
2.52,0.16,0.89,1.18
2.53,0.15,0.88,1.85
2.54,0.11,0.92,1.04
2.55,0.13,0.94,1.21
2.56,0.12,0.93,1.82
2.58,0.12,0.93,1.21
2.62,0.08,0.96,1.31
2.71,-0.00,1.05,0.89
2.71,0.00,1.04,1.10
2.86,0.05,1.11,0.94
2.87,0.02,1.11,0.73
2.99,-0.01,1.17,0.72
3.03,0.01,1.17,0.72
3.14,-0.00,1.22,0.51
3.18,0.01,1.24,0.54
3.34,0.03,1.29,0.44
3.50,0.01,1.33,0.36
