T,M,E,C
0.50,1.00,-0.04,0.00
0.66,1.00,-0.04,0.00
0.82,1.00,-0.04,0.00
0.97,1.00,-0.04,0.04
1.13,1.00,-0.03,0.11
1.29,1.00,-0.02,0.07
1.41,0.99,0.01,0.28
1.45,0.99,-0.01,0.11
1.57,0.98,0.02,0.22
1.61,0.98,0.02,0.22
1.68,0.97,0.07,0.36
1.72,0.97,0.08,0.35
1.76,0.96,0.11,0.43
1.76,0.96,0.09,0.52
1.82,0.96,0.09,0.43
1.84,0.94,0.17,0.53
1.86,0.95,0.12,0.47
1.88,0.94,0.17,0.54
1.88,0.95,0.13,0.47
1.89,0.95,0.11,0.44
1.91,0.95,0.12,0.51
1.92,0.94,0.15,0.58
1.93,0.92,0.20,0.62
1.94,0.94,0.16,0.52
1.97,0.91,0.19,0.71
1.99,0.92,0.20,0.59
2.00,0.95,0.13,0.37
2.01,0.90,0.25,0.85
2.01,0.89,0.26,0.69
2.01,0.92,0.19,0.69
2.05,0.89,0.29,0.82
2.06,-0.56,0.30,0.82
2.06,0.45,0.25,0.93
2.07,0.91,0.24,0.62
2.07,0.89,0.27,0.87
2.08,0.92,0.20,0.54
2.09,0.86,0.29,0.91
2.09,0.69,0.33,0.79
2.09,0.91,0.24,0.69
2.10,0.51,0.28,0.85
2.12,0.88,0.31,0.86
2.15,0.07,0.37,0.97
2.15,0.71,0.32,0.87
2.16,-0.42,0.36,1.02
2.17,0.06,0.38,0.98
2.17,0.79,0.35,0.99
2.17,-0.20,0.36,0.98
2.17,0.36,0.34,0.84
2.20,0.79,0.37,1.05
2.20,0.30,0.39,1.02
2.22,0.06,0.39,0.91
2.23,-0.40,0.37,0.94
2.24,-0.13,0.40,1.04
2.26,0.15,0.41,1.01
2.27,0.29,0.44,0.99
2.28,-0.06,0.48,1.11
2.29,0.11,0.46,1.11
2.29,0.14,0.51,1.12
2.31,0.13,0.50,1.01
2.34,0.21,0.55,1.10
2.36,0.45,0.54,1.18
2.36,0.05,0.60,1.26
2.37,-0.08,0.54,1.04
2.37,0.01,0.56,1.15
2.39,-0.02,0.58,1.22
2.39,0.30,0.57,1.18
2.42,-0.06,0.57,0.93
2.43,-0.44,0.65,1.27
2.44,0.03,0.66,1.09
2.46,-0.49,0.69,1.30
2.48,0.46,0.74,0.91
2.49,0.31,0.73,1.15
2.49,-0.09,0.77,1.01
2.49,0.01,0.60,0.90
2.50,0.01,0.75,1.01
2.51,-0.18,0.76,0.94
2.55,-0.06,0.74,0.99
2.56,-0.02,0.77,1.01
2.57,0.11,0.78,0.98
2.57,0.20,0.83,1.03
2.58,-0.21,0.77,1.00
2.59,-0.50,0.70,0.94
2.61,0.27,0.71,1.09
2.63,0.05,0.82,0.68
2.65,-0.22,0.78,0.89
2.66,0.12,0.83,0.95
2.69,0.10,0.80,0.87
2.71,0.12,0.89,1.17
2.78,0.32,0.91,0.73
2.85,0.17,1.01,0.71
2.86,-0.18,1.01,0.72
2.86,0.12,1.06,0.62
2.87,0.06,1.08,0.63
2.88,-0.01,0.99,0.69
2.91,0.07,1.02,0.70
2.94,0.16,1.07,0.47
3.03,0.04,1.13,0.49
3.18,0.05,1.19,0.49
3.34,0.06,1.32,0.34
3.50,0.01,1.27,0.31
