T,M,E,C
0.50,1.00,-0.02,0.00
0.66,1.00,-0.02,0.00
0.82,1.00,-0.02,0.00
0.97,1.00,-0.02,0.00
1.13,1.00,-0.01,0.03
1.29,0.99,0.00,0.11
1.45,0.99,0.03,0.23
1.53,0.99,0.03,0.22
1.56,0.98,0.04,0.22
1.56,0.98,0.05,0.25
1.61,0.98,0.05,0.27
1.73,0.97,0.10,0.36
1.76,0.97,0.09,0.40
1.79,0.96,0.10,0.34
1.85,0.94,0.16,0.53
1.88,0.94,0.17,0.70
1.91,0.94,0.17,0.70
1.91,0.94,0.18,0.56
1.92,0.93,0.20,0.50
1.92,0.93,0.18,0.48
1.95,0.93,0.20,0.66
2.00,0.93,0.21,0.42
2.00,0.90,0.26,0.78
2.02,0.90,0.26,0.84
2.04,0.89,0.28,0.94
2.06,0.89,0.27,0.90
2.06,0.90,0.27,0.69
2.06,0.90,0.26,0.77
2.08,0.90,0.27,0.60
2.10,0.90,0.28,0.58
2.10,0.87,0.32,0.83
2.10,0.88,0.30,0.76
2.10,0.88,0.31,0.80
2.11,0.13,0.39,1.23
2.12,0.87,0.32,0.96
2.12,-0.56,0.32,0.98
2.14,-0.78,0.40,1.03
2.15,0.85,0.36,0.97
2.17,-0.29,0.39,1.05
2.19,0.84,0.38,1.00
2.19,0.66,0.37,0.97
2.19,-0.51,0.40,1.01
2.19,0.04,0.42,1.16
2.21,-0.25,0.42,1.08
2.22,-0.26,0.44,1.10
2.22,-0.57,0.46,1.22
2.23,-0.45,0.45,1.31
2.23,-0.27,0.43,1.20
2.24,0.67,0.44,1.15
2.25,0.29,0.46,1.11
2.25,-0.39,0.46,1.19
2.26,0.58,0.49,1.22
2.28,-0.14,0.52,1.40
2.29,-0.23,0.54,1.30
2.31,0.66,0.54,1.27
2.33,-0.12,0.59,1.38
2.33,-0.14,0.57,1.23
2.34,0.24,0.60,1.29
2.34,-0.14,0.59,1.37
2.35,-0.12,0.66,1.43
2.36,0.40,0.62,1.35
2.37,0.03,0.63,1.25
2.39,-0.17,0.63,1.14
2.40,0.38,0.67,1.28
2.40,0.59,0.61,1.05
2.41,0.21,0.69,1.20
2.45,0.37,0.76,1.31
2.45,-0.36,0.74,1.16
2.46,-0.39,0.76,1.02
2.48,-0.40,0.70,1.21
2.50,-0.19,0.78,0.95
2.50,0.51,0.70,1.00
2.52,0.34,0.80,1.36
2.52,-0.47,0.80,1.12
2.53,0.43,0.81,1.40
2.53,-0.07,0.81,1.09
2.53,-0.27,0.78,1.02
2.53,0.23,0.82,1.32
2.54,0.52,0.75,1.17
2.55,0.25,0.81,1.19
2.55,0.03,0.90,1.02
2.57,0.17,0.80,1.17
2.59,0.24,0.89,1.08
2.59,-0.01,0.97,0.90
2.60,-0.09,0.82,0.94
2.61,-0.13,0.82,0.98
2.62,0.27,0.93,0.88
2.65,-0.04,0.92,0.70
2.65,-0.17,0.89,0.85
2.71,-0.21,0.98,0.70
2.82,0.14,1.01,0.61
2.82,0.16,1.02,0.79
2.85,0.04,1.06,0.74
2.87,-0.06,1.09,0.55
2.90,-0.08,1.08,0.55
2.92,0.09,1.08,0.58
3.03,0.07,1.16,0.40
3.18,-0.05,1.25,0.39
3.34,0.07,1.31,0.42
3.50,0.02,1.31,0.27
