T,M,E,C
0.50,1.00,-0.02,0.00
0.66,1.00,-0.02,0.00
0.82,1.00,-0.02,0.00
0.97,1.00,-0.01,0.01
1.13,1.00,-0.01,0.05
1.29,0.99,0.01,0.16
1.45,0.99,0.03,0.19
1.46,0.98,0.04,0.26
1.61,0.98,0.05,0.31
1.67,0.98,0.07,0.28
1.68,0.97,0.08,0.37
1.72,0.96,0.10,0.46
1.75,0.96,0.11,0.34
1.76,0.96,0.11,0.38
1.83,0.95,0.15,0.46
1.86,0.95,0.16,0.56
1.86,0.94,0.17,0.56
1.86,0.96,0.13,0.46
1.88,0.94,0.17,0.60
1.92,0.95,0.16,0.46
1.93,0.93,0.19,0.53
1.97,0.92,0.22,0.63
1.97,0.89,0.25,0.75
1.99,0.92,0.23,0.59
1.99,0.91,0.23,0.69
1.99,0.91,0.25,0.67
2.00,0.92,0.23,0.65
2.00,0.91,0.25,0.69
2.01,0.93,0.21,0.52
2.03,0.91,0.24,0.80
2.04,0.87,0.29,1.06
2.07,0.92,0.24,0.73
2.07,0.90,0.28,0.73
2.08,0.90,0.28,0.75
2.10,0.88,0.31,0.84
2.10,0.87,0.33,0.80
2.11,0.85,0.34,1.14
2.12,0.88,0.32,0.80
2.12,0.86,0.34,1.12
2.13,0.88,0.32,0.89
2.17,0.26,0.38,1.07
2.17,-0.29,0.37,0.92
2.21,-0.30,0.43,1.21
2.22,0.44,0.45,1.22
2.23,-0.37,0.45,1.14
2.24,0.48,0.47,1.20
2.25,0.01,0.46,1.28
2.27,0.25,0.51,1.23
2.28,0.58,0.50,1.16
2.32,-0.15,0.58,1.31
2.33,-0.25,0.57,1.22
2.34,0.15,0.61,1.26
2.35,0.06,0.63,1.42
2.36,0.22,0.67,1.50
2.37,-0.34,0.66,1.29
2.37,0.14,0.65,1.18
2.38,-0.15,0.65,1.22
2.39,0.42,0.65,1.25
2.39,-0.03,0.73,1.36
2.39,-0.15,0.71,1.17
2.40,0.09,0.67,1.21
2.40,0.01,0.62,1.38
2.40,-0.38,0.67,1.18
2.40,-0.05,0.68,1.45
2.41,0.22,0.72,1.67
2.43,-0.06,0.73,1.23
2.43,0.04,0.72,1.29
2.43,0.12,0.77,1.27
2.44,0.13,0.72,1.37
2.44,0.59,0.70,1.05
2.45,0.11,0.82,1.03
2.47,-0.07,0.71,1.53
2.47,0.12,0.76,1.14
2.48,0.14,0.82,0.90
2.48,0.63,0.69,1.04
2.51,0.59,0.71,0.95
2.51,0.41,0.80,1.14
2.52,0.31,0.89,1.03
2.52,-0.03,0.87,1.03
2.54,0.25,0.86,0.80
2.54,-0.12,0.93,0.80
2.55,-0.01,0.80,1.38
2.56,0.33,0.92,0.85
2.57,-0.05,0.88,0.82
2.63,0.12,0.91,0.89
2.64,0.02,0.88,1.03
2.64,-0.17,0.96,0.73
2.68,-0.14,0.98,0.78
2.71,0.19,1.01,0.72
2.79,-0.03,1.08,0.60
2.86,0.01,1.06,0.53
2.87,0.10,1.06,0.56
2.89,0.20,1.07,0.86
2.91,-0.04,1.11,0.50
2.97,0.02,1.14,0.45
3.01,-0.01,1.18,0.51
3.03,-0.05,1.17,0.47
3.18,0.05,1.22,0.31
3.34,-0.02,1.24,0.27
3.50,0.00,1.35,0.25
