T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,-0.00,0.02
1.13,1.00,0.00,0.04
1.29,1.00,0.01,0.09
1.45,0.99,0.04,0.22
1.61,0.98,0.07,0.35
1.74,0.96,0.12,0.52
1.76,0.96,0.11,0.41
1.79,0.96,0.13,0.31
1.82,0.95,0.15,0.56
1.82,0.95,0.15,0.49
1.83,0.95,0.15,0.46
1.88,0.95,0.16,0.51
1.88,0.94,0.18,0.54
1.90,0.94,0.19,0.53
1.90,0.93,0.20,0.54
1.91,0.92,0.21,0.67
1.92,0.94,0.18,0.43
1.96,0.92,0.23,0.80
1.97,0.92,0.23,0.65
2.05,0.88,0.30,0.98
2.07,0.89,0.31,0.81
2.08,0.88,0.32,0.86
2.08,0.87,0.33,1.09
2.09,0.89,0.31,0.85
2.09,0.88,0.32,0.67
2.10,0.89,0.31,0.84
2.10,0.88,0.33,0.83
2.12,0.87,0.35,1.00
2.13,0.81,0.38,1.46
2.13,0.85,0.37,1.10
2.15,0.84,0.38,0.97
2.15,0.80,0.41,1.33
2.15,0.03,0.40,1.56
2.17,0.81,0.41,1.25
2.18,0.80,0.42,1.48
2.20,0.80,0.44,1.18
2.21,0.78,0.46,1.36
2.21,0.78,0.47,1.40
2.21,0.56,0.47,1.58
2.21,-0.54,0.46,1.53
2.22,0.79,0.46,1.25
2.23,0.76,0.48,1.53
2.24,0.09,0.50,1.42
2.24,0.76,0.49,1.23
2.25,0.41,0.52,1.54
2.27,0.75,0.52,1.60
2.28,0.55,0.57,1.69
2.28,0.21,0.55,1.71
2.33,-0.39,0.63,1.64
2.35,0.41,0.70,1.39
2.35,0.50,0.68,1.61
2.35,0.34,0.67,1.49
2.37,0.51,0.70,1.67
2.37,-0.05,0.71,1.49
2.37,0.35,0.71,1.59
2.39,0.07,0.79,1.02
2.39,-0.15,0.77,1.60
2.40,-0.23,0.76,1.67
2.40,0.40,0.76,1.42
2.42,0.21,0.77,1.04
2.44,0.28,0.80,1.04
2.44,0.37,0.82,1.47
2.46,-0.08,0.82,1.17
2.46,0.25,0.80,1.55
2.48,0.19,0.83,1.60
2.48,-0.10,0.87,1.10
2.48,0.09,0.87,1.38
2.49,-0.01,0.88,1.12
2.50,0.22,0.88,0.84
2.50,0.16,0.87,1.01
2.53,-0.07,0.91,0.99
2.53,0.21,0.91,0.99
2.54,0.26,0.90,1.02
2.55,-0.03,0.89,0.86
2.55,0.26,0.87,1.26
2.55,-0.00,0.94,1.07
2.55,0.03,0.93,0.91
2.55,0.05,0.93,0.94
2.57,0.10,0.92,0.79
2.61,0.07,0.96,0.80
2.63,0.09,0.98,0.83
2.63,0.02,1.03,0.67
2.64,0.01,0.99,0.91
2.66,0.22,0.98,0.99
2.68,0.05,1.00,0.89
2.71,0.12,1.00,0.69
2.71,0.11,1.02,0.81
2.71,-0.03,1.03,0.78
2.73,-0.02,1.03,0.86
2.77,0.04,1.06,0.76
2.87,0.08,1.11,0.56
2.89,-0.00,1.13,0.54
2.98,0.06,1.15,0.60
3.03,0.06,1.20,0.58
3.18,-0.01,1.25,0.30
3.34,0.00,1.29,0.33
3.50,-0.01,1.32,0.34
