T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,-0.00,0.02
1.13,1.00,0.00,0.04
1.29,1.00,0.02,0.07
1.45,0.99,0.03,0.17
1.51,0.99,0.05,0.19
1.54,0.98,0.05,0.28
1.61,0.98,0.07,0.31
1.64,0.98,0.08,0.29
1.68,0.97,0.09,0.29
1.76,0.96,0.13,0.42
1.76,0.96,0.12,0.39
1.78,0.96,0.14,0.44
1.80,0.96,0.14,0.47
1.82,0.96,0.14,0.34
1.87,0.95,0.17,0.47
1.90,0.94,0.19,0.45
1.92,0.93,0.21,0.61
1.92,0.93,0.20,0.64
1.93,0.92,0.22,0.65
1.93,0.93,0.21,0.69
1.95,0.92,0.22,0.69
1.98,0.92,0.23,0.72
1.98,0.92,0.23,0.73
1.98,0.91,0.25,0.65
2.01,0.91,0.26,0.84
2.02,0.90,0.26,0.86
2.02,0.90,0.27,0.70
2.02,0.90,0.28,0.84
2.03,0.90,0.27,0.84
2.04,0.90,0.28,0.62
2.05,0.90,0.29,0.81
2.05,0.88,0.30,1.30
2.07,0.89,0.30,0.89
2.07,0.89,0.30,0.94
2.07,0.89,0.29,0.82
2.08,0.88,0.32,1.01
2.08,0.88,0.31,0.87
2.10,0.87,0.33,0.94
2.12,0.86,0.35,1.04
2.14,0.86,0.36,1.09
2.14,0.86,0.37,0.89
2.14,0.84,0.38,1.18
2.14,0.84,0.38,1.11
2.16,0.78,0.40,1.74
2.19,0.83,0.41,1.15
2.20,0.79,0.45,1.41
2.21,0.78,0.46,1.40
2.24,0.75,0.50,1.58
2.25,0.75,0.50,1.42
2.25,0.78,0.49,1.29
2.25,0.61,0.55,1.84
2.26,0.32,0.53,1.72
2.27,0.60,0.59,1.80
2.33,-0.13,0.65,1.67
2.33,0.20,0.67,1.88
2.33,-0.03,0.63,1.63
2.34,-0.31,0.70,1.31
2.36,-0.08,0.70,1.66
2.36,-0.15,0.72,1.81
2.37,0.18,0.76,1.41
2.38,0.41,0.73,1.61
2.38,0.27,0.76,1.53
2.38,0.26,0.75,1.71
2.39,-0.32,0.72,1.69
2.39,0.36,0.76,1.40
2.39,0.35,0.75,1.52
2.39,0.21,0.74,1.50
2.40,-0.08,0.79,1.72
2.41,-0.20,0.77,1.40
2.42,-0.19,0.80,1.37
2.43,0.29,0.80,1.61
2.51,0.00,0.88,1.44
2.52,0.28,0.89,1.57
2.52,0.14,0.92,1.19
2.53,-0.19,0.87,1.04
2.54,-0.08,0.87,1.29
2.55,-0.01,0.93,1.45
2.55,0.21,0.92,1.17
2.55,0.22,0.90,0.99
2.59,0.15,0.95,1.17
2.60,0.20,0.97,1.03
2.61,0.15,0.99,0.98
2.61,0.14,0.97,1.10
2.61,0.07,0.94,1.24
2.67,0.12,0.99,1.06
2.67,0.02,1.01,0.91
2.71,-0.01,1.03,0.89
2.75,0.06,1.06,0.87
2.82,0.09,1.07,0.76
2.87,0.00,1.10,0.80
2.89,0.02,1.13,0.55
2.92,0.03,1.11,0.86
2.97,-0.00,1.15,0.63
3.03,0.01,1.19,0.75
3.18,0.04,1.22,0.50
3.34,0.01,1.28,0.41
3.50,-0.00,1.32,0.33
