T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,-0.00,0.02
1.13,1.00,0.01,0.06
1.29,0.99,0.02,0.09
1.45,0.99,0.03,0.18
1.53,0.99,0.05,0.20
1.55,0.98,0.06,0.20
1.61,0.98,0.07,0.20
1.69,0.97,0.09,0.35
1.74,0.97,0.11,0.32
1.74,0.96,0.12,0.51
1.74,0.96,0.11,0.39
1.76,0.96,0.13,0.47
1.76,0.96,0.13,0.38
1.80,0.95,0.14,0.52
1.83,0.95,0.15,0.47
1.83,0.95,0.15,0.53
1.88,0.94,0.17,0.47
1.90,0.94,0.19,0.54
1.92,0.93,0.20,0.70
1.93,0.93,0.20,0.60
1.94,0.93,0.22,0.64
1.96,0.93,0.21,0.60
1.98,0.93,0.22,0.54
2.00,0.91,0.25,0.57
2.00,0.91,0.24,0.77
2.02,0.89,0.29,0.99
2.03,0.90,0.27,0.99
2.05,0.89,0.29,0.68
2.06,0.88,0.31,0.75
2.06,0.90,0.29,0.84
2.08,0.89,0.30,0.93
2.10,0.87,0.33,0.81
2.10,0.88,0.33,0.84
2.10,0.88,0.33,0.78
2.14,0.86,0.36,0.78
2.15,0.84,0.39,1.06
2.16,0.84,0.40,1.18
2.18,0.82,0.42,1.17
2.21,0.41,0.46,1.38
2.21,0.74,0.48,1.54
2.22,0.78,0.47,1.17
2.23,0.79,0.47,1.15
2.23,0.07,0.50,1.65
2.23,0.75,0.49,1.39
2.24,0.74,0.50,1.40
2.24,0.72,0.51,1.90
2.25,0.65,0.55,2.18
2.25,0.72,0.51,1.66
2.25,0.69,0.53,1.80
2.25,0.63,0.52,1.48
2.29,0.29,0.59,1.76
2.29,0.14,0.60,1.84
2.30,-0.11,0.60,1.65
2.31,-0.03,0.64,1.84
2.31,0.40,0.67,1.72
2.35,0.00,0.74,1.68
2.36,0.52,0.69,1.66
2.36,-0.38,0.68,1.38
2.37,0.11,0.73,1.32
2.37,0.04,0.73,1.91
2.39,-0.06,0.75,1.50
2.39,0.37,0.73,1.69
2.40,0.36,0.74,1.43
2.40,0.38,0.75,1.64
2.42,-0.07,0.80,1.47
2.47,0.36,0.84,1.77
2.47,0.12,0.87,0.99
2.48,0.23,0.85,1.28
2.48,0.18,0.87,0.87
2.50,0.34,0.84,1.11
2.50,0.13,0.89,1.14
2.52,0.11,0.87,1.36
2.52,-0.01,0.92,1.04
2.55,0.07,0.91,0.88
2.55,-0.10,0.89,1.27
2.56,0.18,0.93,0.99
2.56,0.14,0.88,1.45
2.57,0.10,0.92,1.09
2.57,0.09,0.94,1.40
2.58,-0.01,0.94,1.37
2.59,-0.03,0.92,1.01
2.62,0.01,1.00,0.88
2.66,0.10,1.01,0.84
2.67,0.04,1.00,0.90
2.68,0.05,1.02,1.09
2.69,0.08,1.02,0.76
2.71,0.03,1.03,0.87
2.74,0.09,1.04,0.93
2.79,0.07,1.08,0.65
2.81,0.01,1.09,0.71
2.87,-0.01,1.11,0.62
2.89,0.01,1.11,0.73
2.90,0.02,1.14,0.53
3.03,0.01,1.19,0.50
3.18,0.00,1.24,0.57
3.34,0.01,1.29,0.38
3.50,0.01,1.31,0.37
