T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,0.00,0.02
1.13,1.00,0.01,0.05
1.29,1.00,0.02,0.06
1.45,0.99,0.04,0.14
1.46,0.99,0.04,0.18
1.59,0.98,0.07,0.29
1.61,0.98,0.07,0.25
1.63,0.98,0.08,0.34
1.65,0.97,0.08,0.34
1.72,0.97,0.10,0.32
1.74,0.96,0.12,0.36
1.75,0.96,0.12,0.49
1.76,0.96,0.12,0.35
1.80,0.95,0.14,0.42
1.83,0.95,0.15,0.60
1.83,0.95,0.15,0.48
1.83,0.95,0.15,0.46
1.89,0.94,0.18,0.46
1.89,0.94,0.19,0.55
1.89,0.94,0.18,0.53
1.92,0.94,0.19,0.70
1.93,0.93,0.22,0.53
1.95,0.93,0.21,0.67
1.96,0.93,0.22,0.68
1.97,0.92,0.23,0.87
1.98,0.91,0.25,0.59
1.98,0.91,0.25,0.78
1.99,0.92,0.24,0.59
2.01,0.91,0.26,0.62
2.01,0.90,0.27,0.74
2.02,0.91,0.27,0.68
2.08,0.88,0.32,0.88
2.08,0.88,0.32,0.83
2.10,0.87,0.34,1.11
2.11,0.87,0.34,0.87
2.12,0.86,0.36,0.87
2.13,0.84,0.37,0.97
2.17,0.80,0.42,1.52
2.18,0.82,0.41,1.09
2.20,0.81,0.43,1.32
2.23,-0.10,0.50,2.07
2.24,0.72,0.51,1.69
2.24,0.72,0.52,1.78
2.26,0.74,0.51,1.63
2.26,0.63,0.56,2.01
2.27,-0.22,0.57,1.59
2.28,0.66,0.58,1.73
2.32,-0.17,0.66,1.82
2.33,0.33,0.66,2.24
2.33,0.36,0.70,1.83
2.34,0.17,0.68,1.82
2.36,0.17,0.76,1.46
2.37,-0.06,0.76,1.84
2.37,0.26,0.76,1.38
2.38,0.31,0.77,1.65
2.39,0.19,0.77,1.56
2.40,0.11,0.78,1.30
2.40,0.01,0.78,1.38
2.42,0.16,0.81,1.45
2.42,0.10,0.82,1.47
2.45,0.23,0.83,1.89
2.45,0.22,0.83,1.53
2.46,-0.08,0.86,1.45
2.47,0.02,0.84,1.62
2.51,0.09,0.87,1.34
2.51,-0.03,0.89,1.79
2.51,0.25,0.88,1.37
2.52,0.09,0.90,1.71
2.53,0.18,0.90,1.84
2.54,0.14,0.91,1.78
2.54,-0.00,0.91,1.20
2.55,0.12,0.92,1.31
2.55,-0.01,0.91,1.21
2.56,0.11,0.95,1.46
2.57,0.12,0.92,1.79
2.58,0.01,0.96,1.32
2.59,0.01,0.95,1.47
2.60,0.08,0.95,1.92
2.60,0.14,0.95,1.21
2.63,0.10,0.97,1.24
2.63,0.10,0.96,1.40
2.64,0.06,0.98,1.46
2.68,0.09,1.00,1.39
2.70,0.06,1.03,1.22
2.71,0.04,1.04,1.29
2.75,0.01,1.06,1.06
2.76,-0.03,1.07,1.09
2.78,0.05,1.06,1.15
2.87,0.03,1.12,0.98
2.87,-0.01,1.11,0.92
2.90,0.03,1.13,0.87
2.94,0.01,1.16,0.78
2.96,0.02,1.15,0.99
3.03,0.02,1.19,0.53
3.18,0.03,1.23,0.55
3.34,0.00,1.29,0.54
3.50,0.01,1.33,0.38
