T,M,E,C
0.50,1.00,-0.01,0.00
0.66,1.00,-0.01,0.00
0.82,1.00,-0.01,0.00
0.97,1.00,-0.01,0.02
1.12,1.00,-0.00,0.05
1.13,1.00,-0.00,0.03
1.29,1.00,0.01,0.08
1.45,0.99,0.03,0.15
1.58,0.98,0.06,0.27
1.61,0.98,0.07,0.27
1.74,0.97,0.10,0.38
1.74,0.97,0.11,0.45
1.76,0.96,0.13,0.55
1.77,0.96,0.12,0.36
1.79,0.96,0.13,0.57
1.79,0.96,0.12,0.36
1.82,0.96,0.14,0.39
1.83,0.95,0.16,0.50
1.87,0.94,0.18,0.79
1.88,0.95,0.17,0.53
1.92,0.93,0.20,0.77
1.99,0.91,0.24,0.51
1.99,0.91,0.25,0.74
2.02,0.90,0.26,0.76
2.03,0.90,0.27,0.62
2.04,0.90,0.27,0.88
2.05,0.90,0.28,0.69
2.05,0.89,0.29,0.72
2.05,0.89,0.30,0.79
2.06,0.89,0.28,0.94
2.06,0.89,0.30,0.82
2.08,0.89,0.29,0.97
2.08,0.89,0.30,0.73
2.09,0.89,0.31,0.77
2.13,0.85,0.36,1.11
2.13,0.86,0.36,0.95
2.14,0.87,0.35,0.89
2.15,0.87,0.35,0.93
2.16,0.80,0.42,1.28
2.16,0.83,0.40,1.30
2.17,0.81,0.42,1.21
2.18,0.84,0.40,1.01
2.18,0.80,0.44,1.28
2.19,0.82,0.41,1.25
2.19,0.38,0.46,1.63
2.19,0.80,0.44,1.23
2.20,0.78,0.45,1.23
2.20,0.80,0.44,1.21
2.20,-0.27,0.45,1.53
2.21,0.81,0.43,1.14
2.23,0.40,0.50,1.59
2.24,-0.30,0.51,1.47
2.24,0.15,0.49,1.47
2.24,-0.46,0.48,1.44
2.25,0.18,0.51,1.40
2.28,0.64,0.55,1.63
2.29,0.07,0.59,1.62
2.29,-0.32,0.54,1.34
2.31,0.10,0.58,1.41
2.31,0.08,0.60,1.58
2.31,-0.62,0.58,1.41
2.32,-0.14,0.58,1.33
2.33,-0.60,0.61,1.54
2.34,-0.59,0.57,1.36
2.35,-0.17,0.67,1.45
2.37,0.54,0.70,1.46
2.38,-0.26,0.71,1.23
2.38,0.36,0.67,1.54
2.39,-0.19,0.72,1.43
2.40,0.05,0.72,1.38
2.43,-0.24,0.80,0.98
2.44,0.33,0.78,1.27
2.44,-0.29,0.76,1.44
2.44,0.20,0.80,1.16
2.46,-0.04,0.87,0.90
2.46,0.31,0.79,1.25
2.46,0.02,0.84,1.26
2.47,0.04,0.88,0.84
2.48,0.52,0.77,1.26
2.49,0.09,0.86,1.26
2.50,0.26,0.80,1.07
2.52,0.06,0.87,1.09
2.53,-0.02,0.93,0.82
2.54,-0.12,0.84,0.95
2.55,0.13,0.87,0.88
2.56,0.21,0.89,0.97
2.58,0.02,0.94,0.85
2.61,0.05,0.94,0.78
2.61,0.01,1.02,0.80
2.67,0.05,1.04,0.85
2.71,-0.08,1.04,0.92
2.71,0.08,1.02,0.77
2.75,0.05,1.06,0.53
2.76,0.16,1.04,0.57
2.79,0.02,1.05,0.62
2.87,0.10,1.12,0.64
3.03,0.04,1.20,0.37
3.18,0.01,1.24,0.29
3.34,0.00,1.26,0.41
3.50,0.01,1.30,0.28
